scalerank,featurecla,ne_id,BRK_A3
2,Pacific Groupings,1746705731,
2,Pacific Groupings,1746705751,
2,Pacific Groupings,1746705763,
2,Pacific Groupings,1746705773,
2,Pacific Groupings,1746705793,
2,Pacific Groupings,1746705801,
2,Pacific Groupings,1746705813,
2,Pacific Groupings,1746705823,
2,Pacific Groupings,1746705829,
2,Pacific Groupings,1746705839,
2,Pacific Groupings,1746705849,
2,Pacific Groupings,1746705857,
2,Pacific Groupings,1746705869,
2,Pacific Groupings,1746705885,
2,Pacific Groupings,1746705893,
2,Pacific Groupings,1746705901,
2,Pacific Groupings,1746705909,
2,Pacific Groupings,1746705921,
2,Pacific Groupings,1746705929,
2,Pacific Groupings,1746705941,
2,Pacific Groupings,1746705947,
2,Pacific Groupings,1746705957,
2,Pacific Groupings,1746705965,
2,Pacific Groupings,1746705975,
2,Pacific Groupings,1746705985,
2,Pacific Groupings,1746705997,
2,Pacific Groupings,1746706007,
2,Pacific Groupings,1746706017,
2,Pacific Groupings,1746706027,
2,Pacific Groupings,1746706037,
2,Pacific Groupings,1746706049,
2,Pacific Groupings,1746706063,
2,Pacific Groupings,1746706071,
2,Pacific Groupings,1746706083,
2,Pacific Groupings,1746706093,
2,Pacific Groupings,1746706105,
2,Pacific Groupings,1746706117,
2,Pacific Groupings,1746706127,
2,Pacific Groupings,1746706141,
2,Pacific Groupings,1746706151,
2,Pacific Groupings,1746706161,
2,Pacific Groupings,1746706173,
2,Pacific Groupings,1746706183,
2,Pacific Groupings,1746706195,
2,Pacific Groupings,1746706207,
2,Pacific Groupings,1746706217,
2,Pacific Groupings,1746706229,
2,Pacific Groupings,1746706241,
2,Pacific Groupings,1746706251,
2,Pacific Groupings,1746706263,
2,Pacific Groupings,1746706273,
2,Pacific Groupings,1746706287,
2,Pacific Groupings,1746706299,
2,Pacific Groupings,1746706309,
2,Pacific Groupings,1746706321,
2,Pacific Groupings,1746706331,
2,Pacific Groupings,1746706341,
2,Pacific Groupings,1746706353,
2,Pacific Groupings,1746706363,
2,Pacific Groupings,1746706375,
2,Pacific Groupings,1746706385,
2,Pacific Groupings,1746706395,
2,Pacific Groupings,1746706407,
