unit_code,unit_name,unit_type,nps_region,scalerank,featurecla,name
GRBA,Great Basin NP,National Park,Pacific West,7,National Park Service,Great Basin
MEVE,Mesa Verde NP,National Park,Intermountain,7,National Park Service,Mesa Verde
NEPE,Nez Perce NHP,National Historical Park,Pacific West,8,National Park Service,Nez Perce NHP
DAAV,Dayton Aviation Heritage NHP,National Historical Park,Midwest,8,National Park Service,Dayton Aviation Heritage NHP
TAPR,Tallgrass Prairie N PRES,National Preserve,Midwest,8,National Park Service,Tallgrass Prairie N PRES
CARI,Cane River Creole NHP,National Historical Park,Southeast,8,National Park Service,Cane River Creole NHP
NICO,Nicodemus NHS,National Historic Site,Midwest,8,National Park Service,Nicodemus NHS
NAVA,Navajo NM,National Monument,Intermountain,8,National Park Service,Navajo NM
ADAM,Adams NHP,National Historical Park,Northeast,9,National Park Service,Adams NHP
BOST,Boston NHP,National Historical Park,Northeast,9,National Park Service,Boston NHP
WICR,Wilson's Creek NB,National Battlefield,Midwest,8,National Park Service,Wilson's Creek NB
FODA,Fort Davis NHS,National Historic Site,Intermountain,8,National Park Service,Fort Davis NHS
PAAL,Palo Alto Battlefield NHP,National Historical Park,Intermountain,8,National Park Service,Palo Alto Battlefield NHP
EUON,Eugene O'Neill NHS,National Historic Site,Pacific West,9,National Park Service,Eugene O'Neill NHS
AZRU,Aztec Ruins NM,National Monument,Intermountain,8,National Park Service,Aztec Ruins NM
CHCU,Chaco Culture NHP,National Historical Park,Intermountain,8,National Park Service,Chaco Culture NHP
FLNI,Flight 93 N MEM,National Memorial,Northeast,8,National Park Service,Flight 93 N MEM
SAMA,Salem Maritime NHS,National Historic Site,Northeast,9,National Park Service,Salem Maritime NHS
SITK,Sitka NHP,National Historical Park,Alaska,8,National Park Service,Sitka NHP
KLGO,Klondike Gold Rush NHP,National Historical Park,Alaska,8,National Park Service,Klondike Gold Rush NHP
FOLA,Fort Laramie NHS,National Historic Site,Intermountain,8,National Park Service,Fort Laramie NHS
MACA,Mammoth Cave NP,National Park,Southeast,7,National Park Service,Mammoth Cave
BOAF,Boston African American NHS,National Historic Site,Northeast,9,National Park Service,Boston African American NHS
EDAL,Edgar Allan Poe NHS,National Historic Site,Northeast,9,National Park Service,Edgar Allan Poe NHS
COWP,Cowpens NB,National Battlefield,Southeast,8,National Park Service,Cowpens NB
NATC,Natchez NHP,National Historical Park,Southeast,9,National Park Service,Natchez NHP
WICL,President William Jefferson Clinton Birthplace Home NHS,National Historic Site,Midwest,8,National Park Service,President William Jefferson Clinton Birthplace Home NHS
HOSP,Hot Springs NP,National Park,Midwest,8,National Park Service,Hot Springs
