scalerank,natscale,labelrank,featurecla,name,namepar,namealt,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,pop_max,pop_min,pop_other,rank_max,rank_min,meganame,ls_name,min_zoom,ne_id
10,1,8,Admin-1 capital,Colonia del Sacramento,,,Colonia del Sacramento,0,0,,0,0,Uruguay,URY,Uruguay,URY,Colonia,UY,,-34.479999,-57.840003,21714,21714,0,7,7,,,9.0,1159112629
10,1,8,Admin-1 capital,Trinidad,,,Trinidad,0,0,,0,0,Uruguay,URY,Uruguay,URY,Flores,UY,,-33.543999,-56.900997,21093,21093,0,7,7,,,9.0,1159112647
10,1,8,Admin-1 capital,Fray Bentos,,,Fray Bentos,0,0,,0,0,Uruguay,URY,Uruguay,URY,Río Negro,UY,,-33.138999,-58.303998,23279,23279,0,7,7,,,9.0,1159112663
10,1,8,Admin-1 capital,Canelones,,,Canelones,0,0,,0,0,Uruguay,URY,Uruguay,URY,Canelones,UY,,-34.538004,-56.284002,19698,19698,0,6,6,,,9.0,1159112679
10,1,8,Admin-1 capital,Florida,,,Florida,0,0,,0,0,Uruguay,URY,Uruguay,URY,Florida,UY,,-34.099002,-56.214998,32234,32234,0,7,7,,,7.0,1159112703
10,1,8,Admin-1 capital,Bassar,,,Bassar,0,0,,0,0,Togo,TGO,Togo,TGO,Kara,TG,,9.261000,0.789004,61845,61845,0,8,8,,,9.0,1159112719
10,1,8,Admin-1 capital,Sotouboua,,,Sotouboua,0,0,,0,0,Togo,TGO,Togo,TGO,Centre,TG,,8.557002,0.984997,21054,21054,0,7,7,,,7.0,1159112735
10,1,7,Admin-1 capital,Medenine,,,Medenine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,MUdenine,TN,,33.399999,10.416700,61705,61705,0,8,8,,,6.1,1159112749
10,1,7,Admin-1 capital,Kebili,,,Kebili,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Kebili,TN,,33.689997,8.971003,19875,19875,0,6,6,,,9.0,1159112765
10,1,7,Admin-1 capital,Tataouine,,,Tataouine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Tataouine,TN,,33.000003,10.466704,62577,62577,0,8,8,,,9.0,1159112779
10,1,7,Admin-1 capital,L'Ariana,,,L'Ariana,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Manubah,TN,,36.866673,10.199998,97687,97687,0,8,8,,,8.0,1159112795
10,1,7,Admin-1 capital,Jendouba,,,Jendouba,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Jendouba,TN,,36.500004,8.749999,51408,51408,0,8,8,,,9.0,1159112811
10,1,7,Admin-1 capital,Kasserine,,,Kasserine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Kasssrine,TN,,35.216703,8.716699,76243,76243,0,8,8,,,9.0,1159112827
10,1,7,Admin-1 capital,Sdid Bouzid,,,Sdid Bouzid,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Sidi Bou Zid,TN,,35.016696,9.500005,42098,42098,0,7,7,,,7.0,1159112843
10,1,7,Admin-1 capital,Siliana,,,Siliana,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Siliana,TN,,36.083304,9.383302,26960,26960,0,7,7,,,9.0,1159112859
10,1,7,Admin-1 capital,Mahdia,,,Mahdia,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Mahdia,TN,,35.483913,11.040877,45977,45977,0,7,7,,,8.0,1159112873
10,1,7,Admin-1 capital,Monastir,,,Monastir,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Monastir,TN,,35.730702,10.767295,71546,41400,0,8,7,,,7.0,1159112893
10,1,7,Admin-1 capital,Zaghouan,,,Zaghouan,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Zaghouan,TN,,36.399996,10.146997,16911,16911,0,6,6,,,9.0,1159112913
10,1,5,Admin-1 capital,Tây Ninh,,,Tay Ninh,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Tây Ninh,VN,,11.322999,106.147000,126370,126370,0,9,9,,,8.0,1159112935
10,1,5,Admin-1 capital,Luan Chau,,,Luan Chau,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Vi?n Bi,VN,,21.740004,103.343005,7335,7335,0,5,5,,,8.0,1159112955
10,1,5,Admin-1 capital,Bắc Kạn,,,Bac Kan,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Ðông B?c,VN,,22.133333,105.833333,29227,29227,0,7,7,,,9.0,1159112975
10,1,5,Admin-1 capital,Lạng Sơn,,,Lang Son,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,L?ng Son,VN,,21.845997,106.757002,148000,148000,0,9,9,,,9.0,1159112987
10,1,5,Admin-1 capital,Sơn La,,,Son La,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Son La,VN,,21.328002,103.910005,19054,19054,0,6,6,,,8.0,1159113001
10,1,5,Admin-1 capital,Tuyên Quang,,,Tuyen Quang,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Tuyên Quang,VN,,21.817998,105.211000,36430,36430,0,7,7,,,9.0,1159113019
10,1,5,Admin-1 capital,Yên Bái,,,Yen Bai,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Yên Bái,VN,,21.705003,104.875003,96540,96540,0,8,8,,,8.0,1159113041
10,1,5,Admin-1 capital,Hai Duong,,,Hai Duong,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,H?i Duong,VN,,20.942001,106.331005,58030,58030,0,8,8,,,9.0,1159113057
10,1,5,Admin-1 capital,Thái Bình,,,Thai Binh,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,ThMi Bmnh,VN,,20.450304,106.333030,210000,210000,0,10,10,,,8.0,1159113073
10,1,5,Admin-1 capital,Tuy Hòa,,,Tuy Hoa,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Phú Yên,VN,,13.082004,109.315999,69596,69596,0,8,8,,,7.0,1159113089
10,1,5,Admin-1 capital,Thu Dau Mot,,,Thu Dau Mot,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Bình Duong,VN,,10.969074,106.652746,244277,244277,0,10,10,,,9.0,1159113099
10,1,5,Admin-1 capital,Đông Hà,,,Dong Ha,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Qu?ng Tr?,VN,,16.849998,107.133301,17662,17662,0,6,6,,,9.0,1159113119
10,1,5,Admin-1 capital,Cao Lãnh,,,Cao Lanh,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Ð?ng Tháp,VN,,10.467000,105.635998,149837,149837,0,9,9,,,9.0,1159113135
10,1,5,Admin-1 capital,Truc Giang,,,Truc Giang,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,B?n Tre,VN,,10.234998,106.374997,59442,59442,0,8,8,,,8.0,1159113149
10,1,5,Admin-1 capital,Tra Vinh,,,Tra Vinh,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,TrM Vinh,VN,,9.934002,106.334002,131360,131360,0,9,9,,,8.0,1159113161
10,1,5,Admin-1 capital,Vĩnh Long,,,Vinh Long,0,0,,0,0,Vietnam,VNM,Vietnam,VNM,Vinh Long,VN,,10.256004,105.964003,103314,103314,0,9,9,,,9.0,1159113175
