recnum,featurecla,name,scalerank,min_zoom
154,Antarctic Ice Shelf,Ross Ice Shelf,0,0.0
153,Antarctic Ice Shelf,,0,0.0
152,Antarctic Ice Shelf,,0,0.0
151,Antarctic Ice Shelf,,0,0.0
150,Antarctic Ice Shelf,Rennick Glacier,0,0.0
149,Antarctic Ice Shelf,,0,0.0
148,Antarctic Ice Shelf,,0,0.0
147,Antarctic Ice Shelf,,0,0.0
146,Antarctic Ice Shelf,,0,0.0
145,Antarctic Ice Shelf,Mertz Glacier Tongue,0,0.0
144,Antarctic Ice Shelf,,0,0.0
143,Antarctic Ice Shelf,,0,0.0
142,Antarctic Ice Shelf,,0,0.0
141,Antarctic Ice Shelf,,0,0.0
140,Antarctic Ice Shelf,,0,0.0
139,Antarctic Ice Shelf,Nimis Glacier Tongue,0,0.0
138,Antarctic Ice Shelf,,0,0.0
137,Antarctic Ice Shelf,,0,0.0
136,Antarctic Ice Shelf,,0,0.0
135,Antarctic Ice Shelf,,0,0.0
134,Antarctic Ice Shelf,Cook Ice Shelf,0,0.0
133,Antarctic Ice Shelf,,0,0.0
132,Antarctic Ice Shelf,,0,0.0
131,Antarctic Ice Shelf,,0,0.0
130,Antarctic Ice Shelf,,0,0.0
129,Antarctic Ice Shelf,,0,0.0
128,Antarctic Ice Shelf,,0,0.0
127,Antarctic Ice Shelf,,0,0.0
126,Antarctic Ice Shelf,Ross Ice Shelf,0,0.0
125,Antarctic Ice Shelf,,0,0.0
124,Antarctic Ice Shelf,,0,0.0
123,Antarctic Ice Shelf,,0,0.0
122,Antarctic Ice Shelf,,0,0.0
121,Antarctic Ice Shelf,,0,0.0
120,Antarctic Ice Shelf,,0,0.0
119,Antarctic Ice Shelf,,0,0.0
118,Antarctic Ice Shelf,,0,0.0
117,Antarctic Ice Shelf,,0,0.0
115,Antarctic Ice Shelf,,0,0.0
114,Antarctic Ice Shelf,,0,0.0
113,Antarctic Ice Shelf,,0,0.0
112,Antarctic Ice Shelf,,0,0.0
111,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Stange Ice Shelf,0,0.0
0,Antarctic Ice Shelf,,0,0.0
109,Antarctic Ice Shelf,,0,0.0
108,Antarctic Ice Shelf,,0,0.0
107,Antarctic Ice Shelf,,0,0.0
106,Antarctic Ice Shelf,,0,0.0
105,Antarctic Ice Shelf,,0,0.0
104,Antarctic Ice Shelf,,0,0.0
103,Antarctic Ice Shelf,,0,0.0
102,Antarctic Ice Shelf,,0,0.0
101,Antarctic Ice Shelf,Wilkins Ice Shelf,0,0.0
99,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Ronne Ice Shelf,0,0.0
0,Antarctic Ice Shelf,Filchner Ice Shelf,0,0.0
97,Antarctic Ice Shelf,,0,0.0
96,Antarctic Ice Shelf,,0,0.0
95,Antarctic Ice Shelf,,0,0.0
94,Antarctic Ice Shelf,,0,0.0
93,Antarctic Ice Shelf,Riiser-Larsen Ice Shelf,0,0.0
91,Antarctic Ice Shelf,Larsen B Ice Shelf,0,0.0
90,Antarctic Ice Shelf,,0,0.0
89,Antarctic Ice Shelf,,0,0.0
88,Antarctic Ice Shelf,Larsen Ice Shelf,0,0.0
87,Antarctic Ice Shelf,,0,0.0
86,Antarctic Ice Shelf,,0,0.0
85,Antarctic Ice Shelf,,0,0.0
84,Antarctic Ice Shelf,,0,0.0
83,Antarctic Ice Shelf,,0,0.0
82,Antarctic Ice Shelf,,0,0.0
81,Antarctic Ice Shelf,,0,0.0
80,Antarctic Ice Shelf,,0,0.0
79,Antarctic Ice Shelf,Sulzberger Ice Shelf,0,0.0
78,Antarctic Ice Shelf,,0,0.0
77,Antarctic Ice Shelf,,0,0.0
76,Antarctic Ice Shelf,,0,0.0
75,Antarctic Ice Shelf,,0,0.0
74,Antarctic Ice Shelf,,0,0.0
73,Antarctic Ice Shelf,,0,0.0
72,Antarctic Ice Shelf,,0,0.0
71,Antarctic Ice Shelf,,0,0.0
70,Antarctic Ice Shelf,,0,0.0
69,Antarctic Ice Shelf,Venable Ice Shelf,0,0.0
68,Antarctic Ice Shelf,Abbott Ice Shelf,0,0.0
67,Antarctic Ice Shelf,,0,0.0
66,Antarctic Ice Shelf,,0,0.0
65,Antarctic Ice Shelf,Thwaites Glacier Tongue,0,0.0
64,Antarctic Ice Shelf,,0,0.0
63,Antarctic Ice Shelf,,0,0.0
62,Antarctic Ice Shelf,,0,0.0
61,Antarctic Ice Shelf,,0,0.0
60,Antarctic Ice Shelf,,0,0.0
59,Antarctic Ice Shelf,Getz Ice Shelf,0,0.0
58,Antarctic Ice Shelf,,0,0.0
57,Antarctic Ice Shelf,Dotson Ice Shelf,0,0.0
56,Antarctic Ice Shelf,,0,0.0
55,Antarctic Ice Shelf,,0,0.0
54,Antarctic Ice Shelf,,0,0.0
53,Antarctic Ice Shelf,,0,0.0
52,Antarctic Ice Shelf,Shackleton Ice Shelf,0,0.0
51,Antarctic Ice Shelf,,0,0.0
50,Antarctic Ice Shelf,,0,0.0
49,Antarctic Ice Shelf,,0,0.0
48,Antarctic Ice Shelf,,0,0.0
47,Antarctic Ice Shelf,,0,0.0
46,Antarctic Ice Shelf,,0,0.0
45,Antarctic Ice Shelf,,0,0.0
44,Antarctic Ice Shelf,West Ice Shelf,0,0.0
43,Antarctic Ice Shelf,Voyeykov Ice Shelf,0,0.0
42,Antarctic Ice Shelf,,0,0.0
41,Antarctic Ice Shelf,Dibble Iceberg Tongue,0,0.0
40,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Moscow University Ice Shelf,0,0.0
0,Antarctic Ice Shelf,Totten Glacier,0,0.0
38,Antarctic Ice Shelf,,0,0.0
37,Antarctic Ice Shelf,,0,0.0
36,Antarctic Ice Shelf,,0,0.0
35,Antarctic Ice Shelf,,0,0.0
34,Antarctic Ice Shelf,,0,0.0
33,Antarctic Ice Shelf,,0,0.0
32,Antarctic Ice Shelf,,0,0.0
31,Antarctic Ice Shelf,,0,0.0
30,Antarctic Ice Shelf,,0,0.0
29,Antarctic Ice Shelf,,0,0.0
28,Antarctic Ice Shelf,,0,0.0
27,Antarctic Ice Shelf,,0,0.0
26,Antarctic Ice Shelf,,0,0.0
25,Antarctic Ice Shelf,,0,0.0
24,Antarctic Ice Shelf,,0,0.0
23,Antarctic Ice Shelf,,0,0.0
22,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Lazarev Ice Shelf,0,0.0
0,Antarctic Ice Shelf,,0,0.0
20,Antarctic Ice Shelf,,0,0.0
19,Antarctic Ice Shelf,,0,0.0
18,Antarctic Ice Shelf,,0,0.0
17,Antarctic Ice Shelf,,0,0.0
16,Antarctic Ice Shelf,,0,0.0
15,Antarctic Ice Shelf,,0,0.0
14,Antarctic Ice Shelf,,0,0.0
13,Antarctic Ice Shelf,,0,0.0
12,Antarctic Ice Shelf,,0,0.0
11,Antarctic Ice Shelf,Amery Ice Shelf,0,0.0
10,Antarctic Ice Shelf,,0,0.0
9,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Fimbul Ice Shelf,0,0.0
0,Antarctic Ice Shelf,Ekström Ice Shelf,0,0.0
0,Antarctic Ice Shelf,,0,0.0
0,Antarctic Ice Shelf,Jelbart Ice Shelf,0,0.0
7,Antarctic Ice Shelf,,0,0.0
6,Antarctic Ice Shelf,,0,0.0
5,Antarctic Ice Shelf,,0,0.0
4,Antarctic Ice Shelf,,0,0.0
3,Antarctic Ice Shelf,,0,0.0
2,Antarctic Ice Shelf,,0,0.0
1,Antarctic Ice Shelf,,0,0.0
