featurecla,name,scalerank,min_zoom,min_label,ne_id,name_alt,note,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,name_he,name_uk,name_ur,name_fa,name_zht
Lake,Lago de Atitlán,12.000000000,7.0,8.0,1746328805.000000000,,,,Q273276,,,Atitlán,Atitlán,Atitlán,Atitlán,Λίμνη Ατιτλάν,,Atitlán-tó,Atitlán,Atitlán,アティトラン湖,아틀란호,Meer van Atitlán,Atitlán,Atitlán,Атитлан,Atitlán,,Atitlan,阿蒂特兰湖,אגם אטיטלן,Атітлан,,,阿蒂特蘭湖
Lake,Lago Alajuela,10.000000000,6.0,7.0,1746328793.000000000,,,,Q1416924,ألاخويلا,,Alajuelasee,Alajuela,Alajuela,Alajuela,,,Alajuela-tó,,Alajuela,アラフエラ湖,,Madden Dam,Alajuela,,,,,,,,,,,
Lake,Lake Santa Fe,12.000000000,7.0,8.0,1746328807.000000000,,,,Q6477643,,,,Santa Fe,,Santa Fe,,,,,,,,,,,,,,,,,,,,
Lake,Lake Ocklawaha,12.000000000,7.0,8.0,1746328809.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1746328811.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1746328813.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Lago Bayano,10.000000000,6.0,7.0,1159109839.000000000,,_untitled_99315,,Q2031187,بايانو,,Bayanosee,Bayano,Bayano,Bayano,,,,,Bayano,,,,,,,,,Bayano,,,,,,
Lake,Laguna de Wouhnta,11.000000000,6.7,7.7,1159109813.000000000,,_untitled_99313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Lake Windsor,10.000000000,6.0,7.0,1159106441.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Laguna Mara Lizamba,12.000000000,7.0,8.0,1159109719.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Laguna El Salado,12.000000000,7.0,8.0,1159109691.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Laguna Chila,11.000000000,6.7,7.7,1159109575.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Presa Gustavo Díaz Ordaz (Bacurato),12.000000000,7.0,8.0,1159109437.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159106423.000000000,,_untitled_998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Laguna Salada,11.000000000,6.7,7.7,1159108927.000000000,,,Laguna Salada,Q2004295,,,Salada,Salada,Salada,Salada,,,Salada,,,ラグーナ・サラダ,,Salada,Salada,Salada,,,,,拉古納薩拉達湖,,,,,拉古納薩拉達湖
Lake,,11.000000000,6.7,7.7,1746328799.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Laguna Santa María,12.000000000,7.0,8.0,1159109087.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reservoir,Owyhee Reservoir,11.000000000,6.7,7.7,1159107081.000000000,,,Owyhee Res.,Q7115013,,,,Owyhee,,Owyhee,,,,,,,,,,,,,,,,,,,,
Lake,Lake Charlevoix,12.000000000,7.0,8.0,1159106889.000000000,,_untitled_9970,,Q6475290,,,,Charlevoix,,Charlevoix,,,,,,,,,,,,,,,,,,,,
Lake,Lake Charlevoix,12.000000000,7.0,8.0,1159106921.000000000,,_untitled_9973,,Q6475290,,,,Charlevoix,,Charlevoix,,,,,,,,,,,,,,,,,,,,
Lake,Elk Lake,12.000000000,7.0,8.0,1159106965.000000000,,_untitled_9978,,Q5364034,,,,Elk,,Elk,,,,,,,,,,,,,,,,,,,,
Lake,King George IV Lake,12.000000000,7.0,8.0,1159119131.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reservoir,Réservoir La Grande 4,10.000000000,6.0,7.0,1159123757.000000000,,,Rés. La Grande 4,Q1791103,,,La Grande 4,La Grande 4,,La Grande 4,,,,,,,,,,,,La Grande 4,,,,,,,,
Lake,Sandy Lake,12.000000000,7.0,8.0,1159117507.000000000,,,Sandy Lake,Q7361788,,,,Sandy,,Sandy,,,,,,,,,,,,Sandy,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159113007.000000000,,_untitled_99543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159113353.000000000,,_untitled_99565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Kulik Lake,12.000000000,7.0,8.0,1159106547.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Kulik Lake,12.000000000,7.0,8.0,1159106493.000000000,,,,Q46506876,,,Kulik,Kulik,,,,,,,,,,,,,,,,,,,,,,
Lake,Kukaklik Lake,12.000000000,7.0,8.0,1159106501.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159106513.000000000,,_untitled_9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159106521.000000000,,_untitled_9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159106527.000000000,,_untitled_9924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,,12.000000000,7.0,8.0,1159106533.000000000,,_untitled_9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Lac des Oeufs,12.000000000,7.0,8.0,1159117811.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Grays Lake,12.000000000,7.0,8.0,1159107119.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reservoir,Nelson Reservoir,12.000000000,7.0,8.0,1159106573.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Summer Lake,11.000000000,6.7,7.7,1159107161.000000000,,,Summer Lake,Q2365354,,,Summer,Summer,,Summer,,,,,,,,,,,Саммер,,,,,,,,,
Lake,Stave Lake,12.000000000,7.0,8.0,1159120837.000000000,,,Stave Lake,Q7333425,,,,Stave,,Stave,,,,,,,,,,,,Stave,,,,,,,,
Lake,Pitt Lake,12.000000000,7.0,8.0,1159120723.000000000,,_untitled_99979,,Q7199074,,,,Pitt,Pitt,Pitt,,,,,,ピット湖,,,Pitt,,,Pitt,,,匹特湖,,,,,匹特湖
Lake,Alouette Lake,12.000000000,7.0,8.0,1746328821.000000000,,,,Q280148,,,,Alouette,,Alouette,,,,,,,,,,,,Alouette,,,,,,الوعے جھیل,,
Lake,Harrison Lake,11.000000000,6.7,7.7,1159120633.000000000,,,Harrison Lake,Q317529,,,Harrison,Harrison,Harrison,Harrison,,,,,,ハリソン湖,,Harrison,,Harrison,Харрисон,Harrison,,,哈里森湖,,,ہیرسن جھیل,,哈里森湖
Lake,Lake Washington,11.000000000,6.7,7.7,1159106655.000000000,,,Lake Washington,Q1323525,,,Washington,Washington,Washington,Washington,,,,Washington,Washington,ワシントン湖,워싱턴호,Washington,Washington,Washington,Вашингтон,,,,华盛顿湖,אגם וושינגטון,,,,華盛頓湖
Lake,Buttle Lake,12.000000000,7.0,8.0,1159119877.000000000,,,Buttle Lake,Q316430,,,Buttle,Buttle,,Buttle,,,,,,,,,,Buttle,Батл,Buttle,,Buttle,,,,بٹل جھیل,,
Lake,Lake Nimpkish,12.000000000,7.0,8.0,1159118953.000000000,,,Lake Nimpkish,Q14874727,,,,Nimpkish,,Nimpkish,,,,,,,,,,,,Nimpkish,,,,,,,,
Lake,Dog Lake,11.000000000,6.7,7.7,1159109891.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Mawdesley Lake,12.000000000,7.0,8.0,1159120255.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,Jan Lake,12.000000000,7.0,8.0,1159119167.000000000,,,Jan Lake,Q6149349,,,,Jan,,Jan,,,,,,,,,,,,Jan,,,,,,,,
Lake,Talbot Lake,11.000000000,6.7,7.7,1159109879.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
