scalerank,featurecla,min_zoom
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
6,Reefs,5.0
