strokeweig,featurecla,scalerank,rivernum,dissolve,name,name_alt,note,ne_id,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,name_fa,name_he,name_uk,name_ur,name_zht,min_zoom,min_label
0.150000000,Lake Centerline,13,0,,,,,1746286519,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,Lake Centerline,13,0,,,,,1746286521,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,,,,1746286523,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,,,,1746286525,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Ponton,Ponton Creek,,1746286527,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Alice,,,1746286529,Q1584380,نهر أليس,,Alice River,Alice River,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Buckley,,,1746286531,Q113121,,,Buckley River,Buckley River,,,,,,,,バックリー川,,,,,,Buckley River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Peake,Peake Creek,,1746286535,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Finke,,,1746286537,Q1417383,,,Finke River,Finke River,,Finke River,,,,,,フィンク川,,Finke River,Finke,,Финке,Finke River,,,,رودخانه فینکی,,Фінк,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Hale,,,1746286539,Q1570839,,,Hale River,Hale River,,,,,,,,,,,,,,Hale River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Todd,,,1746286541,Q574435,,,Todd River,Todd River,,,,,,,,,,Todd,,,Тодд,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Strzelecki,Strzelecki Creek,,1746286543,Q2357521,,,Strzelecki Creek,Strzelecki Creek,,,,,,,,ストルゼレスキ・クリーク,,,Strzelecki Creek,,,Strzelecki Creek,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Frome,,,1746286545,Q21911442,,,,Frome River,,,,,,,,,,,,,,Frome River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,,,,1746286547,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,,,,1746286549,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Playford,,,1746286553,Q7203326,,,,Playford River,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Newcastle,Newcastle Creek,,1746286555,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Cresswell,Cresswell Creek,,1746286557,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.200000000,River (Intermittent),13,0,,Great Anabranch of Darling,,,1746286559,Q1544248,,,Great Darling Anabranch,Great Darling Anabranch,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Phillips,,,1746286561,Q7185937,,,,Phillips River,,,,,,,,,,Phillips,,,,Phillips River,,,,,,,,,7.5,8.5
0.200000000,River (Intermittent),13,0,,Phillips,,,1746286563,Q7185937,,,,Phillips River,,,,,,,,,,Phillips,,,,Phillips River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Hodgson,,,1746286565,Q1468954,,,Hodgson River,Hodgson River,,,,,,,,,,,,,,Hodgson River,,,,,,,,,7.5,8.5
0.200000000,River (Intermittent),13,0,,Hodgson,,,1746286567,Q1468954,,,Hodgson River,Hodgson River,,,,,,,,,,,,,,Hodgson River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Sandover,,,1746286571,Q1494082,,,Sandover River,Sandover River,,Sandover River,,,,,,,,Sandover River,,,,Sandover River,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Walker,Walker Creek,,1746286573,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Finke,,,1746286575,Q1417383,,,Finke River,Finke River,,Finke River,,,,,,フィンク川,,Finke River,Finke,,Финке,Finke River,,,,رودخانه فینکی,,Фінк,,,7.5,8.5
0.150000000,River (Intermittent),13,0,,Palmer,,,1746286577,Q1671135,نهر بالمر,,Palmer River,Palmer River,,Palmer River,,,,,,,,Palmer River,,,,,,,帕尔默河,پالمر ریور,,,,帕爾默河,7.5,8.5
0.200000000,River (Intermittent),13,0,,Palmer,,,1746286579,Q1671135,نهر بالمر,,Palmer River,Palmer River,,Palmer River,,,,,,,,Palmer River,,,,,,,帕尔默河,پالمر ریور,,,,帕爾默河,7.5,8.5
