featurecla,scalerank,rivernum,dissolve,name,name_alt,note,name_full,min_zoom,strokeweig,uident,min_label,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
River,10,22360,22360River,Colorado,,ID is link back to CEC data,Colorado River,6.0,0.30,1987701,7.0,Colorado,Q847785,,,Colorado,Colorado,Río Colorado,Colorado,,,Colorado,,Colorado del Texas,コロラド川,,Colorado,Colorado,Rio Colorado,Колорадо,Coloradofloden,Colorado Nehri,,,4,1159107035
River,10,22572,22572River,Cimarron,,ID is link back to CEC data,Cimarron River,6.0,0.25,2154301,7.0,Cimarron,Q1092055,,,Cimarron,Cimarron,Río Cimarrón,Cimarron,,,,,Cimarron,シマロン川,,Cimarron,Cimarron,,Симаррон,,,,锡马龙河,3,1159107047
River,10,22519,22519River,Washita,,ID is link back to CEC data,Washita River,6.0,0.25,1947701,7.0,Washita,Q2993598,,,Washita,Washita,,Washita,,,,,,,,,Washita,,Уошито,,,,,4,1159107059
River,10,22519,22519River,Washita,,ID is link back to CEC data,Washita River,6.0,0.15,1947701,7.0,Washita,Q2993598,,,Washita,Washita,,Washita,,,,,,,,,Washita,,Уошито,,,,,4,1159107069
River,11,22422,22422River,Conecuh,,ID is link back to CEC data,Conecuh River,6.7,0.15,2165001,7.7,Conecuh,Q5159475,,,,Conecuh,,,,,,,,コネーク川,,,,,,,,,,4,1159107079
River,10,22421,22421River,Pea,,ID is link back to CEC data,Pea River,6.0,0.15,1963301,7.0,Pea,Q7157190,,,,Pea,,,,,,,,,,,,,,,,,,4,1159107085
River,11,22423,22423River,E. Fk. Choctawhatchee,,ID is link back to CEC data,East Fork Choctawhatchee River,6.7,0.15,1963001,7.7,E. Fk. Choctawhatchee,Q4272077,,,,Choctawhatchee,,Choctawhatchee,,,,Sungai Choctawhatchee,,,,,,Rio Choctawhatchee,,,,,,5,1159107101
River,11,22378,22378River,Ochlockonee,,ID is link back to CEC data,Ochlockonee River,6.7,0.15,1968001,7.7,Ochlockonee,Q3348721,,,,Ochlockonee,Río Ochlockonee,Ochlockonee,,,,,,,,,Ochlockonee,,,,,,,4,1159107113
River,10,22408,22408River,Little,,ID is link back to CEC data,Little River,6.0,0.20,2163801,7.0,Little,Q6651678,,,,Little,,,,,,,,,,,,,,,,,,2,1159107127
River,10,22411,22411River,Satilla,,ID is link back to CEC data,Satilla River,6.0,0.15,1961201,7.0,Satilla,Q2386134,,,,Satilla,,Satilla,,,,,,,,,,,,,,,,4,1159107135
