scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
2,Airport,major,Hong Kong Int'l,HKG,terminal,VHHH,HKG,http://en.wikipedia.org/wiki/Hong_Kong_International_Airport,150.000,,Q17704,مطار هونغ كونغ الدولي,হংকং আন্তর্জাতিক বিমানবন্দর,Hong Kong International Airport,Hong Kong International Airport,Aeropuerto Internacional de Hong Kong,aéroport international de Hong Kong,,हांगकांग अन्तर्राष्ट्रीय विमानक्षेत्र,Hongkongi nemzetközi repülőtér,Bandar Udara Internasional Hong Kong,aeroporto internazionale di Hong Kong,香港国際空港,홍콩 국제공항,Luchthaven Hongkong,Port lotniczy Hongkong,Aeroporto Internacional de Hong Kong,Чхеклапкок,Hong Kong International Airport,Hong Kong Uluslararası Havalimanı,Sân bay quốc tế Hồng Kông,香港國際機場,4,1159127187
2,Airport,major,Taoyuan,TPE,terminal,RCTP,TPE,http://en.wikipedia.org/wiki/Taiwan_Taoyuan_International_Airport,150.000,,Q44856,مطار تايوان تاويوان الدولي,,Flughafen Taiwan Taoyuan,Taoyuan International Airport,Aeropuerto Internacional de Taiwán Taoyuan,aéroport international Taiwan Taoyuan,,ताइवान ताओयुआन अन्तर्राष्ट्रीय विमानक्षेत्र,Taojüan nemzetközi repülőtér,Bandar Udara Internasional Taoyuan Taiwan,Aeroporto di Taipei-Taoyuan,台湾桃園国際空港,타이완 타오위안 국제공항,Internationale luchthaven Taiwan Taoyuan,Port lotniczy Tajpej-Taiwan Taoyuan,Aeroporto Internacional Chiang Kai-shek,Тайвань-Таоюань,Taiwan Taoyuan Internationella Flygplats,Tayvan Taoyuan Uluslararası Havalimanı,Sân bay quốc tế Đào Viên Đài Loan,臺灣桃園國際機場,4,1159127201
2,Airport,major,Schiphol,AMS,terminal,EHAM,AMS,http://en.wikipedia.org/wiki/Amsterdam_Schiphol_Airport,150.000,,Q9694,,,,,,,,,,,,,,,,,,,,,,2,1159127211
2,Airport,major,Singapore Changi,SIN,terminal,WSSS,SIN,http://en.wikipedia.org/wiki/Singapore_Changi_Airport,150.000,,Q32159,مطار شانغي سنغافورة,সিঙ্গাপুর চাঙ্গি বিমানবন্দর,Flughafen Singapur,Singapore Changi Airport,Aeropuerto Internacional de Singapur,aéroport Changi de Singapour,,सिंगापुर चांगी अन्तर्राष्ट्रीय विमानक्षेत्र,Szingapúr-Changi repülőtér,Bandar Udara Internasional Changi Singapura,Aeroporto Internazionale di Singapore Changi,シンガポール・チャンギ国際空港,싱가포르 창이 국제공항,Internationale luchthaven Changi,Port lotniczy Singapur-Changi,Aeroporto de Singapura,Чанги,Singapore Changi Airport,Singapur Changi Havalimanı,Sân bay quốc tế Singapore Changi,新加坡樟宜机场,4,1159127223
2,Airport,major,London Heathrow,LHR,parking,EGLL,LHR,http://en.wikipedia.org/wiki/London_Heathrow_Airport,150.000,,Q8691,مطار لندن هيثرو,লন্ডন হিথ্রো বিমানবন্দর,Flughafen London Heathrow,Heathrow Airport,Aeropuerto de Londres-Heathrow,aéroport de Londres Heathrow,Διεθνές Αεροδρόμιο Χίθροου,लंदन हीथ्रो विमानक्षेत्र,London-Heathrow-i repülőtér,Bandar Udara Internasional London Heathrow,Aeroporto di Londra-Heathrow,ロンドン・ヒースロー空港,런던 히드로 공항,Luchthaven Londen Heathrow,Port lotniczy Londyn-Heathrow,Aeroporto de Londres Heathrow,Хитроу,London-Heathrow flygplats,Heathrow Havalimanı,Sân bay London Heathrow,伦敦希思罗机场,4,1159127237
2,Airport,major,Auckland Int'l,AKL,terminal,NZAA,AKL,http://en.wikipedia.org/wiki/Auckland_International_Airport,150.000,,Q45938,مطار أوكلاند الدولي,,Flughafen Auckland,Auckland Airport,Aeropuerto Internacional de Auckland,aéroport d'Auckland,,,,Bandar Udara Internasional Auckland,Aeroporto di Auckland,オークランド国際空港,오클랜드 국제공항,Luchthaven van Auckland,Port lotniczy Auckland,Aeroporto de Auckland,Окленд,Auckland International Airport,Auckland Havalimanı,Sân bay Auckland,奧克蘭機場,4,1159127251
2,Airport,major,Anchorage Int'l,ANC,terminal,PALH,ANC,http://en.wikipedia.org/wiki/Lake_Hood_Seaplane_Base,150.000,ok,Q767753,مطار تيد ستيفنز أنكوراج الدولي,,Flughafen Anchorage,Ted Stevens Anchorage International Airport,Aeropuerto Internacional Ted Stevens Anchorage,aéroport international d'Anchorage Ted-Stevens,Διεθνές Αεροδρόμιο του Άνκορεϊτζ «Τεντ Στίβενς»,,,Bandar Udara Internasional Ted Stevens Anchorage,Aeroporto Internazionale di Anchorage-Ted Stevens,テッド・スティーブンス・アンカレッジ国際空港,테드 스티븐스 앵커리지 국제공항,Internationale luchthaven Ted Stevens Anchorage,Port lotniczy Anchorage-Ted Stevens,Aeroporto Internacional Ted Stevens,Анкоридж,Ted Stevens Anchorage International Airport,,Sân bay quốc tế Ted Stevens Anchorage,泰德·史蒂文斯安克雷奇國際機場,5,1159127263
2,Airport,major,Hartsfield-Jackson Atlanta Int'l,ATL,terminal,KATL,ATL,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,150.000,,Q214861,مطار هارتسفيلد جاكسون,হার্টসফিল্ড-জ্যাকসন আটলান্টা আন্তর্জাতিক বিমানবন্দর,Hartsfield–Jackson Atlanta International Airport,Hartsfield–Jackson Atlanta International Airport,Aeropuerto Internacional Hartsfield-Jackson,aéroport international Hartsfield-Jackson d'Atlanta,,,Hartsfield–Jackson nemzetközi repülőtér,Bandar Udara Internasional Hartsfield–Jackson Atlanta,Aeroporto Internazionale di Atlanta-Hartsfield-Jackson,ハーツフィールド・ジャクソン・アトランタ国際空港,하츠필드 잭슨 애틀랜타 국제공항,Hartsfield-Jackson Atlanta International Airport,Port lotniczy Atlanta - Hartsfield-Jackson,Aeroporto Internacional de Atlanta Hartsfield-Jackson,Международный аэропорт Хартсфилд-Джексон Атланта,Hartsfield–Jackson Atlanta International Airport,Atlanta Uluslararası Havalimanı,Sân bay quốc tế Hartsfield-Jackson Atlanta,哈茨菲尔德－杰克逊亚特兰大国际机场,4,1159127283
2,Airport,major,Beijing Capital,PEK,terminal,ZBAA,PEK,http://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,150.000,,Q32190,مطار بكين العاصمة الدولي,বেইজিং আন্তর্জাতিক বিমানবন্দর,Flughafen Peking,Beijing Capital International Airport,Aeropuerto Internacional de Pekín,aéroport international de Pékin,,बेइजिंग कैपिटल अन्तर्राष्ट्रीय विमानक्षेत्र,Pekingi nemzetközi repülőtér,Bandar Udara Internasional Ibu Kota Beijing,aeroporto internazionale di Pechino-Capital,北京首都国際空港,베이징 서우두 국제공항,Luchthaven Peking Capital,Port lotniczy Pekin,Aeroporto Internacional de Pequim,Шоуду,Beijing Capital International Airport,Pekin Havaalanı,Sân bay quốc tế Thủ Đô Bắc Kinh,北京首都国际机场,4,1159127293
2,Airport,major,Eldorado Int'l,BOG,terminal,SKBO,BOG,http://en.wikipedia.org/wiki/El_Dorado_International_Airport,150.000,,Q201785,مطار إلدورادو الدولي,,Flughafen Bogotá,El Dorado International Airport,Aeropuerto Internacional El Dorado,aéroport international El Dorado,,,,Bandar Udara Internasional El Dorado,Aeroporto di Bogotà-El Dorado,エルドラド国際空港,엘도라도 국제공항,Internationale Luchthaven El Dorado,Port lotniczy Bogotá-El Dorado,Aeroporto Internacional El Dorado,Богота,El Dorado International Airport,El Dorado Uluslararası Havalimanı,Sân bay quốc tế El Dorado,埃尔多拉多国际机场,4,1159127303
2,Airport,major,Chhatrapati Shivaji Int'l,BOM,terminal,VABB,BOM,http://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,150.000,,Q504368,مطار تشاتراباتي شيفاجي الدولي,ছত্রপতি শিবাজী আন্তর্জাতিক বিমানবন্দর,Flughafen Mumbai,Chhatrapati Shivaji International Airport,Aeropuerto Internacional Chhatrapati Shivaji,aéroport international Chhatrapati-Shivaji,,छत्रपति शिवाजी अंतर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Chhatrapati Shivaji,Aeroporto di Mumbai,チャットラパティー・シヴァージー国際空港,차트라파티 시바지 국제공항,Chhatrapati Shivaji International Airport,Port lotniczy Chhatrapati Shivaji,Aeroporto Internacional de Chhatrapati Shivaji,Международный аэропорт имени Чатрапати Шиваджи,Chhatrapati Shivaji internationella flygplats,,Sân bay quốc tế Chhatrapati Shivaji,贾特拉帕蒂·希瓦吉国际机场,4,1159127317
2,Airport,major,Gen E L Logan Int'l,BOS,terminal,KBOS,BOS,http://en.wikipedia.org/wiki/Logan_International_Airport,150.000,,Q671475,مطار لوجان الدولي,,Logan International Airport,Logan International Airport,Aeropuerto Internacional Logan,aéroport international Logan,,लोगान हवाई अड्डा,,Bandar Udara Internasional Logan,Aeroporto Internazionale Generale Edward Lawrence Logan,ジェネラル・エドワード・ローレンス・ローガン国際空港,로건 국제공항,Internationale luchthaven Boston,Port lotniczy Boston,Aeroporto Internacional de Boston,Логан,Logan International Airport,,Sân bay quốc tế Logan,爱德华·劳伦斯·洛根将军国际机场,4,1159127331
2,Airport,major,Baltimore-Washington Int'l Thurgood Marshall,BWI,terminal,KBWI,BWI,http://en.wikipedia.org/wiki/Baltimore-Washington_International_Thurgood_Marshall_Airport,150.000,,Q94895,مطار بالتيمور واشنطن الدولي,,Baltimore-Washington International Airport,Baltimore/Washington International Thurgood Marshall Airport,Aeropuerto Internacional de Baltimore-Washington,aéroport international Thurgood Marshall de Baltimore-Washington,,,,,Aeroporto Internazionale di Baltimora-Washington Thurgood Marshall,ボルチモア・ワシントン国際空港,,Baltimore/Washington International Thurgood Marshall Airport,Port lotniczy Baltimore/Waszyngton,Aeroporto Internacional de Baltimore-Washington Thurgood Marshall,Балтимор/Вашингтон,,,Sân bay quốc tế Baltimore-Washington Thurgood Marshall,巴尔的摩/华盛顿瑟古德·马歇尔国际机场,4,1159127345
