scalerank,featurecla,name,dissolve,note,min_zoom,strokeweig,name_alt,name_en,min_label,ne_id,label,wikidataid,name_ar,name_bn,name_de,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,name_fa,name_he,name_uk,name_ur,name_zht
5,River,,River_untitled_77,_untitled_77,4.7,0.20,,,5.7,1159113739,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,River,Ebro,RiverEbro,,4.7,0.15,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,এব্রো,Ebro,Ebro,Èbre,Έβρος,एब्रो,Ebro,Ebro,Ebro,エブロ川,에브로강,Ebro,Ebro,Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,ایبرو,אברו,Ебро,ایبرو,埃布羅河
5,River,Ebro,RiverEbro,,4.7,0.20,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,এব্রো,Ebro,Ebro,Èbre,Έβρος,एब्रो,Ebro,Ebro,Ebro,エブロ川,에브로강,Ebro,Ebro,Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,ایبرو,אברו,Ебро,ایبرو,埃布羅河
5,River,Ebro,RiverEbro,,4.7,0.25,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,এব্রো,Ebro,Ebro,Èbre,Έβρος,एब्रो,Ebro,Ebro,Ebro,エブロ川,에브로강,Ebro,Ebro,Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,ایبرو,אברו,Ебро,ایبرو,埃布羅河
5,River,Ebro,RiverEbro,,4.7,0.30,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,এব্রো,Ebro,Ebro,Èbre,Έβρος,एब्रो,Ebro,Ebro,Ebro,エブロ川,에브로강,Ebro,Ebro,Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,ایبرو,אברו,Ебро,ایبرو,埃布羅河
5,Lake Centerline,Mississippi,Lake CenterlineMississippi,,4.7,0.20,,Mississippi,5.7,1159112609,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,Lake Centerline,Mississippi,Lake CenterlineMississippi,,4.7,0.25,,Mississippi,5.7,1159112609,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.15,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.20,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.20,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.25,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.30,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.35,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.40,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Mississippi,RiverMississippi,,4.7,0.45,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر المسيسيبي,মিসিসিপি নদী,Mississippi,Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Mississippi,Mississippi,ミシシッピ川,미시시피강,Mississippi,Missisipi,Mississípi,Миссисипи,Mississippifloden,Mississippi,Mississippi,密西西比河,رودخانه میسیسیپی,מיסיסיפי,Міссісіпі,دریائے مسیسپی,密西西比河
5,River,Usumacinta,RiverUsumacinta,,4.7,0.25,,Usumacinta,5.7,1159112671,Usumacinta,Q1139679,أوسوماسينتا,উসুমাসিন্তা,Usumacinta,Usumacinta,Usumacinta,Ουσουματσίντα,उसुमासिंटा,Usumacinta,Usumacinta,Usumacinta,ウスマシンタ川,우스마신타,Usumacinta,Usumacinta,Usumacinta,Усумасинта,Usumacinta,Usumacinta,Sông Usumacinta,乌苏马辛塔河,اوسوماسینتا,אוּסוּמאסינטה,Усумасінта,اوسوماکنٹا,烏蘇馬辛塔河
5,River,Usumacinta,RiverUsumacinta,,4.7,0.20,,Usumacinta,5.7,1159112671,Usumacinta,Q1139679,أوسوماسينتا,উসুমাসিন্তা,Usumacinta,Usumacinta,Usumacinta,Ουσουματσίντα,उसुमासिंटा,Usumacinta,Usumacinta,Usumacinta,ウスマシンタ川,우스마신타,Usumacinta,Usumacinta,Usumacinta,Усумасинта,Usumacinta,Usumacinta,Sông Usumacinta,乌苏马辛塔河,اوسوماسینتا,אוּסוּמאסינטה,Усумасінта,اوسوماکنٹا,烏蘇馬辛塔河
