adm1_code,diss_me,iso_3166_2,wikipedia,iso_a2,adm0_sr,name,name_alt,name_local,type,type_en,code_local,code_hasc,note,hasc_maybe,region,region_cod,provnum_ne,gadm_level,check_me,scalerank,datarank,abbrev,postal,area_sqkm,sameascity,labelrank,featurecla,name_len,mapcolor9,mapcolor13,fips,fips_alt,woe_id,woe_label,woe_name,latitude,longitude,sov_a3,adm0_a3,adm0_label,admin,geonunit,gu_a3,gn_id,gn_name,gns_id,gns_name,gn_level,gn_region,gn_a1_code,region_sub,sub_code,gns_level,gns_lang,gns_adm1,gns_region,min_label,max_label,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_he,name_uk,name_ur,name_fa,name_zht,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA
C,N,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,N,N,N,N,N,C,C,N,N,N,C,N,N,N,C,C,N,C,C,N,N,C,C,N,C,C,C,N,C,N,C,N,C,C,C,C,N,C,C,C,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ARE-349,349,AE-AZ,,AE,3,Abu Dhabi,Aboû Dabî|Abu Dabi|Abū Ẓabī|Abū Ẓaby,,Emirate,Emirate,,AE.AZ,,,,,1,1,0,9,8,,AZ,0.00000000000,6,6,Admin-1 scale rank,9,3,3,AE01,,2347109,"Abu Dhabi, AE, United Arab Emirates",Abu Dhabi,23.5238000000,54.0817000000,ARE,ARE,2,United Arab Emirates,United Arab Emirates,ARE,292969,Abu Zaby,-782065,Abu Zaby,1,,AE.01,,,1,ara,AE01,,8.7,11.0,8.7,Q187712,إمارة أبوظبي,আবুধাবি আমিরাত,Abu Dhabi,Emirate of Abu Dhabi,Abu Dabi,Abou Dabi,Εμιράτο του Άμπου Ντάμπι,अबू धाबी अमीरात,Abu-Dzabi,Abu Dhabi Emirate,Abu Dhabi,アブダビ,아부다비 토후국,Abu Dhabi,Abu Zabi,Emirados Abu Dhabi,Абу-Даби,Emiratet Abu Dhabi,Abu Dabi Emirliği,Abu Dhabi,阿布扎比酋长国,1159307647,אבו דאבי,Абу-Дабі,ابوظہبی,ابوظبی,阿布達比酋長國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-159,159,CH-GE,,CH,1,Genève,Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra,,Canton|Kanton|Chantun,Canton,,CH.GE,,,,,20,1,20,9,7,,GE,0.00000000000,9,9,Admin-1 scale rank,6,7,3,SZ07,,2347089,"Canton of Geneva, CH, Switzerland",Genève,46.2370000000,6.11764000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2660645,Canton de Geneve,-2552152,"Geneve, Canton de",1,,CH.GE,,,1,deu,SZ07,,8.7,11.0,8.7,Q11917,كانتون جنيف,জেনেভা,Kanton Genf,Geneva,Ginebra,canton de Genève,Γενεύης,जनीवा कैन्टन,Genf kanton,Kanton Jenewa,Canton Ginevra,ジュネーヴ州,제네바,Genève,Genewa,Genebra,Женева,Genève,Cenevre,Genève,日內瓦州,1159307651,קנטון ז'נבה,Женева,کینٹن جنیوا,ایالت ژنو,日內瓦州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-160,160,CH-JU,,CH,1,Jura,Giura,,Canton|Kanton|Chantun,Canton,,CH.JU,,,,,19,1,20,9,7,,JU,0.00000000000,-99,9,Admin-1 scale rank,4,7,3,SZ26,,2347108,"Canton of Jura, CH, Switzerland",Jura,47.3636000000,7.19817000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2660207,Canton du Jura,-2552595,"Jura, Canton du",1,,CH.JU,,,1,deu,SZ26,,8.7,11.0,8.7,Q12755,كانتون جورا,জুরা,Kanton Jura,Jura,Jura,Jura,Τζούρα,जूरा कैन्टन,Jura kanton,Kanton Jura,Canton Giura,ジュラ州,쥐라,Kanton Jura,Kanton Jura,do Jura,Юра,Kanton Jura,Jura,Jura,汝拉州,1159307653,ז'ורה,Кантон Юра,کینٹن جورا,ایالت ژورا,汝拉州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-161,161,CH-NE,,CH,1,Neuchâtel,Neuenburg,,Canton|Kanton|Chantun,Canton,,CH.NE,,,,,11,1,20,9,7,,NE,0.00000000000,9,9,Admin-1 scale rank,9,7,3,SZ12,,2347094,"Canton of Neuchatel, CH, Switzerland",Neuchâtel,46.9893000000,6.76076000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2659495,Canton de Neuchatel,-2553319,"Neuchatel, Canton de",1,,CH.NE,,,1,deu,SZ12,,8.7,11.0,8.7,Q12738,كانتون نيوشاتل,ক্যান্টন অফ নুচাচেল,Kanton Neuenburg,Neuchâtel,Neuchâtel,canton de Neuchâtel,Νεσατέλ,नोशातेल कैन्टन,Neuchâtel kanton,Kanton Neuchâtel,Canton Neuchâtel,ヌーシャテル州,뇌샤텔,Neuchâtel,Neuchâtel,Neuchâtel,Невшатель,Neuchâtel,Neuchâtel,Bang Neuchâtel,纳沙泰尔州,1159307655,קנטון נשאטל,Невшатель,کینٹن نوشاتل,ایالت نوشاتل,納沙泰爾州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-162,162,CH-AG,,CH,1,Aargau,Argovia|Arg¢via|Argovie,,Canton|Kanton|Chantun,Canton,,CH.AG,,,,,10,1,20,9,7,,AG,0.00000000000,-99,9,Admin-1 scale rank,6,7,3,SZ01,,2347083,"Canton of Aargau, CH, Switzerland",Aargau,47.4176000000,8.19995000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2661876,Kanton Aargau,-2550909,"Aargau, Kanton",1,,CH.AG,,,1,deu,SZ01,,8.7,11.0,8.7,Q11972,كانتون أرجاو,আরগাও,Kanton Aargau,Aargau,Argovia,canton d'Argovie,Άαργκαου,आरगाउ कैन्टन,Aargau kanton,Kanton Aargau,Canton Argovia,アールガウ州,아르가우,Aargau,Argowia,Argóvia,Аргау,Aargau,Aargau,Aargau,阿尔高州,1159307657,ארגאו,Ааргау,آرگاؤ,ایالت آرگاو,阿爾高州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-163,163,CH-LU,,CH,1,Lucerne,Lucerna|Luzern,,Canton|Kanton|Chantun,Canton,,CH.LU,,,,,32,1,20,9,7,,LU,0.00000000000,-99,9,Admin-1 scale rank,7,7,3,SZ11,,2347093,"Canton of Lucerne, CH, Switzerland",Lucerne,47.0960000000,8.17219000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2659810,Kanton Luzern,-2552995,"Luzern, Kanton",1,,CH.LU,,,1,deu,SZ11,,8.7,11.0,8.7,Q12121,كانتون لوتسيرن,লুসেন ক্যান্টন,Kanton Luzern,Lucerne,Lucerna,canton de Lucerne,Λουκέρνης,लूसर्न कैन्टन,Luzern kanton,Kanton Luzern,Canton Lucerna,ルツェルン州,루체른,Luzern,Lucerna,Lucerna,Люцерн,Luzern,Luzern,Luzern,卢塞恩州,1159307659,קנטון לוצרן,Люцерн,کینٹن لوتسیرن,ایالت لوسرن,卢塞恩州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-164,164,CH-NW,,CH,1,Nidwalden,Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo,,Canton|Kanton|Chantun,Canton,,CH.NW,,,,,31,1,20,9,7,,NW,0.00000000000,-99,9,Admin-1 scale rank,9,7,3,SZ13,,2347095,"Canton of Nidwalden, CH, Switzerland",Nidwalden,46.9340000000,8.40344000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2659471,Kanton Nidwalden,-2553343,"Nidwalden, Kanton",1,,CH.NW,,,1,deu,SZ13,,8.7,11.0,8.7,Q12592,كانتون نيدفالدن,নিডওয়ডেন,Kanton Nidwalden,Nidwalden,Nidwalden,canton de Nidwald,Νίντβαλντεν,नीडवाल्डन कैन्टन,Nidwalden kanton,Kanton Nidwalden,Canton Nidvaldo,ニトヴァルデン準州,니트발덴,Nidwalden,Nidwalden,Nidwald,Нидвальден,Nidwalden,Nidwalden,Nidwalden,下瓦尔登州,1159307661,נידוולדן,Нідвальден,نیدوالدن,ایالت نیدوالدن,下瓦爾登州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-165,165,CH-VS,,CH,1,Valais,Vallais|Vallese|Wallis,,Canton|Kanton|Chantun,Canton,,CH.VS,,,,,13,1,20,9,7,,VS,0.00000000000,-99,9,Admin-1 scale rank,6,7,3,SZ22,,2347104,"Canton of Valais, CH, Switzerland",Valais,46.2023000000,7.61347000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2658205,Canton du Valais,-2554622,"Valais, Canton du",1,,CH.VS,,,1,swa,SZ22,,8.7,11.0,8.7,Q834,كانتون فاليز,ক্যান্টন অব ভ্যালাইস,Kanton Wallis,Valais,Valais,Valais,Βαλαί,वाले कैन्टन,Wallis kanton,Kanton Valais,Canton Vallese,ヴァレー州,발레,Wallis,Valais,Valais,Вале,Valais,Valais,Valais,瓦莱州,1159307663,ואלה,Вале,والے,ایالت وله,瓦萊州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE-166,166,CH-AR,,CH,1,Appenzell Ausserrhoden,Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno,,Canton|Kanton|Chantun,Canton,,CH.AR,,,,,33,1,20,9,7,,AR,0.00000000000,-99,9,Admin-1 scale rank,22,7,3,SZ02,,2347084,"Canton of Appenzell Outer-Rhodes, CH, Switzerland",Appenzell Ausserrhoden,47.3911000000,9.39726000000,CHE,CHE,2,Switzerland,Switzerland,CHE,2661739,Kanton Appenzell Ausserrhoden,-2551048,"Appenzell Ausserrhoden, Kanton",1,,CH.AR,,,1,deu,SZ02,,8.7,11.0,8.7,Q12079,كانتون أبينزيل أوسيرهودن,অ্যাপেনজেল অসারহোডেন,Kanton Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rodas Exteriores,canton d'Appenzell Rhodes-Extérieures,Απενζέλ Οσερχόντεν,आपनत्सेल आउसारोडन कैन्टन,Appenzell Ausserrhoden kanton,Kanton Appenzell Ausserrhoden,Canton Appenzello Esterno,アッペンツェル・アウサーローデン準州,아펜첼아우서로덴,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Exterior,Аппенцелль-Ауссерроден,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Ausserrhoden,外阿彭策尔州,1159307665,אפנצל אוסר-רודן,Аппенцелль — Ауссерроден,اپینسیل اوسیررودن,ایالت آپنتزل آوسرهودن,外阿彭策爾州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
