FEATURECLA,SCALERANK,ADMIN1_COD,ISO_3166_2,ISO_A2,ADM0_SR,NAME,NAME_ALT,NAME_LOCAL,TYPE,TYPE_EN,CODE_LOCAL,REGION,REGION_COD,ABBREV,AREA_SQKM,SAMEASCITY,LABELRANK,NAME_LEN,MAPCOLOR9,MAPCOLOR13,FIPS,SOV_A3,ADM0_A3,ADM0_LABEL,ADMIN,GEONUNIT,GU_A3,MIN_LABEL,MAX_LABEL,MIN_ZOOM,WIKIDATAID,NE_ID
C,N,C,C,C,N,C,C,C,C,C,C,C,C,C,N,N,N,N,N,N,C,C,C,N,C,C,C,N,N,N,C,N
Admin-2 scale rank,0,USA-01001,US-01,US,1,Autauga,Autauga County,,County,County,01001,AL,01,,1544,0,0,7,1,1,US01001,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089693
Admin-2 scale rank,0,USA-01005,US-01,US,1,Barbour,Barbour County,,County,County,01005,AL,01,,2405,0,0,7,1,1,US01005,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089695
Admin-2 scale rank,0,USA-01007,US-01,US,1,Bibb,Bibb County,,County,County,01007,AL,01,,1619,0,0,4,1,1,US01007,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089697
Admin-2 scale rank,0,USA-01009,US-01,US,1,Blount,Blount County,,County,County,01009,AL,01,,1795,0,0,6,1,1,US01009,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089699
Admin-2 scale rank,0,USA-01011,US-01,US,1,Bullock,Bullock County,,County,County,01011,AL,01,,1587,0,0,7,1,1,US01011,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089703
Admin-2 scale rank,0,USA-01013,US-01,US,1,Butler,Butler County,,County,County,01013,AL,01,,2015,0,0,6,1,1,US01013,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089705
Admin-2 scale rank,0,USA-01017,US-01,US,1,Chambers,Chambers County,,County,County,01017,AL,01,,1574,0,0,8,1,1,US01017,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089707
Admin-2 scale rank,0,USA-01019,US-01,US,1,Cherokee,Cherokee County,,County,County,01019,AL,01,,1545,0,0,8,1,1,US01019,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089709
Admin-2 scale rank,0,USA-01021,US-01,US,1,Chilton,Chilton County,,County,County,01021,AL,01,,1823,0,0,7,1,1,US01021,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089711
Admin-2 scale rank,0,USA-01023,US-01,US,1,Choctaw,Choctaw County,,County,County,01023,AL,01,,2460,0,0,7,1,1,US01023,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089713
Admin-2 scale rank,0,USA-01025,US-01,US,1,Clarke,Clarke County,,County,County,01025,AL,01,,3206,0,0,6,1,1,US01025,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089715
Admin-2 scale rank,0,USA-01027,US-01,US,1,Clay,Clay County,,County,County,01027,AL,01,,1568,0,0,4,1,1,US01027,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089717
Admin-2 scale rank,0,USA-01029,US-01,US,1,Cleburne,Cleburne County,,County,County,01029,AL,01,,1453,0,0,8,1,1,US01029,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089721
Admin-2 scale rank,0,USA-01031,US-01,US,1,Coffee,Coffee County,,County,County,01031,AL,01,,1762,0,0,6,1,1,US01031,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089723
Admin-2 scale rank,0,USA-01033,US-01,US,1,Colbert,Colbert County,,County,County,01033,AL,01,,1638,0,0,7,1,1,US01033,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089725
Admin-2 scale rank,0,USA-01035,US-01,US,1,Conecuh,Conecuh County,,County,County,01035,AL,01,,2191,0,0,7,1,1,US01035,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089727
Admin-2 scale rank,0,USA-01037,US-01,US,1,Coosa,Coosa County,,County,County,01037,AL,01,,1725,0,0,5,1,1,US01037,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089729
Admin-2 scale rank,0,USA-01039,US-01,US,1,Covington,Covington County,,County,County,01039,AL,01,,2708,0,0,9,1,1,US01039,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089731
Admin-2 scale rank,0,USA-01041,US-01,US,1,Crenshaw,Crenshaw County,,County,County,01041,AL,01,,1543,0,0,8,1,1,US01041,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089733
Admin-2 scale rank,0,USA-01043,US-01,US,1,Cullman,Cullman County,,County,County,01043,AL,01,,1824,0,0,7,1,1,US01043,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089735
Admin-2 scale rank,0,USA-01045,US-01,US,1,Dale,Dale County,,County,County,01045,AL,01,,1455,0,0,4,1,1,US01045,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089739
Admin-2 scale rank,0,USA-01047,US-01,US,1,Dallas,Dallas County,,County,County,01047,AL,01,,2563,0,0,6,1,1,US01047,US1,USA,2,United States of America,United States of America,USA,8.0,10.0,6.0,,1730089741
