scalerank,featurecla,name,website,natlscale,ne_id
N,C,C,C,N,N
8,Port,Sint Nicolaas,www.rocargo.com/SanNicolas.html,5.000,1730087247
8,Port,Campana,www.consejoportuario.com.ar,5.000,1730087249
8,Port,Zarate,www.consejoportuario.com.ar,5.000,1730087251
8,Port,Puerto Belgrano/Bahia Blanca,,5.000,1730087255
8,Port,Puerto Galvan/Bahia Blanca,,5.000,1730087257
8,Port,Ingeniero White/Bahia Blanca,,5.000,1730087259
8,Port,Saint John's,www.ab.gov.ag,5.000,1730087261
8,Port,Fremantle,www.fremantleports.com.au,5.000,1730087263
8,Port,Botany Bay,www.sydneyports.com.au,5.000,1730087265
8,Port,Rockhampton,www.gpcl.com.au,5.000,1730087267
8,Port,Oostende (Ostend),www.portofoostende.be,5.000,1730087269
8,Port,Zeebrugge,www.zeebruggeport.be,5.000,1730087273
8,Port,Burgas,www.port-burgas.com,5.000,1730087275
8,Port,Mina Sulman Port,www.bahrainports.gov.bh,5.000,1730087277
8,Port,Sitrah,www.bahrainports.gov.bh,5.000,1730087279
8,Port,Saint George,,5.000,1730087281
8,Port,Mucuripe,www.docasdoceara.com.br,5.000,1730087283
8,Port,Niteroi,www.portosrio.gov.br,5.000,1730087285
8,Port,Sao Francisco do Sul,www.apsfs.sc.gov.br,5.000,1730087287
8,Port,Chatham,,5.000,1730087291
8,Port,Clarenville,,5.000,1730087293
8,Port,Comox,,5.000,1730087295
8,Port,Esquimalt,,5.000,1730087297
8,Port,Grand Bank,,5.000,1730087299
8,Port,North Sydney,,5.000,1730087301
8,Port,Caraquet,,5.000,1730087303
8,Port,Chicoutimi,,5.000,1730087305
8,Port,Corner Brook,www.cornerbrookport.com,5.000,1730087309
8,Port,Digby,www.portofdigby.ns.ca,5.000,1730087311
8,Port,Harbour Grace,,5.000,1730087313
8,Port,Pictou,www.pictoumarineterminals.com,5.000,1730087315
8,Port,Shelburne,,5.000,1730087317
8,Port,Sorel,,5.000,1730087319
8,Port,Springdale,,5.000,1730087321
8,Port,Saint-John's,www.sjpa.com,5.000,1730087323
8,Port,Coronel,,5.000,1730087327
8,Port,Lota,,5.000,1730087329
8,Port,Talcahuano,www.puertotalcahuano.cl,5.000,1730087331
8,Port,San Antonio,www.sanantonioport.com,5.000,1730087333
8,Port,Haimen,,5.000,1730087335
8,Port,Qinhuangdao,,5.000,1730087337
8,Port,Yantian,www.yantian-port.com,5.000,1730087339
8,Port,Yingkou,,5.000,1730087341
8,Port,Moin,www.japdeva.go.cr,5.000,1730087345
8,Port,Banes,,5.000,1730087347
8,Port,Caibarien,,5.000,1730087349
8,Port,Isabela de Sagua,,5.000,1730087351
8,Port,Nuevitas,,5.000,1730087353
8,Port,Famagusta,,5.000,1730087355
8,Port,Cuxhaven,www.cuxport.de,5.000,1730087357
8,Port,Eckernforde,www.stadtwerke-eckernfoerde.de,5.000,1730087359
8,Port,Nordenham,,5.000,1730087363
8,Port,Papenburg,,5.000,1730087365
8,Port,Wismar,www.hafen-wismar.de,5.000,1730087367
8,Port,Nyborg,www.adp-as.com,5.000,1730087369
8,Port,Helsingor,www.helsingoerhavn.dk,5.000,1730087371
8,Port,Odense,,5.000,1730087373
8,Port,Nyborg,www.nyborg.dk/Engelsk/Tourism/NyborgsHarbours,5.000,1730087375
8,Port,Frederikshavn,www.frederikshavnhavn.dk,5.000,1730087377
8,Port,Haderslev,,5.000,1730087381
8,Port,Horsens,www.horsenshavn.dk,5.000,1730087383
8,Port,Kalundborg,www.portofkalundborg.dk,5.000,1730087385
8,Port,Kolding,www.koldingport.dk,5.000,1730087387
8,Port,Nakskov,,5.000,1730087389
8,Port,Nykobing Falster,www.guldborgsundhavne.dk,5.000,1730087391
8,Port,Randers,www.randershavn.dk,5.000,1730087393
8,Port,Rudkobing,www.langelandkommune.dk,5.000,1730087395
8,Port,Svendborg,,5.000,1730087399
8,Port,Vejle,www.vejleport.dk,5.000,1730087401
