rwdb_rr_id,mult_track,electric,other_code,category,disp_scale,add,featurecla,scalerank,natlscale,part,continent
N,N,N,N,N,C,N,C,N,N,C,C
1,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
2,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
3,1,1,1,1,1:10m,0,Railroad,8,10.000,ne_global_not_north_america,Europe
4,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
5,1,2,1,1,1:10m,0,Railroad,8,10.000,ne_global_not_north_america,Asia
6,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Asia
7,2,2,1,1,1:10m,0,Railroad,8,10.000,ne_global_not_north_america,Asia
8,2,2,1,1,1:10m,0,Railroad,8,10.000,ne_global_not_north_america,Asia
9,1,2,1,1,1:10m,0,Railroad,8,10.000,ne_global_not_north_america,Asia
10,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Asia
11,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Asia
12,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Asia
13,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Asia
14,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Asia
15,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Asia
16,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Europe
17,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
18,1,2,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
19,1,2,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
20,1,1,1,3,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
21,1,1,1,3,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
22,1,1,1,3,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
23,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Europe
24,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
25,1,2,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
26,2,2,1,1,1:80m,0,Railroad,5,75.000,ne_global_not_north_america,Europe
27,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
28,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
29,1,1,1,1,1:20m,0,Railroad,7,20.000,ne_global_not_north_america,Europe
30,2,2,1,1,1:80m,0,Railroad,5,75.000,ne_global_not_north_america,Europe
31,1,1,1,1,1:5m,0,Railroad,9,5.000,ne_global_not_north_america,Europe
32,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
33,2,2,1,1,1:80m,0,Railroad,5,75.000,ne_global_not_north_america,Europe
34,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
35,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
36,2,2,1,1,1:80m,0,Railroad,5,75.000,ne_global_not_north_america,Europe
37,1,1,1,1,1:3m,0,Railroad,10,1.000,ne_global_not_north_america,Europe
38,2,2,1,1,1:80m,0,Railroad,5,75.000,ne_global_not_north_america,Europe
