scalerank,featurecla,name,elevation,comment,name_alt,lat_y,long_x,nation1,nation2,note,region,subregion,min_zoom,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_fa,name_he,name_uk,name_ur,name_zht
N,C,C,N,C,C,N,N,C,C,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C
7,mountain,Jabal al Uwaynt,1934.000000000,,,21.916510321,24.983409050,,,,Africa,,7.0,Jabal al Uwaynt,Q3647391,جبل أركنو,জাবাল আল উওয়ান্ত,Jabal Arkanu,Jabal Arkanu,Jabal al Uwaynt,Jebel Arkanu,Τζαμπάλ αλ Ουγουάιντ,जबल अल उवेन्त,Jabal al-Uwaynt,Jabal al Uwaynt,Gebel Archenu,ジャバル・アル・ウウェイント,자발 알 우와인트,Jabal Arkanu,Jabal al Uwaynt,Jabal al-ʿUwaināt,гора Джебель-эль-Увайнат,Jabal Arkanū,Jabal al Uwaynt,Núi Uwaynt,乌万特山,1159105181,کوه آرکانو,הר אל אוונט,Джабаль-ель-Увейнт,جبل ال اوینت,烏萬特山
7,mountain,Jabal Teljo,1954.000000000,,,14.700201727,25.933482293,,,,Africa,,7.0,,,جبل تلجو,জাবাল তেলজো,Jabal Teljo,Jabal Teljo,Jabal Teljo,Jabal Teljo,Τζαμπάλ Τέλγιο,जबल तेलजो,Jabal Teljo,Jabal Teljo,Jabal Teljo,ジャバル・テルジョ山,자발 텔조,Jabal Teljo,Jabal Teljo,Jabal Teljo,,Jabal Teljo,Jabal Teljo,Núi Teljo,泰尔乔山,1159105183,جبل تلجیو,הר טלג'ו,Джабаль-Тельо,جبل تیلجو,泰爾喬山
7,mountain,Hunsberge,1655.000000000,,,-27.833306573,17.166514519,,,,Africa,,7.0,,Q15056776,هانس بيرغ,হান্সবার্গ,Hunsberge,Hunsberge,Hunsberge,Hunsberge,Χούνσμπεργκε,हुन्सबर्गे,Hunsberge,Hunsberge,Hunsberge,フンスベルゲ山,훈스베르게,Hunsberge,Hunsberge,Hunsberge,гора Хунсберге,Hunsberge,Hunsberge,Núi Hunsberge,亨斯伯格山,1159105187,هانسبرگ,הוּנסברג,Хансберг,ینزبرگ,洪斯貝格山
7,mountain,Mount Richard-Molard,1752.000000000,,Mt. Nimba,7.619696356,-8.413807746,,,,Africa,,7.0,Mt. Richard-Molard,Q849129,جبل ريتشارد مولارد,মাউন্ট রিচার্ড-মোলার্ড,Mont Richard-Molard,Mount Richard-Molard,Monte Nimba,mont Nimba,Όρος Ρίτσαρντ-Μόλαρντ,रिचर्ड-मोलार्ड पर्वत,Mount Richard-Molard,Gunung Richard-Molard,Monte Nimba,ニンバ山,마운트 리차드-몰라드,Mount Nimba,Nimba,Monte Richard-Molard,Нимба,Mont Nimba,Richard-Molard Dağı,Núi Richard-Molard,宁巴峰,1159105189,کوه ریچارد-مولارد,הר נימבה,Німба,ماؤنٹ رچرڈ مولارڈ,寧巴峰
7,mountain,Jabal Is,1851.000000000,,,22.049872137,35.466563347,,,,Africa,,7.0,,,جبل إس,জাবাল ইস,Jabal Is,Jabal Is,Jabal Is,Jabal Is,Τζαμπάλ Ις,जबल इस,Jabal Is,Jabal Is,Jabal Is,ジャバル・イス山,자발 이스,Jabal Is,Jabal Is,Jabal Is,гора Джебель-Ис,Jabal Is,Jabal Is,Núi Is,伊思山,1159105191,جبل ایس,הר איס,Джабаль-Іс,جبل اس,埃是山
7,spot elevation,,694.000000000,,,7.666083075,4.935923699,,,,Africa,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1159105193,,,,,
7,mountain,Mont Agou,968.000000000,,,6.878302313,0.757334832,,,,Africa,,7.0,,Q1753509,جبل أغو,মঁ আগোউ,Mont Agou,Mount Agou,Monte Agou,mont Agou,Μον Αγκού,मोंट अगौ,Mont Agou,Gunung Agou,Agou,アグー山,몽 아구,Mont Agou,Mont Agou,Monte Agou,Агу,Mont Agou,Agou Dağı,Núi Agou,阿古山,1159105195,کوه آگو,הר בגזאן,Агу,مونٹ آگو,阿古山
7,mountain,Mount Dimlang,2042.000000000,,,8.397772528,11.789439324,,,,Africa,,7.0,Dimlang,Q8540195,جبل ديملانغ,মাউন্ট দিমল্যাং,Mount Dimlang,Mount Dimlang,Monte Dimlang,Mont Dimlang,Όρος Ντίμπλανγκ,डिमलांग पर्वत,Mount Dimlang,Gunung Dimlang,Monte Dimlang,ディムラン山,마운트 딤랑,Mount Dimlang,Mount Dimlang,Monte Dimlang,гора Димланг,Dimlang,Dimlang Dağı,Núi Dimlang,迪姆朗山,1159105197,کوه دیملانگ,הר אדי,гора Дімланг,ماؤنٹ ڈملینگ,丁朗山
7,spot elevation,,1781.000000000,,,9.216986395,9.162242058,,,,Africa,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1159105199,,,,,
7,spot elevation,,1893.000000000,,,-13.906426691,29.668223504,,,,Africa,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1159105201,,,,,
7,mountain,Bokkeveldberg,843.000000000,,,-31.125420831,18.980601433,,,,Africa,,7.0,,,بوكفيلد بيرج,বোক্কেভেল্ডবার্গ,Bokkeveldberg,Bokkeveldberg,Bokkeveldberg,Bokkeveldberg,Μπόκεβελντμπεργκ,बोकेवेल्डबर्ग,Bokkeveldberg,Bokkeveldberg,Bokkeveldberg,ボッケフェルトベルグ山,보케벨드베르크,Bokkeveldberg,Góra Bokkeveld,Bokkeveldberg,Боккефельдберг,Bokkeveldberg,Bokkeveldberg,Núi Bokkeveldberg,博克维尔德贝格山,1159105205,بوکولدبرگ,בוקֶוולדברג,Боккевельдберг,بوکیویلڈبرگ,博克維爾德貝格山
7,mountain,Loma Mansa,1945.000000000,,,9.242682196,-11.088551399,,,,Africa,,7.0,,Q769525,جبل بينتوماني,লোমা মানসা,Bintumani,Mount Bintumani,Bintumani,Loma Mansa,Λόμα Μάνσα,लोमा मनसा,Loma Mansa,Loma Mansa,Monte Bintumani,ビントゥマニ山,로마 만사,Mount Bintumani,Bintumani,Monte Bintumani,Бинтимани,Loma Mansa,Bintumani Dağı,Núi Loma Mansa,洛马曼萨山,1159105207,کوه بینتومانی,לומה מאנסה,Бінтімані,لوما مانسا,洛馬曼薩山
6,spot elevation,,3315.000000000,,,21.131476141,16.527354363,,,,Africa,,6.7,,,,,,,,,,,,,,,,,,,,,,,,1159105209,,,,,
6,mountain,Jabal Marrah,3042.000000000,,,12.949713446,24.237925652,,,,Africa,,6.7,,Q886772,جبل مرة,জাবাল মারাহ,Marra,Marrah Mountains,Jabal Marrah,Djebel Marra,Τζαμπάλ Μαρά,जबल मर्राह,Jabal Marrah,Gunung Marrah,Jebel Marra,マッラ山脈,마라 산,Jebel Marra,Dżabal Marra,Jebel Marra,Марра,Jebel Marra,Jabal Marrah,Núi Marrah,马拉山脉,1159105211,کوههای مره,הר מארה,Марра,جبل ماراہ,馬拉山脈
6,mountain,Jebel Tidirhine,2456.000000000,,,34.830206610,-4.511830207,,,,Africa,,6.7,,Q2383371,جبل تيدغين,জেবেল তিদিরাইন,Jbel Tidirhine,Jbel Tidirhine,Monte Tidiguín,Jbel Tidirhine,Τζέμπελ Τιντιρίνε,जेबेल टिदिरहिने,Jebel Tidirhine,Gunung Tidirhine,Jebel Tidirhine,ジェベル・ティディリーヌ山,제벨 티디르히네,Adrar Tidghine,Jebel Tidirhine,Jbel Tidirhine,гора Джебель-Тидигин,Koudiet Tirbîrhîne,Jebel Tidirhine,Núi Tidirhine,杰贝尔蒂迪林山,1159105213,کوه تیدیرینه,הר טידרהיין,Тідігін,جیبیل ٹیڈیرہائن,提迪爾海因山
6,mountain,Lalla Khedidja,2308.000000000,,,36.457098700,4.229136589,,,,Africa,,6.7,,Q3216533,لالة خديجة,লাল্লা খেদিদজা,Lalla Khadîdja,Lalla-Khadîdja,Lalla Khedidja,Lalla-Khadîdja,Λαλλά Χεντιτζά,लल्ला खेदिदजा,Lalla Khedidja,Lalla Khedidja,Lalla Khedidja,ララ・ケディジャ,랄라 케디자,Lalla-Khadîdja,Lalla Khedidja,Lalla Khedidja,Лалла-Хедиджа,Tamgout Lalla Khedidja,Lalla Khedidja,Núi Lalla Khedidja,拉拉凯迪贾山,1159105215,لاله خدیجه,לאלה חדיג'ה,Лалла-Кредіджа,لالا کھیڈڈجا,拉勒海迪吉峰
6,mountain,Seweweekspoort Peak,2325.000000000,,,-33.395806573,21.365733269,,,,Africa,,6.7,Seweweekspoort Peak,Q3642884,قمة سيويواي سيورت,সুয়িউইকস্পর্ট শিখর,Seweweekspoortpiek,Seweweekspoortpiek,Seweweekspoortpiek,Pic Seweweekspoort,Κορυφή Σεβέβικσπορτ,सेवेवीक्स्पोर्ट पीक,Seweweekspoort-csúcs,Puncak Seweweekspoort,Seweweekspoort Peak,セウェウィークスプート・ピーク,세웨위크스포트 피크,Seweweekspoortpiek,Seweweekspoort Peak,Seweweekspoortpiek,гора Севивикспуртпик,Seweweekspoortpiek,Seweweekspoort Zirvesi,Núi Seweweekspoort,塞汶维克斯波尔特峰,1159105217,قله سوویکسپورت,פסגת סֶה-וֶוה-וֶוה-אקספוֹרט,Севевікспурт,سیویویکسپورٹ پیک,塞衛維克斯波持峰
6,mountain,Pico de São Tomé,2024.000000000,,,0.281988837,6.554331902,,,,Africa,,6.7,,Q1471391,قمة ساو تومي,পিকো দে সাও তোমে,Pico de São Tomé,Pico de São Tomé,Pico de São Tomé,Pico de São Tomé,Πίκο ντε Σάο Τομέ,पिको दे साओ तोमे,Pico de São Tomé,Pico de São Tomé,Pico de São Tomé,サントメ山,피코 데 상투메,Pico de Sao Tomé,Pico de São Tomé,Pico de São Tomé,Пику-де-Сан-Томе,Pico de São Tomé,Pico de São Tomé,Núi São Tomé,圣多美山,1159105219,پیکو دو سائو تومه,פיקו דה סאו תומה,Піку-де-Сан-Томе,پیکو ڈی ساؤ ٹومے,聖多美山
6,mountain,Moro de Môco,2620.000000000,,,-12.465264581,15.167002800,,,,Africa,,6.7,,,جبل موكو,মোরো দে মোকো,Môco,Mount Moco,Morro do Moco,Morro de Môco,Μόρο ντε Μόκο,मोरो द मोको,Moro de Môco,Moro de Môco,Monte Moco,モコ山,모로 드 모코,Mount Moco,Moro de Môco,Morro do Moco,гора Моко,Moro de Môco,Moro de Môco,Núi Moro de Môco,莫科山,1159105223,مورو د موکو,מורובה,Моро-де-Моко,مورو ڈی موکو,莫科山
6,mountain,Monts de la Lékéti,1000.000000000,,,-2.518121027,14.178965691,,,,Africa,,6.7,,,جبل ليكتي,মন্তে দে লা লেকেতি,Monts de la Lékéti,Monts de la Lékéti,Monts de la Lékéti,Monts de la Lékéti,Μον ντε λα Λέκετι,मोंट्स द ला लेकेती,Monts de la Lékéti,Monts de la Lékéti,Monts de la Lékéti,レケティ山,몽 드 라 레케티,Monts de la Lékéti,Góry Lékéti,Montes de la Lékéti,гора Лекети,Monts de la Lékéti,Monts de la Lékéti,Núi Lékéti,勒克提山,1159105225,کوه دو لا لکتی,מונסראדו,Монтс-де-ла-Лекеті,مونٹس ڈا لا لیکیٹی,雷可提山
6,mountain,Loolmalasin,3682.000000000,,,-3.042657159,35.839488152,,,,Africa,,6.7,,,لولمالاسين,লুলমালাসিন,Loolmalasin,Mount Loolmalasin,Loolmalasin,Loolmalassin,Λοολμαλασίν,लूलमलासिन,Loolmalasin,Loolmalasin,Loolmalasin,ルールマラシン山,루말라신,Loolmalasin,Loolmalasin,Loolmalasin,гора Лулмаласин,Loolmalasin,Loolmalasin,Núi Loolmalasin,洛尔马拉辛山,1159105227,لولمالاسین,לופ בורי,Лулмаласін,لولمالاسین,盧馬拉辛山
6,mountain,Inyangani,2592.000000000,,,-18.281304620,32.847422722,,,,Africa,,6.7,,Q152294,إنيانغاني,ইন্যাংগানি,Inyangani,Mount Nyangani,Monte Nyangani,Nyangani,Ινιάνκανι,इनयांगानी,Inyangani,Nyangani,Monte Nyangani,ンヤンガニ山,인양가니,Nyangani,Inyangani,Monte Nyangani,Иньянгани,Inyangani,Nyangani Dağı,Núi Inyangani,伊尼扬加尼山,1159105229,کوه نیانگانی,איניאנגאני,Ньянгані,آئینیانگانی,伊尼揚加尼山
6,mountain,Monte Binga,2436.000000000,,,-19.787163995,33.052256707,,,,Africa,,6.7,Mt. Binga,Q1353678,جبل بينغا,মন্তে বিঙ্গা,Monte Binga,Monte Binga,Monte Binga,mont Binga,Μόντε Μπίνγκα,मोंटे बिंगा,Monte Binga,Gunung Binga,Monte Binga,ビンガ山,몬테 빙가,Monte Binga,Binga,Monte Binga,Бинга,Binga,Monte Binga,Núi Binga,宾加山,1159105231,کوه بینگا,הר כריסטי,Бінга,مونٹی بنگا,賓加山
6,mountain,Die Berg,2331.000000000,,,-25.222222589,30.156993035,,,,Africa,,6.7,,,دي بيرغ,দিয়ে বার্গ,Die Berg,Die Berg,Die Berg,Die Berg,Ντι Μπεργκ,डाई बर्ग,Die Berg-hegy,Die Berg,Die Berg,ディ・ベルク山,디 버그,The Berg,Die Berg,Die Berg,гора Ди-Берг,Die Berg,Die Berg,Núi Die Berg,迪山,1159105233,دی برگ,די ברג,Діберг,ڈائے برگ,迪山
