featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_fa,name_he,name_uk,name_ur,name_zht
C,N,C,C,C,C,C,C,N,C,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C
Lake,9,Eğirdir,Egridir,,,New or modified in version 1.2,,-99,,7.0,8.0,Eğirdir,Q1334148,بحيرة اقيردير,এগিরডির,Eğirdir,Eğirdir,Eğirdir,Eğirdir,Λίμνη Εγκιρντίρ,एइरिदिर,Eğirdir,Egirdir,Eğirdir,エーリディル湖,에기르디르,Eğirdir,Eğridir,Eğirdir,Эгирдир,Eğirdir,Eğirdir,Eğirdir,埃伊尔迪尔湖,1159106675,اگیردیر,אגם אאירדיר,Егридир,ایگردر,埃伊爾迪爾湖
Lake,7,Beyşehir,Beysehir,,,New or modified in version 1.2,,-99,,5.7,6.7,Beyşehir,Q369923,بيشهر,বেসেহির,Beyşehir,Beyşehir,Beyşehir,Beyşehir,Μπεϊσεχίρ,बेसेहिर,Beyşehir,Beyşehir,Beyşehir,ベイシェヒル湖,베이셰히르,Beyşehir,Beyşehir,Beyşehir,Бейшехир,Beyşehir,Beyşehir,Beyşehir,貝伊謝希爾湖,1159106685,بیسهیر,אגם ביישהיר,Бейшехір,بےسحر,貝伊謝希爾湖
Lake,5,Engozero,Engozero,,,New or modified in version 1.2,,-99,,4.7,6.0,Engozero,Q1342950,إنجوزيرو,এনগোজেরো,Engosero,Engozero,Engozero,Engozero,Ενγκοζέρο,एंगोज़ेरो,Engozero,Engozero,Engozero,エンゴゼロ,엔고제로,Engozero,Engozero,Engozero,Энгозеро,Engozero,Engozero,Hồ Engozero,恩戈澤羅湖,1159106693,انگوزرو,אנגוזרו,Енгозеро,اینگوزیرو,恩戈澤羅湖
Lake,4,Pääjärvi,Paajarvi,"Lake Pya, Ozero Pjaozero",,New or modified in version 1.2,,-99,,4.0,5.0,Pääjärvi,Q1458409,باجارفي,পাজার্ভি,Pjaosero,Pyaozero,Piaozero,Piaozero,Πααγάρβι,पजार्विक,Pääjärvi,Paajarvi,Pjaozero,ペーヤルヴィ湖,파야르비,Pjaozero,Piaoziero,Pääjärvi,Пяозеро,Pääjärvi,Pääjärvi,Hồ Pääjärvi,皮亚奥泽罗湖,1159106703,پاجاروی,אגם פאאיארווי,Пяозеро,پاجاروی,皮亞奧澤羅湖
Lake,9,Ozero Pitlyarskiy Sor,O. Pitlyarskiy Sor,Lake Pitlyarskiy Sor,,New or modified in version 1.2,,-99,,7.0,8.0,,,بحيرة بيتليارسكي سور,ওজেরো পিতল্যারস্কি সোর,Ozero Pitlyarskiy Sor,Ozero Pitlyarskiy Sor,Lago Pitlyarskiy Sor,Ozero Pitlyarskiy Sor,Οζέρο Πιτλγιάρσκιι Σορ,ओज़ेरो पिट्लार्स्की सोर,Pitjarszkij Sor-tó,Danau Pitlyarskiy Sor,Ozero Pitlyarskiy Sor,ピトリャルスキー・ソル湖,오제로 피틀리야르스키 소르,Ozero Pitlyarskiy Sor,Jezioro Pitlyarskiy Sor,Lago Pitlyarskiy Sor,озеро Питлярский Сор,Ozero Pitliarskij Sor,Ozero Pitlyarskiy Sor,Hồ Pitlyarskiy Sor,皮特亚斯科索尔湖,1159106711,اوزرو پیتلیارسکی سور,אגם פיטליארסקי סור,озеро Питлярський Сор,اوزیرو پٹلیارسکائی سار,皮特利亞斯基索湖
Lake,0,Great Bear Lake,Great Bear L.,,,,,-99,,1.0,3.0,Great Bear Lake,Q5525,بحيرة الدب العظيم,গ্রেট বেয়ার লেক,Großer Bärensee,Great Bear,Gran Oso,grand l'Ours,Μεγάλη Λίμνη των Άρκτων,ग्रेट बियर झील,Nagy-Medve-tó,Beruang Besar,Grande Orsi,グレートベア湖,그레이트베어호,Groot Berenmeer,Wielkie Jezioro Niedźwiedzie,Grande Urso,Большое Медвежье озеро,Stora Björnsjön,Büyük Ayı,Gấu lớn,大熊湖,1159106721,دریاچه گریت بر,ימת הדובים הגדולה,Велике Ведмеже озеро,گریٹ بیئر لیک,大熊湖
Lake,0,Great Slave Lake,Great Slave L.,,,,,-99,,1.0,3.0,Great Slave Lake,Q5539,بحيرة جريت سليف,গ্রেট স্লেভ লেক,Großer Sklavensee,Great Slave,Gran Esclavo,Grand Esclaves,Μεγάλη Λίμνη των Σκλάβων,ग्रेट स्लाव झील,Nagy-Rabszolga-tó,Great Slave,Grande Schiavi,グレートスレーブ湖,그레이트슬레이브호,Great Slave,Wielkie Jezioro Niewolnicze,Grande Escravo,Большое Невольничье озеро,Stora Slavsjön,Büyük Esir,Slave Lớn,大奴湖,1159106729,دریاچه گریت اسلیو,ימת העבדים הגדולה,Велике Невільниче озеро,گریٹ سلیو جھیل,大奴湖
Lake,0,McLeod Bay,McLeod Bay,,,,,-99,,1.0,3.0,,,خليج ماكليود,ম্যাকলিওড বে,McLeod Bay,McLeod Bay,Bahía McLeod,Baie de McLeod,Κόλπος ΜακΛέοντ,मैकलियोड खाड़ी,McLeod-öböl,Teluk McLeod,McLeod Bay,マクレオド・ベイ,맥라우드 베이,McLeod Bay,McLeod Bay,McLeod Bay,залив Мак-Леод,McLeod Bay,McLeod Koyu,Hồ McLeod Bay,麦克利奥德,1159106739,خلیج مک لئود,מיד,Маклеод-Бей,مکلیوڈ بے,麥克勞德灣
Lake,0,Lake Winnipeg,L. Winnipeg,,,,,-99,,1.0,3.0,Lake Winnipeg,Q3272,بحيرة وينيبيغ,লেক উইন্নিপেগ,Winnipegsee,Winnipeg,Winnipeg,Winnipeg,Λίμνη Γουίνιπεγκ,विनिपेग झील,Winnipeg-tó,Winnipeg,Winnipeg,ウィニペグ湖,위니펙호,Winnipegmeer,Winnipeg,Winnipeg,Виннипег,Winnipegsjön,Winnipeg,Winnipeg,溫尼伯湖,1159106747,دریاچه وینیپگ,אגם ויניפג,Вінніпег,جھیل ونیپیگ,溫尼伯湖
Lake,0,Lake Erie,L. Erie,Great Lakes,,,,-99,admin-0,1.0,3.0,Lake Erie,Q5492,بحيرة إري,ইরি হ্রদ,Eriesee,Erie,Erie,Érié,Λίμνη Ήρι,ईरी झील,Erie-tó,Erie,Erie,エリー湖,이리호,Eriemeer,Erie,Erie,Эри,Eriesjön,Erie,Erie,伊利湖,1159106757,دریاچه ایری,ימת אירי,Ері,جھیل ایری,伊利湖
Lake,0,Lake Ontario,L. Ontario,Great Lakes,,,,-99,admin-0,1.0,3.0,Lake Ontario,Q1062,بحيرة أونتاريو,লেক অন্টারিও,Ontariosee,Ontario,Ontario,Ontario,Λίμνη Οντάριο,ओण्टारियो झील,Ontario-tó,Ontario,Ontario,オンタリオ湖,온타리오호,Ontariomeer,Ontario,Ontário,Онтарио,Ontariosjön,Ontario,Ontario,安大略湖,1159106765,دریاچه انتاریو,ימת אונטריו,Онтаріо,جھیل انٹاریو,安大略湖
Lake,0,Lake Saint Clair,L. St. Clair,Great Lakes,,,,-99,admin-0,1.0,3.0,Lake St. Clair,Q736707,بحيرة سانت كلير,লেক সেন্ট ক্লেয়ার,St. Clair,Saint Clair,Sainte-Claire,Sainte-Claire,Λίμνη Σεν Κλερ,सेंट क्लेयर झील,Saint Clair-tó,Danau Saint Clair,St. Clair,セントクレア湖,세인트클레어호,Saint Clairmeer,St. Clair,Saint Clair,Сент-Клэр,St. Clair,St. Clair,Hồ Saint Clair,圣克莱尔湖,1159106775,دریاچه سنت کلیر,סיינט קלייר,Сент-Клер,جھیل سینٹ کلیئر,聖克萊爾湖
Lake,1,Lake Okeechobee,L. Okeechobee,,,,,-99,,1.7,3.6,Lake Okeechobee,Q202905,بحيرة أوكي تشوبي,লেক ওকীচোবী,Okeechobeesee,Okeechobee,Okeechobee,Okeechobee,Λίμνη Οκιτσόμπι,ओकेचोबी झील,Okeechobbee-tó,Danau Okeechobee,Okeechobee,オキーチョビー湖,오키초비호,Okeechobeemeer,Okeechobee,Okeechobee,Окичоби,Okeechobee,Okeechobee,Hồ Okeechobee,奧基喬比湖,1159106781,دریاچه اوکیچوبی,אגם אוקיצ'ובי,Окічобі,جھیل اوکیجوبی,奧基喬比湖
Lake,1,Lago de Nicaragua,L. de Nicaragua,,,,,-99,,1.7,3.6,Lago de Nicaragua,Q173862,بحيرة نيكاراغوا,নিকারাগুয়া হ্রদ,Nicaraguasee,Nicaragua,Cocibolca,Nicaragua,Λίμνη Νικαράγουα,निकारागुआ झील,Nicaragua-tó,Nikaragua,Nicaragua,ニカラグア湖,니카라과호,Meer van Nicaragua,Nikaragua,Nicarágua,Никарагуа,Nicaraguasjön,Nikaragua,Nicaragua,尼加拉瓜湖,1159106791,دریاچه نیکاراگوئه,אגם ניקרגואה,Нікарагуа,جھیل نکاراگوا,尼加拉瓜湖
Lake,4,,,,,,,-99,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1159106799,,,,,
Lake,2,Wollaston Lake,Wollaston L.,,,,,-99,,2.0,3.7,Wollaston Lake,Q1640500,بحيرة وولاستون,ওয়ালাসটন লেক,Wollaston,Wollaston,Wollaston,Wollaston,Λίμνη Γουόλαστον,वोलास्टन झील,Wollaston-tó,Danau Wollaston,Wollaston,ウォラストン湖,월라스턴 레이크,Wollastonmeer,Wollaston,Lago Wollaston,Вулластон,Wollaston,Wollaston Gölü,Hồ Wollaston,伍拉斯顿湖,1159106809,دریاچه وولاستون,אגם וולסטון,Вулластон,والیسٹن جھیل,伍拉斯頓湖
Lake,2,Reindeer Lake,Reindeer L.,,,,,-99,,2.0,3.7,Reindeer Lake,Q1134446,بحيرة ريندير,রেইনডিয়ার লেক,Reindeer,Reindeer,Reindeer,Reindeer,Λίμνη Ρέιντιρ,रेनडियर झील,Reindeer-tó,Reindeer,delle Renne,レーンディア湖,레인디어호,Reindeer,Jezioro Reniferowe,Reindeer,Оленье озеро,Reindeer,Reindeer Gölü,Hồ Reindeer,驯鹿湖,1159106817,دریاچه ریندیر,אגם האיילים,Оленяче,رین ڈیئر جھیل,馴鹿湖
Lake,2,Lake of the Woods,L. of the Woods,,,,,-99,,2.0,5.0,Lake of the Woods,Q845876,بحيرة الغابات,লেক অফ দ্য উডস,Woods,Woods,los Bosques,Bois,Λίμνη του Δάσους,लेक ऑफ द वुड्स,Lake of the Woods-tó,Lake of the Woods,dei Boschi,ウッズ湖,우즈호,Woods,Jezioro Leśne,dos Bosques,Лесное,Woods,Lake of the Woods,Hồ Lake of the Woods,伍兹湖,1159106825,دریاچه وودز,אגם היערות,Лісове озеро,لیک آف دا ووڈز,伍茲湖
Lake,2,Lake Nipigon,L. Nipigon,,,,,-99,,2.0,3.7,Lake Nipigon,Q122184,بحيرة نيبيغون,লেক নিপিগন,Nipigonsee,Nipigon,Nipigon,Nipigon,Λίμνη Νιπιγκόν,निपिगन झील,Nipigon-tó,Nipigon,Nipigon,ニピゴン湖,니피곤호,Nipigonmeer,Nipigon,Nipigon,Нипигон,Nipigon,Nipigon,Hồ Nipigon,尼皮贡湖,1159106833,دریاچه نیپیگون,אגם ניפיגון,Ніпіґон,جھیل نیپیگون,尼皮贡湖
Lake,2,Lake Manitoba,L. Manitoba,,,,,-99,,2.0,3.7,Lake Manitoba,Q645901,بحيرة مانيتوبا,লেক মানিতোবা,Manitobasee,Manitoba,Manitoba,Manitoba,Λίμνη Μανιτόμπα,मैनिटोबा झील,Manitoba-tó,Manitoba,Manitoba,マニトバ湖,매니토바호,Manitobameer,Manitoba,Manitoba,Манитоба,Manitobasjön,Manitoba Gölü,Hồ Manitoba,缅尼托巴湖,1159106843,دریاچه مانیتوبا,אגם מניטובה,Манітоба,جھیل مانیٹوبا,曼尼托巴湖
Lake,2,Lake Winnipegosis,L. Winnipegosis,,,,,-99,,2.0,5.0,Lake Winnipegosis,Q934638,بحيرة وينيبيغوسيس,লেক উইন্নিপেগোসিস,Winnipegosissee,Winnipegosis,Winnipegosis,Winnipegosis,Λίμνη Γουινιπεγκόσις,विनीपेगोसिस झील,Winnipegosis-tó,Winnipegosis,Winnipegosis,ウィニペゴシス湖,레이크 위니페고시스,Winnipegosis,Winnipegosis,Winnipegosis,Виннипегосис,Winnipegosis,Winnipegosis Gölü,Hồ Winnipegosis,温尼伯戈西斯湖,1159106851,دریاچه وینیپگوسیس,אגם וויניפגוסיס,Вінніпеґосіс,جھیل ونیپیگوسس,溫尼伯戈西斯湖
Lake,2,Lake Athabasca,L. Athabasca,,,,,-99,,2.0,3.7,Lake Athabasca,Q272463,بحيرة أثاباسكا,আথাবাস্কা হ্রদ,Athabascasee,Athabasca,Athabasca,Athabasca,Λίμνη Αθαμπάσκα,अथाबास्का झील,Atapaszka-tó,Athabasca,Athabasca,アサバスカ湖,레이크 애서배스카,Athabascameer,Athabaska,Athabasca,Атабаска,Athabascasjön,Athabasca,Hồ Athabasca,阿萨巴斯卡湖,1159106863,دریاچه آتاباسکا,אגם אתבסקה,Атабаска,جھیل اتھابسکا,阿薩巴斯卡湖
Lake,2,Lake Mistassini,L. Mistassini,,,,,-99,,2.0,3.7,Lake Mistassini,Q1458051,بحيرة ميستاسيني,লেক মিস্তাসসিনি,Mistassinisee,Mistassini,Mistassini,Mistassini,Λίμνη Μιστασίνι,मिस्टासिनी झील,Mistassini-tó,Danau Mistassini,Mistassini,ミスタシニ湖,레이크 미스타시니,Mistassini,Mistassini,Mistassini,Мистассини,Mistassini,Mistassini Gölü,Hồ Mistassini,米斯塔西尼湖,1159106873,دریاچه میتاسینی,אגם מיסטסיני,озеро Містассіні,جھیل مسٹاسینی,米斯塔西尼湖
Lake,3,Oneida Lake,Oneida L.,,,,,-99,,3.0,4.0,Oneida Lake,Q1247231,بحيرة أونيدا,ওনিয়েদা লেক,Oneida,Oneida,Lago Oneida,Oneida,Λίμνη Ονέιδα,ओनिडा झील,Oneida-tó,Danau Oneida,Oneida,オナイダ湖,오네이다 레이크,Oneida,Oneida,Lago Oneida,Онейда,Oneida,Oneida Gölü,Hồ Oneida,奧奈達湖,1159106881,دریاچه اونیدا,אגם אונידה,Онейда,اونیڈا لیک,奧奈達湖
Lake,3,Iliamna Lake,Iliamna L.,,,,,-99,,3.0,4.0,Iliamna Lake,Q965436,بحيرة إليامنا,ইলিয়ামনা লেক,Iliamna,Iliamna,Iliamna,Iliamna,Λίμνη Ιλιάμνα,इलियाम्ना झील,Iliamna-tó,Danau Iliamna,Iliamna,イリアムナ湖,일리암나 레이크 아울렛,Iliamna,Iliamna,Lago Iliamna,Илиамна,Iliamna Lake,Iliamna Gölü,Hồ Iliamna,伊利亞姆納湖,1159106893,دریاچه ایلیامنا,אגם איליאמנה,Іліамна,آئیامنا جھیل,伊利亞姆納湖
Lake,3,,,,_untitled_1,,,-99,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1159106899,,,,,
Lake,3,Lake Tahoe,L. Tahoe,,,,,-99,,3.0,4.0,Lake Tahoe,Q169962,بحيرة تاهو,টাহো হ্রদ,Tahoe,Tahoe,Tahoe,Tahoe,Λίμνη Τάχο,टाहो झील,Tahoe-tó,Tahoe,Tahoe,タホ湖,타호호,Tahoe,Tahoe,Tahoe,Тахо,Tahoesjön,Tahoe,Tahoe,太浩湖,1159106907,دریاچه تاهو,אגם טאהו,Тахо,جھیل ٹاہوئی,太浩湖
Lake,3,Lake Winnebago,L. Winnebago,,,,,-99,,3.0,6.0,Lake Winnebago,Q1801110,بحيرة ويني باجو,লেক উইন্নেবাগো,Winnebago,Winnebago,Winnebago,Winnebago,Λίμνη Γουινεμπάγκο,विनेबागो झील,Winnebago-tó,Danau Winnebago,Winnebago,ウィネベーゴ湖,레이크 위네바고,Winnebago,Winnebago,Winnebago,озеро Виннебаго,Lake Winnebago,Winnebago Gölü,Hồ Winnebago,溫納貝戈湖,1159106917,دریاچه وینه باگو,אגם ווינבגו,озеро Віннебаго,جھیل وینےباگو,溫納貝戈湖
Lake,3,Nettilling Lake,Nettilling L.,,,,,-99,,3.0,4.0,Nettilling Lake,Q1132211,بحيرة نيتلينغ,নেত্তিলিং লেক,Nettilling,Nettilling,Nettilling,Nettilling,Λίμνη Νετίλινγκ,नेचिलिंग झील,Nettilling-tó,Danau Nettilling,Nettilling,ネチリング湖,네틸링호,Nettilling,Nettilling,Nettilling,Неттиллинг,Nettilling,Nettilling Gölü,Hồ Nettilling,纳蒂灵湖,1159106925,دریاچه نتیلینگ,אגם נטילינג,Неттіллінг,نیٹیلنگ جھیل,納蒂靈湖
Lake,3,Dubawnt Lake,Dubawnt L.,,,,,-99,,3.0,4.0,Dubawnt Lake,Q1262967,بحيرة دوباونت,দুবোয়ান্ত লেক,Dubawntsee,Dubawnt,Dubawnt,Dubawnt,Λίμνη Ντουμπαβντ,डुबॉंवन्त झील,Dubawnt-folyó,Danau Dubawnt,Dubawnt,ドゥボーント湖,두번트 레이크,Dubawnt,Dubawnt,Lago Dubawnt,Дубонт,Dubawnt,Dubawnt Gölü,Hồ Dubawnt,杜邦特湖,1159106935,دریاچه دوبانت,דובוואנט,Дубонт,ڈبوانٹ جھیل,杜邦特湖
Lake,3,Baker Lake,Baker L.,,,,,-99,,3.0,4.0,Baker Lake,Q1391737,بحيرة بيكر,বেকার রিভার,Baker,Baker,Baker,Baker,Λίμνη Μπέικερ,बेकर झील,Baker-tó,Danau Baker,Baker Lake,ベイカー湖,베이커 레이크,Baker,Jezioro Baker,Baker,Бейкер,Baker,Baker Gölü,Hồ Baker,貝克湖,1159106943,دریاچه بیکر,אגם בייקר,Бейкер,بیکر جھیل,貝克湖
Lake,3,Lake Champlain,L. Champlain,,,,,-99,,3.0,4.0,Lake Champlain,Q68467,بحيرة شامبلين,লেক চ্যামপ্লেন,Champlain,Champlain,Champlain,Champlain,Λίμνη Τσάμπλεϊν,चम्पलेन झील,Champlain-tó,Champlain,Champlain,シャンプレーン湖,챔플레인 호,Champlainmeer,Champlain,Champlain,Шамплейн,Champlainsjön,Champlain,Hồ Champlain,尚普蘭湖,1159106953,دریاچه چمپلین,אגם שמפליין,Озеро Шамплейн,جھیل چامپلین,尚普蘭湖
Lake,3,Churchill Lake,Churchill L.,,,,,-99,,3.0,4.0,Churchill Lake,Q1089891,بحيرة تشرشل,চার্চিল লেক,Churchill,Churchill,Lago Churchill,Churchill,Λίμνη Τσόρτσιλ,चर्चिल झील,Churchill-tó,Danau Churchill,Churchill Lake,チャーチル湖,처칠 레이크,Churchill Lake,Jezioro Churchill,Lago Churchill,Черчилл,Churchill,Churchill Gölü,Hồ Churchill,丘吉爾湖,1159106961,دریاچه چرچیل,אגם צ'רצ'יל,озеро Черчилль,چرچل جھیل,丘吉爾湖
Lake,3,Lac la Martre,L. la Martre,,,,,-99,,3.0,4.0,Lac la Martre,Q1516443,بحيرة لا مارتر,ল্যাক লা মার্ত্রে,Martre,Martre,Martre,Martre,Λακ λα Μάρτρ,लैक ला मार्ट्रे,Lac la Martre,Lac la Martre,Lac la Martre,マルトル湖,라마르트르,Lac la Martre,Lac la Martre,Lago la Martre,Ла-Мартр,Martre,Lac la Martre,Hồ Lac la Martre,馬特爾湖,1159106971,دریاچه لا مارتره,אגם לה מרטר,Ла-Мартре,لاک لا مارٹرے,馬特爾湖
Lake,4,Keuka Lake,Keuka L.,Finger Lakes,,,,-99,,4.0,5.0,Keuka Lake,Q1335725,بحيرة كيوكا,কেউকা লেক,Keuka,Keuka,Lago Keuka,Keuka,Λίμνη Κέουκα,केउका झील,Keuka-tó,Danau Keuka,Keuka,キューカ湖,크카 레이크,Keuka,Keuka,Lago Keuka,озеро Кеюка,Keuka Lake,Keuka Gölü,Hồ Keuka,奎爾加湖,1159106979,دریاچه کیوکا,אגם קאוקה,озеро Кеука,کیوکا جھیل,奎爾加湖
Lake,4,Seneca Lake,Seneca L.,Finger Lakes,,,,-99,,4.0,5.0,Seneca Lake,Q1552706,بحيرة سينيكا,সেনেকা লেক,Seneca,Seneca,Lago Seneca,Seneca,Λίμνη Σενέκα,सेनेका झील,Seneca-tó,Danau Seneca,Seneca,セネカ湖,세네카 레이크,Seneca,Seneca,Seneca,Сенека,Seneca Lake,Seneca Gölü,Hồ Seneca,塞內卡湖,1159106989,دریاچه سنکا,אגם סנקה,Сенека,سینیکا جھیل,塞內卡湖
Lake,4,Cayuga Lake,Cayuga L.,Finger Lakes,,,,-99,,4.0,5.0,Cayuga Lake,Q731175,بحيرة كايوغا,কেউগা লেক,Cayuga,Cayuga,Lago Cayuga,Cayuga,Λίμνη Καγιούγκα,केयुगा झील,Cayuga-tó,Danau Cayuga,Cayuga,ケイユーガ湖,카유가 레이크,Cayuga,Cayuga,Cayuga,озеро Каюга,Cayuga Lake,Cayuga Gölü,Hồ Cayuga,卡尤加湖,1159106997,دریاچه کایوگا,אגם קייוגה,озеро Каюга,کےیوگا جھیل,卡尤加湖
