uident,featurecla,name,name_alt,note,scalerank,min_zoom,min_label,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
N,C,C,C,C,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,N
0.000000000,Lake,Saganaga Lake,,,12,7.0,8.0,Saganaga Lake,Q7348448,,,Saganaga Lake,Saganaga Lake,,,,,,,,,,,,,,Saganaga Lake,,,,4,1159106365
302.000000000,Lake,,,_untitled_991,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106371
21302.000000000,Lake,,,_untitled_992,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106379
26702.000000000,Lake,,,_untitled_993,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106385
434702.000000000,Lake,Berg Lakes,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106393
434002.000000000,Lake,Harlequin Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106399
446602.000000000,Lake,Chignik Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106405
310902.000000000,Lake,Lake Abert,,,11,6.7,7.7,Lake Abert,Q6474657,,,,Lake Abert,,Lake Abert,,,,,,,,,,,,,,,,4,1159106413
249402.000000000,Lake,,,_untitled_998,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106423
558402.000000000,Lake,Laguna La Leche,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106429
563902.000000000,Lake,,,_untitled_9910,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106435
559602.000000000,Lake,Lake Windsor,,,10,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106441
102.000000000,Lake,,,_untitled_9912,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106451
386802.000000000,Lake,,,_untitled_9913,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106457
402.000000000,Lake,,,_untitled_9914,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106465
415402.000000000,Lake,Krusenstern Lagoon,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106471
405702.000000000,Lake,,,_untitled_9916,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106477
437002.000000000,Lake,Crosswind Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106485
445902.000000000,Lake,Klutina Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106489
351302.000000000,Lake,Kulik Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106493
350902.000000000,Lake,Kukaklik Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106501
374602.000000000,Lake,Beluga Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106507
352602.000000000,Lake,,,_untitled_9922,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106513
352702.000000000,Lake,,,_untitled_9923,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106521
352002.000000000,Lake,,,_untitled_9924,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106527
350502.000000000,Lake,,,_untitled_9925,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106533
440202.000000000,Lake,Kukaklek Lake,,,11,6.7,7.7,Kukaklek Lake,Q1791343,,,Kukaklek Lake,Kukaklek Lake,,Kukaklek Lake,,,,,,,,,,,,,,,,4,1159106541
442102.000000000,Lake,Kulik Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106547
439102.000000000,Lake,Black Lake,,,12,7.0,8.0,Black Lake,Q4921142,,,,Black Lake,,,,,,,,ブラック湖,,,,,,,,,,4,1159106555
303302.000000000,Reservoir,Fresno Reservoir,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106559
298202.000000000,Lake,Priest Lake,,,11,6.7,7.7,Priest Lake,Q1110527,,,Priest Lake,Priest Lake,,Priest Lake,,,,,,,,,,,Прист,,,,,4,1159106565
291302.000000000,Reservoir,Nelson Reservoir,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106573
290402.000000000,Lake,Medicine Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106579
301502.000000000,Reservoir,Tiber Reservoir,,,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106587
289802.000000000,Lake,Agassiz Pool,,,11,6.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,0,1159106595
0.000000000,Lake,Lac la Croix,,,11,6.7,7.7,Lac la Croix,Q13856352,,,Lac la Croix,Lac la Croix,,,,,,,,,,,,,,,,,,4,1159106601
300602.000000000,Reservoir,Hungry Horse Reservoir,,,11,6.7,7.7,Hungry Horse Reservoir,Q35040299,,,,Hungry Horse Reservoir,,,,,,,,,,,,,,,,,,4,1159106609
295602.000000000,Lake,Sweetwater Lake,,,12,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,0,1159106615
293302.000000000,Lake,Devils Lake,,,12,7.0,8.0,Devils Lake,Q5267424,,,Devils Lake,Devils Lake,,Devils Lake,,,,,,,,,,,,,,,,4,1159106621
0.000000000,Lake,Basswood Lake,,,11,6.7,7.7,Basswood Lake,Q14638469,,,Basswood Lake,Basswood Lake,,,,,,,,,,,,,,,,,,4,1159106629
295802.000000000,Lake,Pelican Lake,,,12,7.0,8.0,Pelican Lake,Q20710073,,,,Pelican Lake,,,,,,,,,,,,,,,,,,4,1159106635
