dissolve,scalerank,featurecla,name,name_alt,rivernum,note,min_zoom,name_en,min_label,label,wikidataid,name_ar,name_bn,name_de,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
C,N,C,C,C,N,C,N,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,N
0River,1.000000000,River,Irrawaddy Delta,,0,,2.0,Irrawaddy,3.0,Irrawaddy Delta,Q26076,نهر إيراوادي,,Irrawaddy,Irawadi,Irrawaddy,,इरावती नदी,Iravádi,Sungai Irrawaddy,Irrawaddy,エーヤワディー川,이라와디 강,Irrawaddy,Irawadi,Rio Irauádi,Иравади,Irrawaddy,İravadi Nehri,Sông Ayeyarwaddy,伊洛瓦底江,2,1159109417
1001Lake Centerline,9.000000000,Lake Centerline,Tonle Sap,,1001,,7.1,,8.1,Tonle Sap,Q939958,,,Tonle Sap,,,,,,,,,,Tonlé Sap,Tonle Sap,,Тонлесап,,,,,4,1159109429
1001River,9.000000000,River,Tonle Sap,,1001,,7.1,,8.1,Tonle Sap,Q939958,,,Tonle Sap,,,,,,,,,,Tonlé Sap,Tonle Sap,,Тонлесап,,,,,4,1159109445
1002Lake Centerline,9.000000000,Lake Centerline,Sheksna,,1002,,7.1,Sheksna,8.1,Sheksna,Q1147118,,,Scheksna,Río Sheksná,Cheksna,,,,,Šeksna,シェクスナ川,,Sjeksna,Szeksna,,Шексна,Sjeksna,,,舍克斯納河,4,1159109447
1002River,9.000000000,River,Sheksna,,1002,,7.1,Sheksna,8.1,Sheksna,Q1147118,,,Scheksna,Río Sheksná,Cheksna,,,,,Šeksna,シェクスナ川,,Sjeksna,Szeksna,,Шексна,Sjeksna,,,舍克斯納河,4,1159109461
1003Lake Centerline,9.000000000,Lake Centerline,Vorma,,1003,,7.1,Vorma,8.1,Vorma,Q576337,,,Vorma,Río Vorma,Vorma,,,,,,,,Vorma,,,Ворма,Vorma,,,,4,1159109475
1003River,9.000000000,River,Vorma,,1003,Version 1.2 edit in N. America and Europe,7.1,Vorma,8.1,Vorma,Q576337,,,Vorma,Río Vorma,Vorma,,,,,,,,Vorma,,,Ворма,Vorma,,,,4,1159109489
1004Lake Centerline,9.000000000,Lake Centerline,Vyatka,,1004,,7.1,Vyatka,8.1,Vyatka,Q192495,,,Wjatka,Río Viatka,Viatka,,,Vjatka,,Vjatka,ヴャトカ川,,Vjatka,Wiatka,Rio Vyatka,Вятка,Vjatka,,,維亞特卡河,4,1159109493
1004River,9.000000000,River,Vyatka,,1004,Version 1.2 edit in N. America and Europe,7.1,Vyatka,8.1,Vyatka,Q192495,,,Wjatka,Río Viatka,Viatka,,,Vjatka,,Vjatka,ヴャトカ川,,Vjatka,Wiatka,Rio Vyatka,Вятка,Vjatka,,,維亞特卡河,4,1159109511
1005Lake Centerline,9.000000000,Lake Centerline,Maningory,,1005,,7.1,Maningory,8.1,Maningory,Q3285958,,,,,Maningory,,,,,,,,Maningory,Maningory,,Манингури,,,,,4,1159109525
1005River,9.000000000,River,Maningory,,1005,,7.1,Maningory,8.1,Maningory,Q3285958,,,,,Maningory,,,,,,,,Maningory,Maningory,,Манингури,,,,,4,1159109537
1006Lake Centerline,9.000000000,Lake Centerline,Bois,,1006,,7.1,Dos Bois,8.1,Bois,Q5299143,,,,,,,,,,,,,,,,,,,,,5,1159109551
1006River,9.000000000,River,Bois,,1006,,7.1,Bois,8.1,Bois,,,,,,,,,,,,,,,,,,,,,,0,1159109565
1007Lake Centerline,9.000000000,Lake Centerline,Unzha,,1007,,7.1,Unzha,8.1,Unzha,Q1431174,,,Unscha,Río Unzha,Ounja,,,Unzsa,,Unža,ウンジャ川,,Oenzja,,Rio Unzha,Унжа,,,,溫扎河,4,1159109579
1007River,9.000000000,River,Unzha,,1007,Version 1.2 edit in N. America and Europe,7.1,Unzha,8.1,Unzha,Q1431174,,,Unscha,Río Unzha,Ounja,,,Unzsa,,Unža,ウンジャ川,,Oenzja,,Rio Unzha,Унжа,,,,溫扎河,4,1159109591
1008River,9.000000000,River,Sagavanirktok,,1008,,7.1,Sagavanirktok,8.1,Sagavanirktok,Q1569192,,,Sagavanirktok,,Sagavanirktok,,,,,,,,Sagavanirktok,,,Сагаваниркток,,,,,4,1159109603
1009River,9.000000000,River,Meade,,1009,,7.1,Meade,8.1,Meade,Q2412334,,,,,Meade,,,,,,,,Meade,,,,,,,,4,1159109611
