featurecla,scalerank,adm1_code,diss_me,iso_3166_2,wikipedia,iso_a2,adm0_sr,name,name_alt,name_local,type,type_en,code_local,code_hasc,note,hasc_maybe,region,region_cod,provnum_ne,gadm_level,check_me,datarank,abbrev,postal,area_sqkm,sameascity,labelrank,name_len,mapcolor9,mapcolor13,fips,fips_alt,woe_id,woe_label,woe_name,latitude,longitude,sov_a3,adm0_a3,adm0_label,admin,geonunit,gu_a3,gn_id,gn_name,gns_id,gns_name,gn_level,gn_region,gn_a1_code,region_sub,sub_code,gns_level,gns_lang,gns_adm1,gns_region,min_label,max_label,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_he,name_uk,name_ur,name_fa,name_zht,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA
C,N,C,N,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,N,N,N,N,C,C,N,N,N,N,N,N,C,C,N,C,C,N,N,C,C,N,C,C,C,N,C,N,C,N,C,C,C,C,N,C,C,C,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Admin-1 scale rank,2,USA-3514,3514,US-MN,http://en.wikipedia.org/wiki/Minnesota,US,1,Minnesota,MN|Minn.,,State,State,US27,US.MN,,,Midwest,,0,1,20,1,Minn.,MN,0,-99,0,9,1,1,US27,,2347582,"Minnesota, US, United States",Minnesota,46.0592,-93.3640,US1,USA,2,United States of America,United States of America,USA,5037779,Minnesota,-1,,1,,US.MN,West North Central,,-1,,,,3.5,7.5,2,Q1527,مينيسوتا,মিনেসোটা,Minnesota,Minnesota,Minnesota,Minnesota,Μινεσότα,मिनेसोटा,Minnesota,Minnesota,Minnesota,ミネソタ州,미네소타,Minnesota,Minnesota,Minnesota,Миннесота,Minnesota,Minnesota,Minnesota,明尼苏达州,1159315297,מינסוטה,Міннесота,مینیسوٹا,مینهسوتا,明尼蘇達州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3515,3515,US-MT,http://en.wikipedia.org/wiki/Montana,US,1,Montana,MT|Mont.,,State,State,US30,US.MT,,,West,,0,1,20,1,Mont.,MT,0,-99,0,7,1,1,US30,,2347585,"Montana, US, United States",Montana,46.9965,-110.0440,US1,USA,2,United States of America,United States of America,USA,5667009,Montana,-1,,1,,US.MT,Mountain,,-1,,,,3.5,7.5,2,Q1212,مونتانا,মন্টানা,Montana,Montana,Montana,Montana,Μοντάνα,मोन्टाना,Montana,Montana,Montana,モンタナ州,몬태나,Montana,Montana,Montana,Монтана,Montana,Montana,Montana,蒙大拿州,1159315333,מונטנה,Монтана,مونٹانا,ایالت مونتانا,蒙大拿州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3516,3516,US-ND,http://en.wikipedia.org/wiki/North_Dakota,US,1,North Dakota,ND|N.D.,,State,State,US38,US.ND,,,Midwest,,0,1,20,1,N.D.,ND,0,-99,0,12,1,1,US38,,2347593,"North Dakota, US, United States",North Dakota,47.4675,-100.3020,US1,USA,2,United States of America,United States of America,USA,5690763,North Dakota,-1,,1,,US.ND,West North Central,,-1,,,,3.5,7.5,2,Q1207,داكوتا الشمالية,নর্থ ডাকোটা,North Dakota,North Dakota,Dakota del Norte,Dakota du Nord,Βόρεια Ντακότα,उत्तर डेकोटा,Észak-Dakota,Dakota Utara,Dakota del Nord,ノースダコタ州,노스다코타,Noord-Dakota,Dakota Północna,Dakota do Norte,Северная Дакота,North Dakota,Kuzey Dakota,Bắc Dakota,北达科他州,1159315337,דקוטה הצפונית,Північна Дакота,شمالی ڈکوٹا,داکوتای شمالی,北達科他州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3517,3517,US-HI,http://en.wikipedia.org/wiki/Hawaii,US,8,Hawaii,HI|Hawaii,,State,State,US15,US.HI,,,West,,0,1,20,1,Hawaii,HI,0,-99,0,6,1,1,US15,,2347570,"Hawaii, US, United States",Hawaii,21.4919,-157.9990,US1,USA,2,United States of America,United States of America,USA,5855797,Hawaii,-1,,1,,US.HI,Pacific,,-1,,,,3.5,7.5,2,Q782,هاواي,হাওয়াই,Hawaii,Hawaii,Hawái,Hawaï,Χαβάη,हवाई,Hawaii,Hawaii,Hawaii,ハワイ州,하와이,Hawaï,Hawaje,Havaí,Гавайи,Hawaii,Hawaii,Hawaii,夏威夷州,1159308409,הוואי,Гаваї,ہوائی,هاوائی,夏威夷州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3518,3518,US-ID,http://en.wikipedia.org/wiki/Idaho,US,1,Idaho,ID|Idaho,,State,State,US16,US.ID,,,West,,0,1,20,1,Idaho,ID,0,-99,0,5,1,1,US16,,2347571,"Idaho, US, United States",Idaho,43.7825,-114.1330,US1,USA,2,United States of America,United States of America,USA,5596512,Idaho,-1,,1,,US.ID,Mountain,,-1,,,,3.5,7.5,2,Q1221,أيداهو,আইডাহো,Idaho,Idaho,Idaho,Idaho,Άινταχο,आयडाहो,Idaho,Idaho,Idaho,アイダホ州,아이다호,Idaho,Idaho,Idaho,Айдахо,Idaho,Idaho,Idaho,爱达荷州,1159315339,איידהו,Айдахо,ایڈاہو,آیداهو,愛達荷州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3519,3519,US-WA,http://en.wikipedia.org/wiki/Washington_(state),US,6,Washington,WA|Wash.,,State,State,US53,US.WA,,,West,,0,1,20,1,Wash.,WA,0,-99,0,10,1,1,US53,,2347606,"Washington, US, United States",Washington,47.4865,-120.3610,US1,USA,2,United States of America,United States of America,USA,5815135,Washington,-1,,1,,US.WA,Pacific,,-1,,,,3.5,7.5,2,Q1223,واشنطن,ওয়াশিংটন,Washington,Washington,Washington,Washington,Ουάσινγκτον,वॉशिंगटन राज्य,Washington,Washington,Washington,ワシントン州,워싱턴,Washington,Waszyngton,Washington,Вашингтон,Washington,Vaşington,Washington,华盛顿州,1159309547,וושינגטון,Вашингтон,ریاست واشنگٹن,ایالت واشینگتن,華盛頓州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3520,3520,US-AZ,http://en.wikipedia.org/wiki/Arizona,US,1,Arizona,AZ|Ariz.,,State,State,US04,US.AZ,,,West,,0,1,20,1,Ariz.,AZ,0,-99,0,7,1,1,US04,,2347561,"Arizona, US, United States",Arizona,34.3046,-111.9350,US1,USA,2,United States of America,United States of America,USA,5551752,Arizona,-1,,1,,US.AZ,Mountain,,-1,,,,3.5,7.5,2,Q816,أريزونا,অ্যারিজোনা,Arizona,Arizona,Arizona,Arizona,Αριζόνα,एरीजोना,Arizona,Arizona,Arizona,アリゾナ州,애리조나,Arizona,Arizona,Arizona,Аризона,Arizona,Arizona,Arizona,亚利桑那州,1159315341,אריזונה,Аризона,ایریزونا,آریزونا,亞利桑那州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3521,3521,US-CA,http://en.wikipedia.org/wiki/California,US,8,California,CA|Calif.,,State,State,US06,US.CA,,,West,,0,1,20,1,Calif.,CA,0,-99,0,10,1,1,US06,,2347563,"California, US, United States",California,36.7496,-119.5910,US1,USA,2,United States of America,United States of America,USA,5332921,California,-1,,1,,US.CA,Pacific,,-1,,,,3.5,7.5,2,Q99,كاليفورنيا,ক্যালিফোর্নিয়া,Kalifornien,California,California,Californie,Καλιφόρνια,कैलिफ़ोर्निया,Kalifornia,California,California,カリフォルニア州,캘리포니아,Californië,Kalifornia,Califórnia,Калифорния,Kalifornien,Kaliforniya,California,加利福尼亚州,1159308415,קליפורניה,Каліфорнія,کیلی فورنیا,کالیفرنیا,加利福尼亞州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin-1 scale rank,2,USA-3522,3522,US-CO,http://en.wikipedia.org/wiki/Colorado,US,1,Colorado,CO|Colo.,,State,State,US08,US.CO,,,West,,0,1,20,1,Colo.,CO,0,-99,0,8,1,1,US08,,2347564,"Colorado, US, United States",Colorado,38.9998,-105.5430,US1,USA,2,United States of America,United States of America,USA,5417618,Colorado,-1,,1,,US.CO,Mountain,,-1,,,,3.5,7.5,2,Q1261,كولورادو,কলোরাডো,Colorado,Colorado,Colorado,Colorado,Κολοράντο,कॉलराडो,Colorado,Colorado,Colorado,コロラド州,콜로라도,Colorado,Kolorado,Colorado,Колорадо,Colorado,Colorado,Colorado,科罗拉多州,1159315343,קולורדו,Колорадо,کولوراڈو,کلرادو,科羅拉多州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
