scalerank,featurecla,name,name_alt,min_zoom,name_en,min_label,wikidataid,label,name_ar,name_bn,name_de,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
N,C,C,C,N,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,N
2,River,Brahmaputra,,2.1,Brahmaputra,3.1,Q45403,Brahmaputra,نهر براهمابوترا,ব্রহ্মপুত্র নদ,Brahmaputra,Brahmaputra,Brahmapoutre,Βραχμαπούτρας,ब्रह्मपुत्र नदी,Brahmaputra,Sungai Brahmaputra,Brahmaputra,ブラマプトラ川,브라마푸트라 강,Brahmaputra,Brahmaputra,Rio Bramaputra,Брахмапутра,Brahmaputra,Brahmaputra Nehri,Brahmaputra,布拉马普特拉河,4,1159120261
2,River,Mekong,,2.1,Mekong,3.1,Q41179,Mekong,نهر ميكونغ,,Mekong,Mekong,Mékong,Μεκόνγκ,मीकांग नदी,Mekong,Mekong,Mekong,メコン川,메콩 강,Mekong,Mekong,Rio Mekong,Меконг,Mekong,Mekong,Mê Kông,湄公河,4,1159121023
2,River,Ob,,2.1,Ob,3.1,Q973,Ob,أوبي,ওব নদী,Ob,Obi,Ob,Ομπ,ओब नदी,Ob,Sungai Ob,Ob',オビ川,오비 강,Ob,Ob,Rio Ob,Обь,Ob,Obi Nehri,Sông Obi,鄂畢河,4,1159114911
2,River,Peace,,2.1,Peace,3.1,Q2220,Peace,,,Peace,Río de la Paz,rivière de la Paix,,,Peace-folyó,,Peace,ピース川,피스 강,Peace,Peace,Rio Peace,Пис,Peace,,,皮斯河,4,1159117465
2,River,Donau,Danube,2.1,Danube,3.1,Q1653,Donau,دانوب,দানিউব নদী,Donau,Danubio,Danube,Δούναβης,डैन्यूब नदी,Duna,Sungai Donau,Danubio,ドナウ川,도나우 강,Donau,Dunaj,Rio Danúbio,Дунай,Donau,Tuna,Sông Donau,多瑙河,4,1159118769
2,River,Paraná,,2.1,Paraná,3.1,Q127892,Paraná,نهر بارانا,,Río Paraná,Paraná,Paraná,Παρανά,पराना नदी,Paraná,Sungai Paraná,Paraná,パラナ川,파라나 강,Paraná,Parana,Rio Paraná,Парана,Paranáfloden,Paraná Nehri,Sông Paraná,巴拉那河,5,1159118169
2,River,Congo,,2.1,Congo,3.1,Q3503,Congo,نهر الكونغو,কঙ্গো নদী,Kongo,río Congo,Congo,Κονγκό,कांगो नदी,Kongó,Sungai Kongo,Congo,コンゴ川,콩고 강,Kongo,Kongo,Rio Congo,Конго,Kongofloden,Kongo Nehri,Sông Congo,刚果河,4,1159120849
1,River,Lena,,2.0,Lena,3.0,Q46841,Lena,نهر لينا,লেনা নদী,Lena,Lena,Léna,Λένας ποταμός,लेना नदी,Léna,Sungai Lena,Lena,レナ川,레나 강,Lena,Lena,Rio Lena,Лена,Lena,Lena Nehri,Sông Lena,勒拿河,4,1159112191
1,River,Chang,,2.0,Yangtze,3.0,Q5413,Yangtze,يانغتسي,ইয়াং চি কিয়াং,Jangtsekiang,Yangtsé,Yangzi Jiang,Γιανγκτσέ,यांग्त्सीक्यांग,Jangce,Sungai Panjang,Fiume Azzurro,長江,창 강,Jangtsekiang,Jangcy,Rio Yangtzé,Янцзы,Yangtze,Yangtze,Trường Giang,长江,4,1159113707
1,River,Nile,,2.0,Nile,3.0,Q3392,Nile,نهر النيل,নীলনদ,Nil,Nilo,Nil,Νείλος,नील नदी,Nílus,Sungai Nil,Nilo,ナイル川,나일 강,Nijl,Nil,Rio Nilo,Нил,Nilen,Nil,Sông Nin,尼罗河,4,1159121589
1,River,Amazonas,Amazon,2.0,Amazon,3.0,Q3783,Amazonas,نهر الأمازون,আমাজন নদী,Amazonas,Amazonas,Amazone,Αμαζόνιος,अमेज़न नदी,Amazonas,Sungai Amazon,Rio delle Amazzoni,アマゾン川,아마존 강,Amazone,Amazonka,Amazonas,Амазонка,Amazonfloden,Amazon Nehri,Sông Amazon,亚马逊河,5,1159116655
1,River,Mississippi,,2.0,Mississippi,3.0,Q1497,Mississippi,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4,1159119147
1,River,Yangtze,,2.0,Yangtze,3.0,Q5413,Yangtze,يانغتسي,ইয়াং চি কিয়াং,Jangtsekiang,Yangtsé,Yangzi Jiang,Γιανγκτσέ,यांग्त्सीक्यांग,Jangce,Sungai Panjang,Fiume Azzurro,長江,창 강,Jangtsekiang,Jangcy,Rio Yangtzé,Янцзы,Yangtze,Yangtze,Trường Giang,长江,4,1159113707
