SCALERANK,FEATURECLA,NAME,MIN_ZOOM,BRK_NAME,NOTE,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,NE_ID,BRK_A3
N,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C
5,Claim boundary,,6.0,Golan Heights,"(Admin. By Israel, Claimed by Syria)",International boundary (verify),Claim boundary,International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),Unrecognized,International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),International boundary (verify),Unrecognized,1746705871,B16
5,Claim boundary,,5.0,South Ossetia,"(Self admin., Claimed by Georgia)",Unrecognized,,,International boundary (verify),,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705385,B37
5,Claim boundary,,5.0,Tirpani Valleys,"(Admin. by India, Claimed by China)",,,,International boundary (verify),,International boundary (verify),,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705401,B01
5,Claim boundary,,5.0,Bara Hotii Valleys,"(Admin. by India, Claimed by China)",,,,International boundary (verify),,International boundary (verify),,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705405,B02
5,Claim boundary,,5.0,Demchok,"(Admin. by India, Claimed by China)",,,,International boundary (verify),,International boundary (verify),,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705543,B03
5,Claim boundary,,5.0,Samdu Valleys,"(Admin. by India, Claimed by China)",,,,International boundary (verify),,International boundary (verify),,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705409,B04
5,Claim boundary,,3.7,Jammu and Kashmir,"(Admin. by India, Claimed by Pakistan)",,,,Unrecognized,,,,Unrecognized,,International boundary (verify),,,,,,,,,,,,,,,,,,,,,,,1746705451,B05
5,Claim boundary,,3.7,Shaksam Valley,"(Admin. by China, Ceded to China by Pakistan, Claimed by India)",,,,Unrecognized,,Unrecognized,,International boundary (verify),,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705415,B06
5,Claim boundary,,3.7,Northern Areas,"(Admin. by Pakistan, Claimed by India)",,,,International boundary (verify),,,,International boundary (verify),,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705471,B09
5,Claim boundary,,3.7,Aksai Chin,"(Admin. by China, Claimed by India)",,,,Unrecognized,,Unrecognized,,International boundary (verify),,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705439,B07
5,Claim boundary,,3.7,Arunachal Pradesh,"(Admin. by India, Claimed by China)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,International boundary (verify),Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705431,B00
5,Claim boundary,,6.0,Courantyne Headwaters,"(Admin. by Guyana, claimed by Suriname)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705391,B15
5,Claim boundary,,6.0,Lawa Headwaters,"(Admin. by France, claimed by Suriname)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705397,B14
5,Claim boundary,,5.0,Ilemi Triangle,"(Admin. by Kenya, Claimed by Sudan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705635,B17
5,Elusive frontier,,3.7,W. Sahara,"(Admin. by Morocco, Claimed by Western Sahara)",Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Unrecognized,Unrecognized,Disputed (please verify),Unrecognized,Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),Disputed (please verify),1746705527,B19
5,Breakaway,,5.0,Transdniestria,"(Self admin., Claimed by Moldova)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705379,B36
5,Breakaway,,5.0,Abkhazia,"(Self admin., Claimed by Georgia)",,,,International boundary (verify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705383,B35
5,Claim boundary,,4.0,Japanese claim,,,,,Unrecognized,,International boundary (verify),,,,,,,,,,,,,,,International boundary (verify),,,,,,,,,,,,1746705361,B29
5,Breakaway,,5.0,Nagorno-Karabakh,"(Self admin., Claimed by Azer.)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705781,B38
5,Breakaway,,5.0,Nagorno-Karabakh,"(Self admin., Claimed by Azer.)",Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705737,B38
5,Claim boundary,,3.7,Abyei,"(Admin. by Sudan, Claimed by South Sudan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705463,B13
6,Breakaway,,4.0,Donestsk,"(Self admin., Claimed by Ukraine)",Unrecognized,Unrecognized,Unrecognized,International boundary (verify),Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1763286563,C02
6,Claim boundary,,6.7,Chinese claim,,,,,Unrecognized,,International boundary (verify),,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705373,B76
6,Claim boundary,,5.0,Bhutan claimed by China,,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,International boundary (verify),Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,1746705535,B75
6,Claim boundary,Pakistan claim,3.7,,"(Admin. by India, Claimed by Pakistan)",,,,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,,International boundary (verify),,,,,,,,,,,,,,International boundary (verify),,,,,,,,Unrecognized,1746705917,
6,Claim boundary,Pakistan claim,3.7,,"(Admin. by India, Claimed by Pakistan)",,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,,International boundary (verify),Unrecognized,Unrecognized,,,,,,,,,,,,International boundary (verify),,,,,,,,Unrecognized,1746705925,C01
6,Claim boundary,Pakistan claim,3.7,,"(Admin. by India, Claimed by Pakistan)",,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,,International boundary (verify),Unrecognized,Unrecognized,,,,,,,,,,,,International boundary (verify),,,,,,,,Unrecognized,1746705935,C01
6,Claim boundary,Pakistan claim,3.7,,"(Admin. by India, Claimed by Pakistan)",,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,,International boundary (verify),Unrecognized,Unrecognized,,,,,,,,,,,,International boundary (verify),,,,,,,,Unrecognized,1746705955,C01
6,Claim boundary,Pakistan claim,3.7,,"(Admin. by India, Claimed by Pakistan)",,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,Unrecognized,,International boundary (verify),Unrecognized,Unrecognized,,,,,,,,,,,,International boundary (verify),,,,,,,,Unrecognized,1746705943,C01
5,Claim boundary,,3.7,Northern Areas,"(Admin. by Pakistan, Claimed by India)",,,,International boundary (verify),,,,International boundary (verify),,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,1746705479,B09
