SCALERANK,FEATURECLA,PACGROUP,NOTE,COMMENT,MIN_ZOOM,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,NE_ID,BRK_A3
N,C,N,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706749,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706741,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706733,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706715,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706715,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706705,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706697,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706687,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706679,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706665,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706661,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706645,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706643,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706629,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706621,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706613,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706607,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706595,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706587,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706577,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706569,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706555,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746792041,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706539,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706533,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706523,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706515,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706501,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706495,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706481,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706465,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706459,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706451,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706441,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706425,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706409,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706397,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706387,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706373,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706361,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706351,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706339,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706327,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706319,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706307,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706297,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706283,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706269,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706259,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706249,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706237,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706227,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706215,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706205,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706197,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706187,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706175,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706165,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706157,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706143,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706133,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706123,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706111,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706101,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706089,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706079,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706067,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706055,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706045,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706033,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706025,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706013,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706001,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705991,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705979,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705971,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705961,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705939,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705927,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705919,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705911,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705903,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705889,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705883,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705873,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705863,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705853,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705841,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705833,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705819,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705811,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705799,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705791,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705743,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705777,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705765,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705755,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705743,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705723,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705709,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705709,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705705,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705691,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705683,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705673,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705665,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705655,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705647,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705639,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705633,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705623,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705615,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705605,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705597,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705587,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705563,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705553,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705549,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705545,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705541,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705531,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705523,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705511,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705503,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705497,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705491,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705481,
5,Martime Indicator,1,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746705473,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706483,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746707295,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746707289,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746707281,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746707269,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706409,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746707253,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706425,
5,Martime Indicator,0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746706433,
