scalerank,featurecla,sr_sov_a3,sr_adm0_a3,sr_gu_a3,sr_su_a3,sr_subunit,sr_label_i,sr_label_o
N,C,C,C,C,C,C,N,N
6.00000000000,Admin-0 Tiny Countries,GB1,VGB,VGB,VGB,British Virgin Islands,4,4
2.00000000000,Admin-0 Tiny Countries,GB1,TCA,TCA,TCA,Turks and Caicos Islands,3,6
4.00000000000,Admin-0 Tiny Countries,NL1,CUW,CUW,CUW,Curaçao,4,6
4.00000000000,Admin-0 Tiny Countries,NL1,ABW,ABW,ABW,Aruba,4,6
4.00000000000,Admin-0 Tiny Countries,GB1,CYM,CYM,CYM,Cayman Islands,3,6
2.00000000000,Admin-0 Tiny Countries Pacific,NZL,COK,COK,COK,Cook Islands,3,6
2.00000000000,Admin-0 Tiny Countries Pacific,WSM,WSM,WSM,WSM,Samoa,2,4
3.00000000000,Admin-0 Tiny Countries Pacific,USA,ASM,ASM,ASM,American Samoa,3,5
3.00000000000,Admin-0 Tiny Countries Pacific,NZL,NIU,NIU,NIU,Niue,3,6
3.00000000000,Admin-0 Tiny Countries Pacific,NZL,TKL,TKL,TKL,Tokelau,4,6
3.00000000000,Admin-0 Tiny Countries Pacific,FR1,WLF,WLF,WLF,Wallis and Futuna,3,6
2.00000000000,Admin-0 Tiny Countries Pacific,TON,TON,TON,TON,Tonga,3,4
2.00000000000,Admin-0 Tiny Countries Pacific,FR1,PYF,PYF,PYF,French Polynesia,2,5
2.00000000000,Admin-0 Tiny Countries Pacific,GB1,PCN,PCN,PCN,Pitcairn Islands,3,6
6.00000000000,Admin-0 Tiny Countries,ATG,ATG,ATG,ATG,Antigua and Barbuda,4,4
4.00000000000,Admin-0 Tiny Countries,KNA,KNA,KNA,KNA,Saint Kitts and Nevis,4,4
6.00000000000,Admin-0 Tiny GeoUnit,FR1,MAF,MAF,MAF,Saint Martin,4,4
6.00000000000,Admin-0 Tiny Countries,GB1,AIA,AIA,AIA,Anguilla,4,4
4.00000000000,Admin-0 Tiny GeoUnit,FR1,GLP,GLP,GLP,Guadeloupe,2,5
6.00000000000,Admin-0 Tiny Countries,DMA,DMA,DMA,DMA,Dominica,4,4
4.00000000000,Admin-0 Tiny GeoUnit,FR1,MTQ,MTQ,MTQ,Martinique,3,5
6.00000000000,Admin-0 Tiny Countries,LCA,LCA,LCA,LCA,Saint Lucia,4,4
6.00000000000,Admin-0 Tiny Countries,VCT,VCT,VCT,VCT,Saint Vincent and the Grenadines,4,4
6.00000000000,Admin-0 Tiny Countries,GRD,GRD,GRD,GRD,Grenada,4,4
2.00000000000,Admin-0 Tiny Countries,BRB,BRB,BRB,BRB,Barbados,3,5
2.00000000000,Admin-0 Tiny Countries,TTO,TTO,TTO,TTO,Trinidad and Tobago,2,5
2.00000000000,Admin-0 Tiny Countries,STP,STP,STP,STP,Sao Tome and Principe,3,4
2.00000000000,Admin-0 Tiny Countries,GB1,BAC,SHN,BAC,Ascension,3,6
