FEATURECLA,NAME,ADM0_A3,ADM0_NAME,MAPCOLOR9,MAPCOLOR13,SCALERANK,MIN_ZOOM,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,NE_ID,BRK_A3
C,C,C,C,N,N,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746730127,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729897,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729901,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729905,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729913,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729917,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729921,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729925,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729933,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729943,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729949,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729953,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729957,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729959,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729967,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729971,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729975,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729977,
Admin-1 boundary,,BRA,Brazil,5,7,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746729987,
