scalerank,featurecla,name,website,natlscale
N,C,C,C,N
3,Port,Oranjestad,www.arubaports.com,75.000
3,Port,Dubai,www.dpa.ae,75.000
3,Port,Buenos Aires,www.puertobuenosaires.gov.ar,75.000
3,Port,Darwin,www.darwinport.nt.gov.au,75.000
3,Port,Melbourne,www.portofmelbourne.com,75.000
3,Port,Perth,,75.000
3,Port,Sydney,www.sydneyports.com.au,75.000
3,Port,Cotonou,www.portdecotonou.com,75.000
3,Port,Nassau,,75.000
3,Port,Rio de Janeiro,www.portosrio.gov.br,75.000
3,Port,Vancouver,www.portmetrovancouver.com,75.000
3,Port,Liverpool,,75.000
3,Port,Valparaiso,www.portvalparaiso.cl,75.000
3,Port,Guangzhou,www.gzport.com,75.000
3,Port,Tianjin,www.ptacn.com,75.000
3,Port,Abidjan,www.paa-ci.org,75.000
3,Port,Bremerhaven,www.bremen-ports.de,75.000
3,Port,Rostock,www.rostock-port.de,75.000
3,Port,Tuborg,,75.000
3,Port,Guayaquil,www.puertodeguayaquil.com,75.000
3,Port,Port Said,www.psdports.org,75.000
3,Port,Barcelona,www.apb.es,75.000
3,Port,Malaga,www.puertomalaga.com,75.000
3,Port,Palma de Mallorca,www.portdemallorca.com,75.000
3,Port,Le Havre,www.havre-port.net,75.000
3,Port,Marseille,www.marseille-port.fr,75.000
3,Port,Nice,www.riviera-ports.com,75.000
3,Port,London,www.pla.co.uk,75.000
3,Port,Gythion,,75.000
3,Port,Rhodes,,75.000
3,Port,Dubrovnik,www.portdubrovnik.hr,75.000
3,Port,Civitavecchia,www.portidiroma.it,75.000
3,Port,Palermo,www.autport.pa.it,75.000
3,Port,Savona,www.porto.sv.it,75.000
3,Port,Marghera,www.port.venice.it,75.000
3,Port,Montego Bay,www.portjam.com,75.000
3,Port,Osaka,www.optc.or.jp,75.000
3,Port,Yokohama,www.city.yokohama.jp/me/port/en/index.html,75.000
3,Port,Riga,www.rop.lv,75.000
3,Port,Cabo San Lucas,,75.000
3,Port,Marsaxlokk,www.maltafreeport.com.mt,75.000
3,Port,Amsterdam,www.amsterdamports.nl,75.000
3,Port,Oslo,www.ohv.oslo.no,75.000
3,Port,Auckland,www.poal.co.nz,75.000
3,Port,Karachi,www.kpt.gov.pk,75.000
3,Port,Colon,www.cct-pa.com,75.000
3,Port,Manila,www.ppa.com.ph,75.000
3,Port,San Juan,www.prpa.gobierno.pr,75.000
3,Port,Istanbul,www.tdi.com.tr,75.000
3,Port,Taipei,www.tpport.gov.tw,75.000
3,Port,Dar es Salaam,www.tanzaniaports.com,75.000
3,Port,Mobile,www.asdd.com,75.000
3,Port,Los Angeles,www.portoflosangeles.org,75.000
3,Port,San Diego,www.portofsandiego.org,75.000
3,Port,San Francisco,www.sfport.com,75.000
3,Port,Miami,www.miamidade.gov/portofmiami,75.000
3,Port,Tampa,www.tampaport.com,75.000
3,Port,Honolulu,www.state.hi.us/dot/harbors,75.000
3,Port,Boston,www.massport.com/ports,75.000
3,Port,Baltimore,www.mpa.state.md.us,75.000
3,Port,New York,www.panynj.gov,75.000
3,Port,Galveston,www.portofgalveston.com,75.000
3,Port,Norfolk,www.vaports.com,75.000
3,Port,Seattle,www.portseattle.org,75.000
3,Port,Cape Town,www.transnetnationalportsauthority.net,75.000
3,Port,Toronto,,75.000
3,Port,Chicago,,75.000
4,Port,Luanda,www.otal.com/angola,50.000
4,Port,"Kralendijk, Bonaire",,50.000
4,Port,Philipsburg,,50.000
4,Port,Adelaide,www.flindersports.com.au,50.000
4,Port,Brisbane,www.portbris.com.au,50.000
4,Port,Port Hedland,www.phpa.com.au,50.000
4,Port,Chittagong,www.cpa.gov.bd,50.000
4,Port,Bridgetown,www.barbadosport.com,50.000
4,Port,Montreal,www.port-montreal.com,50.000
4,Port,Punta Arenas,www.epa.co.cl,50.000
4,Port,Valdivia,,50.000
4,Port,Dalian,www.portdalian.com,50.000
4,Port,Fuzhou,,50.000
4,Port,Qingdao,www.qdport.com,50.000
4,Port,Shanghai,www.portshanghai.com.cn,50.000
4,Port,Shantou,,50.000
4,Port,Puntarenas,,50.000
4,Port,Kiel,www.port-of-kiel.de,50.000
4,Port,Roseau,,50.000
4,Port,Santo Domingo,www.apordom.gov.do,50.000
4,Port,Cartagena,www.apc.es,50.000
