scalerank,featurecla,name,comment,name_alt,lat_y,long_x,region,subregion,min_zoom,label,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wikidataid,ne_id,name_fa,name_he,name_uk,name_ur,name_zht
N,C,C,C,C,N,N,C,C,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N,C,C,C,C,C
2,waterfall,Niagara Falls,,,43.087653000,-79.044073000,North America,,5.0,Niagara Falls,شلالات نياجارا,নায়াগ্রা জলপ্রপাত,Niagarafälle,Niagara Falls,Cataratas del Niágara,chutes du Niagara,Καταρράκτες του Νιαγάρα,नायाग्रा जल प्रपात,Niagara-vízesés,Niagara,cascate del Niagara,ナイアガラの滝,나이아가라 폭포,Niagarawatervallen,Niagara,Cataratas do Niágara,Ниагарский водопад,Niagarafallen,Niagara Şelalesi,Thác Niagara,尼亚加拉瀑布,Q34221,1159105019,آبشار نیاگارا,מפלי ניאגרה,Ніагарський водоспад,نیاگرا آبشار,尼亞加拉瀑布城
2,waterfall,Salto Angel,,Angel Falls,5.686836000,-62.061848000,South America,,5.0,Salto Angel,شلالات آنجل,অ্যাঞ্জেল জলপ্রপাত,Salto Ángel,Angel Falls,Salto Ángel,Salto Angel,Καταρράκτες Έιντζελ,एन्जिल जलप्रपात,Angel-vízesés,Air terjun Angel,Salto Angel,エンジェルフォール,앙헬 폭포,Ángelwaterval,Salto Angel,Salto Ángel,Анхель,Angelfallen,Angel Şelalesi,Thác nước Ángel,安赫尔瀑布,Q80299,1159105051,آبشار آنجل,מפל אנחל,Анхель,اینجل آبشار,安赫尔瀑布
2,waterfall,Iguazu Falls,,,-25.568265000,-54.582842000,South America,,5.0,Iguazu Falls,شلالات إجوازو,ইগুয়াসু জলপ্রপাত,Iguazú-Wasserfälle,Iguaçu Falls,Cataratas del Iguazú,chutes d'Iguazú,Καταρράκτες Ιγκουασού,इग्वासू जलप्रपात,Iguazú-vízesés,Air terjun Iguazu,cascate dell'Iguazú,イグアスの滝,이구아수 폭포,Watervallen van de Iguaçu,Wodospad Iguazú,Cataratas do Iguaçu,Игуасу,Iguazúfallen,Iguazú Şelalesi,Thác Iguazu,伊瓜苏瀑布,Q36332,1159105053,آبشار ایگواسو,מפלי איגואסו,Водоспад Іґуасу,اگوازو آبشار,伊瓜苏瀑布
3,cape,Gees Gwardafuy,,,11.812855000,51.235173000,Africa,,5.1,Gees Gwardafuy,رأس عسير,গীস গোয়ারডাফি,Kap Guardafui,Cape Guardafui,Cabo Guardafui,cap Gardafui,Γκις Γκουανταφούι,गीस ग्वारदाफुय,Guardafui-fok,Gees Gwardafuy,Capo Guardafui,グアルダフィ岬,지스 그와르다푸이,Cape Guardafui,Gees Gwardafuy,Cabo Guardafui,Гвардафуй,Kap Gardafai,Gees Gwardafuy,Cape Guardafui,瓜达富伊角,Q1145030,1159104885,گییس جیواردافوی,כף גייס גוורדאפוי,Гардафуй,گیس گوارڈافائی,瓜達富伊角
3,waterfall,Victoria Falls,,,-17.770790000,25.460133000,Africa,,5.1,Victoria Falls,شلالات فيكتوريا,ভিক্টোরিয়া জলপ্রপাত,Victoriafälle,Victoria Falls,cascades Victòria,chutes Victoria,Καταρράκτες Βικτωρίας,विक्टोरिया जलप्रपात,Viktória-vízesés,Air terjun Victoria,cascate Vittoria,ヴィクトリアの滝,빅토리아 폭포,Victoriawatervallen,Wodospady Wiktorii,Cataratas Vitória,Виктория,Victoriafallen,Victoria Şelalesi,Thác Victoria,维多利亚瀑布,Q43278,1159104887,آبشار ویکتوریا,מפל ויקטוריה,Вікторія,وکٹوریا آبشار,维多利亚瀑布
3,island,Wright Island,,,-50.959168000,-72.995002000,Antarctica,,5.1,Wright I.,جزيرة رايت,রাইট দ্বীপ,Wright Island,Wright Island,Wright Island,Wright Island,Νήσος Ράιτ,राइट द्वीप,Wright-sziget,Pulau Wright,Wright Island,ライト島,라이트 아일랜드,Wright Island,Wright Island,Ilha Wright,остров Райт,Wright Island,Wright Adası,Đảo Wright,莱特岛,Q6980542,1159104901,جزیره رایت,האי רייט,острів Райт,رائٹ جزیرہ,萊特島
3,island,Grant Island,,,-50.959168000,-72.995002000,Antarctica,,5.1,Grant I.,جزيرة غرانت,গ্র্যান্ট আইল্যান্ড,Grant-Insel,Grant Island,Isla Grant,île Grant,Νήσος Γκραντ,ग्रांट द्वीप,Grant-sziget,Pulau Grant,Grant Island,グラント島,그랜트 아일랜드,Grant Island,Wyspa Granta,Ilha Grant,остров Грант,Grant Island,Grant Adası,Đảo Grant,格蘭特島,Q1543171,1159104903,جزیره گرنت,האי גראנט,озеро Грант,گرانٹ جزیرہ,格蘭特島
3,island,Newman Island,,,-50.959168000,-72.995002000,Antarctica,,5.1,Newman I.,جزيرة نيومان,নিউম্যান আইল্যান্ড,Newman Island,Newman Island,Isla Newman,Newman Island,Νήσος Νιούμαν,न्यूमैन द्वीप,Newman-sziget,Pulau Newman,Newman Island,ニューマン島,뉴먼 아일랜드,Newman Island,Newman Island,Ilha Newman,остров Ньюман,Newman Island,Newman Adası,Đảo Newman,維曼島,Q6272638,1159104905,جزیره نیومنن,האי ניומן,острів Ньюман,نیومین جزیرہ,維曼島
3,island,Dean Island,,,-50.959168000,-72.995002000,Antarctica,,5.1,Dean I.,جزيرة دين,ডীন আইল্যান্ড,Dean Insel,Dean Island,Isla Dean,Île Dean,Νήσος Ντιν,डीन द्वीप,Dean-sziget,Pulau Dean,Dean Island,ディーン島,딘 아일랜드,Dean Island,Wyspa Dean,Ilha dean,остров Дин,Dean Island,Dean Adası,Đảo Dean,迪安島,Q559842,1159104907,جزیره دین,האי דין,острів Дін,ڈین جزیرہ,迪安島
