scalerank,featurecla,name,dissolve,note,min_zoom,strokeweig,name_alt,name_en,min_label,ne_id,label,wikidataid,name_ar,name_bn,name_de,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score
N,C,C,C,C,N,N,C,C,N,N,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,N
5,River,,River_untitled_77,_untitled_77,4.7,0.20,,,5.7,1159113739,,,,,,,,,,,,,,,,,,,,,,,0
5,River,Ebro,RiverEbro,,4.7,0.15,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,,Ebro,Ebro,Èbre,Έβρος,,Ebro,Ebro,Ebro,エブロ川,에브로 강,Ebro,Ebro,Rio Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,4
5,River,Ebro,RiverEbro,,4.7,0.20,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,,Ebro,Ebro,Èbre,Έβρος,,Ebro,Ebro,Ebro,エブロ川,에브로 강,Ebro,Ebro,Rio Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,4
5,River,Ebro,RiverEbro,,4.7,0.25,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,,Ebro,Ebro,Èbre,Έβρος,,Ebro,Ebro,Ebro,エブロ川,에브로 강,Ebro,Ebro,Rio Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,4
5,River,Ebro,RiverEbro,,4.7,0.30,,Ebro,5.7,1159112595,Ebro,Q10965,أبرة,,Ebro,Ebro,Èbre,Έβρος,,Ebro,Ebro,Ebro,エブロ川,에브로 강,Ebro,Ebro,Rio Ebro,Эбро,Ebro,Ebro,Ebro,埃布羅河,4
5,Lake Centerline,Mississippi,Lake CenterlineMississippi,,4.7,0.20,,Mississippi,5.7,1159112609,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
5,Lake Centerline,Mississippi,Lake CenterlineMississippi,,4.7,0.25,,Mississippi,5.7,1159112609,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
5,River,Mississippi,RiverMississippi,,4.7,0.15,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
5,River,Mississippi,RiverMississippi,,4.7,0.20,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
5,River,Mississippi,RiverMississippi,,4.7,0.20,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
5,River,Mississippi,RiverMississippi,,4.7,0.25,,Mississippi,5.7,1159119147,Mississippi,Q1497,نهر مسيسيبي,মিসিসিপি নদী,Mississippi,Río Misisipi,Mississippi,Ποταμός Μισσισσιππής,मिसिसिप्पी नदी,Mississippi,Sungai Mississippi,Mississippi,ミシシッピ川,미시시피 강,Mississippi,Missisipi,Rio Mississippi,Миссисипи,Mississippifloden,Mississippi Nehri,Sông Mississippi,密西西比河,4
