FEATURECLA	NAME	COMMENT	ADM0_USA	ADM0_LEFT	ADM0_RIGHT	ADM0_A3_L	ADM0_A3_R	SOV_A3_L	SOV_A3_R	TYPE	LABELRANK	SCALERANK	MIN_ZOOM	MIN_LABEL	NOTE	ADM0_ABR_L	ADM0_ABR_R	FCLASS_ISO	FCLASS_US	FCLASS_FR	FCLASS_RU	FCLASS_ES	FCLASS_CN	FCLASS_TW	FCLASS_IN	FCLASS_NP	FCLASS_PK	FCLASS_DE	FCLASS_GB	FCLASS_BR	FCLASS_IL	FCLASS_PS	FCLASS_SA	FCLASS_EG	FCLASS_MA	FCLASS_PT	FCLASS_AR	FCLASS_JP	FCLASS_KO	FCLASS_VN	FCLASS_TR	FCLASS_ID	FCLASS_PL	FCLASS_GR	FCLASS_IT	FCLASS_NL	FCLASS_SE	FCLASS_BD	FCLASS_UA	ne_id	BRK_A3	FCLASS_OSM
Indefinite (please verify)			1	Canada	United States of America	CAN	USA	Wat	US1	Water Indicator	2	1	2.0	7.6		Can.	U.S.A.																																	1746705265		International boundary (verify)
International boundary (verify)			1	Sweden	Norway	SWE	NOR	SWE	NOR	Water Indicator	2	1	0.0	7.6		Swe.	Nor.																																	1746705269		
International boundary (verify)			1	Denmark	Germany	DNK	DEU	DN1	DEU	Water Indicator	5	1	0.0	8.0		Den.	Ger.																																	1746705271		
International boundary (verify)			1	Singapore	Malaysia	SGP	MYS	SGP	MYS	Water Indicator	3	1	0.0	9.0		Sing.	Malay.																																	1746705273		
International boundary (verify)			1	Uruguay	Argentina	URY	ARG	URY	ARG	Water Indicator	2	1	0.0	8.0		Ury.	Arg.																																	1746705275		
International boundary (verify)			1	Finland	Sweden	FIN	SWE	FI1	SWE	Water Indicator	2	1	0.0	8.0		Fin.	Swe.																																	1746705277		
International boundary (verify)			1	Germany	Poland	DEU	POL	DEU	POL	Water Indicator	2	1	0.0	7.6		Ger.	Pol.																																	1746705279		
International boundary (verify)			1	Iraq	Iran	IRQ	IRN	IRQ	IRN	Water Indicator	2	1	6.0	7.7		Iraq	Iran																																	1746705281		
International boundary (verify)			1	Bangladesh	India	BGD	IND	BGD	IND	Water Indicator	2	1	0.0	8.0		Bang.	India																																	1746705283		
International boundary (verify)			1	Mexico	Belize	MEX	BLZ	MEX	BLZ	Water Indicator	2	1	0.0	10.0		Mex.	Belize																																	1746705287		
International boundary (verify)			1	Argentina	Chile	ARG	CHL	ARG	CHL	Water Indicator	2	1	0.0	7.6		Arg.	Chile																																	1746705289		
International boundary (verify)			1	India	Pakistan	IND	PAK	IND	PAK	Water Indicator	2	1	6.0	7.6		India	Pak.																																	1746705291		
International boundary (verify)			1	Canada	United States of America	CAN	USA	CAN	US1	Water Indicator	2	1	0.0	7.6		Can.	U.S.A.																																	1746705293		
International boundary (verify)			1	Macau	China	MAC	CHN	CH1	CH1	Water Indicator	5	1	6.0	9.0		Mac.	China						Map unit boundary																											1746705295	B95	Admin-1 boundary
International boundary (verify)			1	Canada	United States of America	CAN	USA	CAN	US1	Water Indicator	2	1	2.0	7.6		Can.	U.S.A.																																	1746705297		
International boundary (verify)			1	Lithuania	Russia	LTU	RUS	LTU	RUS	Water Indicator	5	1	0.0	9.0		Lith.	Rus.																																	1746705299		
International boundary (verify)			1	Angola	Democratic Republic of the Congo	AGO	COD	AGO	COD	Water Indicator	2	1	0.0	7.6		Ang.	D.R.C.																																	1746705301		
International boundary (verify)			1	Cameroon	Nigeria	CMR	NGA	CMR	NGA	Water Indicator	2	1	0.0	8.0		Cam.	Nigeria																																	1746705305		
International boundary (verify)			1	Malaysia	Indonesia	MYS	IDN	MYS	IDN	Water Indicator	2	1	6.0	8.0		Malay.	Indo.																																	1746705307		
International boundary (verify)			0	Bolivia	Chile	BOL	CHL	BOL	CHL	Land	2	1	0.0	7.7		Bolivia	Chile	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	International boundary (verify)	1746705309	B72	
International boundary (verify)			1	Chile	Peru	CHL	PER	CHL	PER	Land	2	1	0.0	7.6		Chile	Peru																																	1746705311		
International boundary (verify)			1	Chile	Argentina	CHL	ARG	CHL	ARG	Land	2	1	0.0	7.6		Chile	Arg.																																	1746705313		
International boundary (verify)			1	Cyprus	Dhekelia Sovereign Base Area	CYP	ESB	CYP	GB1	Land	2	3	6.0	11.0		Cyp.	Dhek.																																	1746705315		
International boundary (verify)			1	Dhekelia Sovereign Base Area	Cyprus	ESB	CYP	GB1	CYP	Land	3	3	6.0	11.0		Dhek.	Cyp.																																	1746705317		
Disputed (please verify)			1	China	India	CHN	IND	CH1	IND	Land	2	1	0.0	6.7		China	India				International boundary (verify)		International boundary (verify)	International boundary (verify)	Unrecognized		International boundary (verify)														International boundary (verify)									1746705319	B07	International boundary (verify)
Disputed (please verify)			1	Palestine	Israel	PSX	ISR	ISR	ISR	Land	5	1	0.0	9.5		Pal.	Isr.										Unrecognized						Unrecognized									Line of control (please verify)						Unrecognized		1746705323	B53	International boundary (verify)
Disputed (please verify)			1	Palestine	Israel	PSX	ISR	ISR	ISR	Land	5	1	0.0	9.5		Pal.	Isr.										Unrecognized						Unrecognized									Line of control (please verify)						Unrecognized		1746705325	B54	International boundary (verify)
Indefinite (please verify)			1	Lebanon	Israel	LBN	ISR	LBN	ISR	Land	5	1	0.0	9.0		Leb.	Isr.														International boundary (verify)																			1746705327		International boundary (verify)
Disputed (please verify)			1	South Sudan	Ethiopia	SDS	ETH	SDS	ETH	Land	2	1	0.0	8.0		S. Sud.	Eth.						International boundary (verify)																											1746705329	B92	International boundary (verify)
Indefinite (please verify)			1	Somalia	Ethiopia	SOM	ETH	SOM	ETH	Land	2	1	0.0	9.0		Som.	Eth.																																	1746705331		International boundary (verify)
Disputed (please verify)			1	South Sudan	Kenya	SDS	KEN	SDS	KEN	Land	2	1	0.0	8.0		S. Sud.	Ken.						Unrecognized																											1746705333	B17	International boundary (verify)
Disputed (please verify)			1	United Republic of Tanzania	Malawi	TZA	MWI	TZA	MWI	Land	2	1	0.0	9.0		Tanz.	Mal.																																	1746705335	B93	International boundary (verify)
Disputed (please verify)			0	China	India	CHN	IND	CH1	IND	Land	2	1	0.0	6.7		China	India				International boundary (verify)		Unrecognized	Unrecognized	International boundary (verify)																									1746705337	B00	International boundary (verify)
