sr_sov_a3	sr_adm0_a3	sr_gu_a3	sr_su_a3	sr_subunit	sr_brk_a3	sr_br_name	scalerank	featurecla
ZWE	ZWE	ZWE	ZWE	Zimbabwe	ZWE		0	Admin-0 scale ranks
ZMB	ZMB	ZMB	ZMB	Zambia	ZMB		0	Admin-0 scale ranks
YEM	YEM	YEM	YES	Suqutra	YES		5	Admin-0 scale ranks
YEM	YEM	YEM	YES	Suqutra	YES		6	Admin-0 scale ranks
YEM	YEM	YEM	YES	Suqutra	YES		6	Admin-0 scale ranks
YEM	YEM	YEM	YES	Suqutra	YES		5	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		8	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		7	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		6	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		5	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		5	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		5	Admin-0 scale ranks
YEM	YEM	YEM	YEM	Yemen	YEM		0	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		8	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
VNM	VNM	VNM	VNM	Vietnam	VNM		7	Admin-0 scale ranks
