featurecla	name	adm0_a3	adm0_name	shape_leng	mapcolor9	mapcolor13	sov_a3	name_l	name_r	type	min_zoom	min_label	scalerank	FCLASS_ISO	FCLASS_US	FCLASS_FR	FCLASS_RU	FCLASS_ES	FCLASS_CN	FCLASS_TW	FCLASS_IN	FCLASS_NP	FCLASS_PK	FCLASS_DE	FCLASS_GB	FCLASS_BR	FCLASS_IL	FCLASS_PS	FCLASS_SA	FCLASS_EG	FCLASS_MA	FCLASS_PT	FCLASS_AR	FCLASS_JP	FCLASS_KO	FCLASS_VN	FCLASS_TR	FCLASS_ID	FCLASS_PL	FCLASS_GR	FCLASS_IT	FCLASS_NL	FCLASS_SE	FCLASS_BD	FCLASS_UA	ne_id	BRK_A3
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709315	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709323	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709327	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709331	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709337	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709341	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709345	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709349	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709355	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709361	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709365	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709369	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709375	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709379	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709383	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709387	
Admin-2 boundary		USA	United States of America	0.00000000000	1	1	US1				6.6	10.0	6																																	1746709391	
