recnum	scalerank	featurecla	name	min_zoom
1	6	Glaciated areas		5.7
2	6	Glaciated areas		5.7
3	6	Glaciated areas		5.7
4	6	Glaciated areas		5.7
5	6	Glaciated areas		5.7
6	6	Glaciated areas		5.7
7	6	Glaciated areas		5.7
8	6	Glaciated areas		5.7
9	6	Glaciated areas		5.7
10	6	Glaciated areas		5.7
11	6	Glaciated areas		5.7
12	6	Glaciated areas		5.7
13	5	Glaciated areas		5.0
14	6	Glaciated areas		5.7
15	6	Glaciated areas		5.7
16	6	Glaciated areas		5.7
17	6	Glaciated areas		5.7
18	6	Glaciated areas		5.7
19	6	Glaciated areas		5.7
20	6	Glaciated areas		5.7
21	5	Glaciated areas		5.0
22	3	Glaciated areas		2.1
23	6	Glaciated areas		5.7
24	6	Glaciated areas		5.7
25	6	Glaciated areas		5.7
26	6	Glaciated areas		5.7
27	6	Glaciated areas		5.7
28	6	Glaciated areas		5.7
29	6	Glaciated areas		5.7
30	6	Glaciated areas		5.7
31	6	Glaciated areas		5.7
32	6	Glaciated areas		5.7
33	6	Glaciated areas		5.7
34	6	Glaciated areas		5.7
35	6	Glaciated areas		5.7
36	3	Glaciated areas		2.1
37	6	Glaciated areas		5.7
38	6	Glaciated areas		5.7
39	6	Glaciated areas		5.7
40	6	Glaciated areas		5.7
41	6	Glaciated areas		5.7
42	6	Glaciated areas		5.7
43	6	Glaciated areas		5.7
44	6	Glaciated areas		5.7
45	3	Glaciated areas		2.1
46	6	Glaciated areas		5.7
47	6	Glaciated areas		5.7
48	6	Glaciated areas		5.7
49	6	Glaciated areas		5.7
50	6	Glaciated areas		5.7
51	6	Glaciated areas		5.7
52	6	Glaciated areas		5.7
53	6	Glaciated areas		5.7
54	6	Glaciated areas		5.7
55	6	Glaciated areas		5.7
56	6	Glaciated areas		5.7
57	6	Glaciated areas		5.7
58	6	Glaciated areas		5.7
59	6	Glaciated areas		5.7
60	6	Glaciated areas		5.7
61	6	Glaciated areas		5.7
62	6	Glaciated areas		5.7
63	6	Glaciated areas		5.7
64	6	Glaciated areas		5.7
65	3	Glaciated areas		2.1
66	3	Glaciated areas		2.1
67	6	Glaciated areas		5.7
68	6	Glaciated areas		5.7
69	6	Glaciated areas		5.7
70	3	Glaciated areas		2.1
71	6	Glaciated areas		5.7
72	3	Glaciated areas		2.1
73	6	Glaciated areas		5.7
74	6	Glaciated areas		5.7
75	6	Glaciated areas		5.7
76	6	Glaciated areas		5.7
77	6	Glaciated areas		5.7
78	6	Glaciated areas		5.7
79	6	Glaciated areas		5.7
80	6	Glaciated areas		5.7
81	5	Glaciated areas		5.0
82	6	Glaciated areas		5.7
83	6	Glaciated areas		5.7
84	6	Glaciated areas		5.7
85	6	Glaciated areas		5.7
86	6	Glaciated areas		5.7
87	6	Glaciated areas		5.7
88	6	Glaciated areas		5.7
89	6	Glaciated areas		5.7
90	5	Glaciated areas		5.0
91	6	Glaciated areas		5.7
92	6	Glaciated areas		5.7
93	6	Glaciated areas		5.7
94	6	Glaciated areas		5.7
95	6	Glaciated areas		5.7
96	6	Glaciated areas		5.7
97	5	Glaciated areas		5.0
98	6	Glaciated areas		5.7
99	6	Glaciated areas		5.7
100	6	Glaciated areas		5.7
101	6	Glaciated areas		5.7
102	6	Glaciated areas		5.7
103	6	Glaciated areas		5.7
104	6	Glaciated areas		5.7
105	6	Glaciated areas		5.7
106	6	Glaciated areas		5.7
107	6	Glaciated areas		5.7
108	6	Glaciated areas		5.7
109	6	Glaciated areas		5.7
110	6	Glaciated areas		5.7
111	6	Glaciated areas		5.7
112	6	Glaciated areas		5.7
113	6	Glaciated areas		5.7
114	6	Glaciated areas		5.7
115	6	Glaciated areas		5.7
116	6	Glaciated areas		5.7
117	6	Glaciated areas		5.7
118	6	Glaciated areas		5.7
119	6	Glaciated areas		5.7
120	6	Glaciated areas		5.7
121	6	Glaciated areas		5.7
122	6	Glaciated areas		5.7
123	6	Glaciated areas		5.7
124	6	Glaciated areas		5.7
125	6	Glaciated areas		5.7
126	6	Glaciated areas		5.7
127	5	Glaciated areas		5.0
128	6	Glaciated areas		5.7
129	6	Glaciated areas		5.7
130	6	Glaciated areas		5.7
131	5	Glaciated areas		5.0
132	6	Glaciated areas		5.7
133	6	Glaciated areas		5.7
134	6	Glaciated areas		5.7
135	6	Glaciated areas		5.7
136	5	Glaciated areas		5.0
137	5	Glaciated areas		5.0
138	5	Glaciated areas		5.0
139	5	Glaciated areas		5.0
140	6	Glaciated areas		5.7
141	5	Glaciated areas		5.0
142	5	Glaciated areas		5.0
143	3	Glaciated areas	Mount Brown Icefield	2.1
144	6	Glaciated areas		5.7
145	6	Glaciated areas		5.7
146	6	Glaciated areas		5.7
147	6	Glaciated areas		5.7
148	5	Glaciated areas	Braithwaite Icefield	5.0
149	6	Glaciated areas		5.7
150	6	Glaciated areas		5.7
151	6	Glaciated areas		5.7
152	3	Glaciated areas	Hooker Icefield	2.1
153	6	Glaciated areas		5.7
154	6	Glaciated areas		5.7
155	6	Glaciated areas		5.7
156	6	Glaciated areas		5.7
157	6	Glaciated areas		5.7
158	6	Glaciated areas		5.7
159	6	Glaciated areas		5.7
160	6	Glaciated areas		5.7
161	6	Glaciated areas		5.7
162	6	Glaciated areas		5.7
163	6	Glaciated areas		5.7
164	6	Glaciated areas		5.7
165	6	Glaciated areas		5.7
166	6	Glaciated areas		5.7
167	3	Glaciated areas		2.1
168	6	Glaciated areas		5.7
169	6	Glaciated areas		5.7
170	3	Glaciated areas		2.1
171	6	Glaciated areas		5.7
172	6	Glaciated areas		5.7
173	5	Glaciated areas		5.0
174	6	Glaciated areas		5.7
175	6	Glaciated areas		5.7
176	5	Glaciated areas		5.0
177	6	Glaciated areas		5.7
178	6	Glaciated areas		5.7
179	6	Glaciated areas		5.7
180	6	Glaciated areas		5.7
181	3	Glaciated areas		2.1
182	6	Glaciated areas		5.7
183	6	Glaciated areas		5.7
184	3	Glaciated areas		2.1
185	6	Glaciated areas		5.7
186	6	Glaciated areas		5.7
187	5	Glaciated areas		5.0
188	6	Glaciated areas		5.7
189	5	Glaciated areas		5.0
190	6	Glaciated areas		5.7
191	6	Glaciated areas		5.7
192	5	Glaciated areas		5.0
193	6	Glaciated areas		5.7
194	6	Glaciated areas		5.7
195	5	Glaciated areas		5.0
196	6	Glaciated areas		5.7
197	5	Glaciated areas		5.0
198	6	Glaciated areas		5.7
199	6	Glaciated areas		5.7
200	6	Glaciated areas		5.7
201	6	Glaciated areas		5.7
202	6	Glaciated areas		5.7
203	6	Glaciated areas		5.7
204	6	Glaciated areas		5.7
205	5	Glaciated areas		5.0
206	5	Glaciated areas	Homathko Icefield	5.0
207	6	Glaciated areas		5.7
208	6	Glaciated areas		5.7
209	3	Glaciated areas		2.1
210	6	Glaciated areas		5.7
211	6	Glaciated areas		5.7
212	6	Glaciated areas		5.7
213	3	Glaciated areas		2.1
214	6	Glaciated areas	Clachnacudainn Icefield	5.7
215	6	Glaciated areas	Albert Icefield	5.7
216	3	Glaciated areas		2.1
217	6	Glaciated areas		5.7
218	3	Glaciated areas		2.1
219	6	Glaciated areas		5.7
220	6	Glaciated areas		5.7
221	6	Glaciated areas		5.7
222	6	Glaciated areas		5.7
223	6	Glaciated areas		5.7
224	6	Glaciated areas		5.7
225	6	Glaciated areas		5.7
226	6	Glaciated areas		5.7
227	6	Glaciated areas		5.7
228	3	Glaciated areas	Plateau Icefield	2.1
229	6	Glaciated areas		5.7
230	5	Glaciated areas	Pemberton Icefield	5.0
231	6	Glaciated areas		5.7
232	3	Glaciated areas		2.1
233	6	Glaciated areas		5.7
234	6	Glaciated areas		5.7
235	6	Glaciated areas		5.7
236	6	Glaciated areas		5.7
237	6	Glaciated areas		5.7
238	6	Glaciated areas		5.7
239	6	Glaciated areas		5.7
240	6	Glaciated areas		5.7
241	6	Glaciated areas		5.7
242	6	Glaciated areas		5.7
243	6	Glaciated areas		5.7
244	6	Glaciated areas		5.7
245	6	Glaciated areas		5.7
246	6	Glaciated areas		5.7
247	6	Glaciated areas		5.7
248	6	Glaciated areas		5.7
249	6	Glaciated areas		5.7
250	6	Glaciated areas		5.7
251	6	Glaciated areas		5.7
252	6	Glaciated areas		5.7
253	6	Glaciated areas		5.7
254	6	Glaciated areas		5.7
255	3	Glaciated areas		2.1
256	3	Glaciated areas	Cambria Icefiled	2.1
257	6	Glaciated areas		5.7
258	5	Glaciated areas		5.0
259	5	Glaciated areas		5.0
260	6	Glaciated areas		5.7
261	6	Glaciated areas		5.7
262	3	Glaciated areas		2.1
263	3	Glaciated areas		2.1
264	6	Glaciated areas		5.7
265	3	Glaciated areas		2.1
266	6	Glaciated areas		5.7
267	3	Glaciated areas		2.1
268	5	Glaciated areas		5.0
269	6	Glaciated areas		5.7
270	3	Glaciated areas		2.1
271	6	Glaciated areas		5.7
272	5	Glaciated areas		5.0
0	3	Glaciated areas	Lyell Icefield	2.1
0	3	Glaciated areas	Monarch Icefield	2.1
0	3	Glaciated areas		2.1
275	5	Glaciated areas		5.0
276	3	Glaciated areas		2.1
277	3	Glaciated areas		2.1
278	3	Glaciated areas		2.1
279	3	Glaciated areas		2.1
280	6	Glaciated areas		5.7
281	6	Glaciated areas		5.7
282	3	Glaciated areas		2.1
283	5	Glaciated areas		5.0
284	5	Glaciated areas		5.0
285	6	Glaciated areas		5.7
286	6	Glaciated areas		5.7
287	6	Glaciated areas		5.7
288	6	Glaciated areas		5.7
289	6	Glaciated areas		5.7
290	6	Glaciated areas		5.7
291	6	Glaciated areas		5.7
292	6	Glaciated areas		5.7
293	6	Glaciated areas		5.7
294	6	Glaciated areas		5.7
295	3	Glaciated areas		2.1
296	6	Glaciated areas		5.7
297	3	Glaciated areas		2.1
298	6	Glaciated areas		5.7
299	3	Glaciated areas		2.1
300	3	Glaciated areas		2.1
301	6	Glaciated areas		5.7
302	3	Glaciated areas		2.1
303	6	Glaciated areas		5.7
304	3	Glaciated areas		2.1
305	6	Glaciated areas		5.7
306	6	Glaciated areas		5.7
307	6	Glaciated areas		5.7
308	6	Glaciated areas		5.7
309	3	Glaciated areas		2.1
310	6	Glaciated areas		5.7
311	6	Glaciated areas		5.7
312	6	Glaciated areas		5.7
313	6	Glaciated areas		5.7
314	3	Glaciated areas		2.1
315	6	Glaciated areas		5.7
316	6	Glaciated areas		5.7
317	6	Glaciated areas		5.7
318	6	Glaciated areas		5.7
319	3	Glaciated areas		2.1
320	6	Glaciated areas		5.7
321	3	Glaciated areas		2.1
322	3	Glaciated areas		2.1
323	6	Glaciated areas		5.7
324	3	Glaciated areas		2.1
325	3	Glaciated areas		2.1
326	6	Glaciated areas		5.7
327	6	Glaciated areas		5.7
328	6	Glaciated areas		5.7
329	6	Glaciated areas		5.7
330	3	Glaciated areas		2.1
331	6	Glaciated areas		5.7
332	6	Glaciated areas		5.7
333	5	Glaciated areas		5.0
334	6	Glaciated areas		5.7
335	5	Glaciated areas		5.0
336	3	Glaciated areas		2.1
337	5	Glaciated areas		5.0
338	6	Glaciated areas		5.7
339	6	Glaciated areas		5.7
340	6	Glaciated areas		5.7
341	5	Glaciated areas		5.0
342	6	Glaciated areas		5.7
343	6	Glaciated areas		5.7
344	6	Glaciated areas		5.7
345	3	Glaciated areas		2.1
346	3	Glaciated areas		2.1
347	3	Glaciated areas		2.1
348	3	Glaciated areas		2.1
349	3	Glaciated areas		2.1
350	3	Glaciated areas		2.1
351	5	Glaciated areas		5.0
352	6	Glaciated areas		5.7
353	3	Glaciated areas		2.1
354	3	Glaciated areas		2.1
355	3	Glaciated areas		2.1
356	3	Glaciated areas		2.1
357	5	Glaciated areas		5.0
358	5	Glaciated areas		5.0
359	6	Glaciated areas		5.7
360	3	Glaciated areas		2.1
361	3	Glaciated areas		2.1
362	5	Glaciated areas		5.0
363	3	Glaciated areas		2.1
364	5	Glaciated areas		5.0
365	3	Glaciated areas		2.1
366	6	Glaciated areas		5.7
367	3	Glaciated areas		2.1
368	3	Glaciated areas		2.1
369	5	Glaciated areas		5.0
370	6	Glaciated areas		5.7
371	6	Glaciated areas		5.7
372	6	Glaciated areas		5.7
373	6	Glaciated areas		5.7
374	6	Glaciated areas		5.7
375	6	Glaciated areas		5.7
376	6	Glaciated areas		5.7
377	6	Glaciated areas		5.7
378	6	Glaciated areas		5.7
379	6	Glaciated areas		5.7
380	6	Glaciated areas		5.7
381	6	Glaciated areas		5.7
382	6	Glaciated areas		5.7
383	6	Glaciated areas		5.7
384	6	Glaciated areas		5.7
385	6	Glaciated areas		5.7
386	6	Glaciated areas		5.7
387	6	Glaciated areas		5.7
388	6	Glaciated areas		5.7
389	6	Glaciated areas		5.7
390	6	Glaciated areas		5.7
391	6	Glaciated areas		5.7
