scalerank	featurecla	name	name_abb	name_alt	note	min_zoom	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id	name_fa	name_he	name_uk	name_ur	name_zht
1	Playa	Great Salt Lake Desert				5.6	Q1548386	صحراء سولت لايك	গ্রেট সল্ট লেক ডেজার্ট	Große Salzwüste	Great Salt Lake Desert	Gran desierto del Lago Salado	Great Salt Lake Desert	Έρημος Γκρέιτ Σολτ Λέικ	ग्रेट साल्ट लेक डेजर्ट	Nagy-sóstó-sivatag	Great Salt Lake Desert	deserto del Gran Lago Salato	グレートソルトレイク砂漠	그레이트 솔트 레이크 데저트	Great Salt Lake Desert	Wielka Pustynia Słona	Deserto do Grande Lago Salgado	Пустыня Большого Солёного Озера	Stora Saltsjööknen	Büyük Tuz Gölü Çölü	Sa mạc Great Salt Lake	大盐湖沙漠	5	1159110793	بیابان گریت سالت لیک	מדבר ימת המלח הגדולה	Пустеля Великого Солоного озера	گریٹ سالٹ لیک صحرا	大鹽湖沙漠
1	Playa	Rann of Kutch			It is divided into two main parts; Great Rann of Kutch and Little Rann of Kutch.	5.6	Q4026866	ران كوتشي	কচ্ছের রণ	Rann von Kachchh	Rann of Kutch	Rann de Kutch	Rann de Kutch	Ραν οβ Κατς	कच्छ का रण	Rann of Kutch	Rann of Kutch	Rann di Kutch	カッチ湿地	란 오브 쿠치	Rann van Kutch	Rann of Kutch	Rann of Kutch	Качский Ранн	Rann of Kutch	Rann of Kutch	Đầm lầy muối Rann of Kutch	喀奇兰恩	5	1159110797	ران کوچ	ראן אוף קוטץ'	Качський Ранн	رن آف کچھ	喀奇蘭恩
1	Playa	Salar de Uyuni		Salar de Tunupa	World's largest salt flat	5.6	Q76122	سالار دو أويوني	সালার দে ইউনি	Salar de Uyuni	Salar de Uyuni	Salar de Uyuni	Salar d'Uyuni	Σαλάρ ντε Ουγιούνι	सालार दे उयुनी	Salar de Uyuni	Salar de Uyuni	Salar de Uyuni	ウユニ	살라르 데 우유니	Salar de Uyuni	Salar de Uyuni	Salar de Uyuni	Солончак Уюни	Salar de Uyuni	Salar de Uyuni Gölü	Salar de Uyuni	烏尤尼鹽沼	4	1159110811	سالاردو ییونی	סאלאר דה אויוני	Салар-де-Уюні	سالاردو ییونی	烏尤尼鹽沼
1	Playa	Dasht-e Kavir		Kavir-e Namak, Great Salt Desert		5.6	Q272514	صحراء كوير	দাশ্তে কাভির	Kawir	Dasht-e Kavir	Desierto de Kavir	Dacht-e Kavir	Νταστ-ε Καβίρ	दास्त-ए कावीर	Dast-e Kavír	Dasht-e Kavir	Dasht-e Kavir	カヴィール砂漠	카비르 사막	Grote Zoutwoestijn	Wielka Pustynia Słona	Dasht-e Kavir	Деште-Кевир	Dasht-e Kavir	Kebir Çölü	Sa mạc muối Dasht-e Kavir	卡维尔盐漠	5	1159110827	دشت کویر	דשת-י כוויר	Деште-Кевір	دشت کنویر	卡維爾鹽漠
3	Playa	Sevier Lake				5.7	Q81246	بحيرة سيفير	সেভিয়ার লেক	Sevier Lake	Sevier Lake	Lago Sevier	lac Sevier	Λίμνη Σεβιέ	सेवियर झील	Sevier-tó	Danau Sevier	lago Sevier	セヴィア湖	세비에 레이크	Sevier Lake	Sevier Lake	Lago Sevier	Севир	Sevier Lake	Sevier Gölü	Hồ Sevier	塞维尔湖	4	1159110841	دریاچه سویر	אגם סווייר	озеро Севієр	سیویئر جھیل	塞维尔湖
3	Playa	Carson Sink				5.7	Q5046961	كارسون سينك	কার্সন সিঙ্ক	Carson Sink	Carson Sink	Carson Sink	Carson Sink	Κάρσον Σινκ	कार्सन सिंक	Carson Sink	Carson Sink	Carson Sink	カーソンシンク	카슨 싱크	Carson Sink	Carson Sink	Carson Sink	солончак Карсон-Синк	Carson Sink	Carson Sink	Vùng trũng Carson	卡森洼地	4	1159110845	حفره کارسون	קרסון סינק	Карсон-Сінк	کیرسن سنک	喀孫滲穴湖
3	Playa	Railroad Valley				5.7		وادي السكك الحديدية	রেলরোড ভ্যালি	Railroad Valley	Railroad Valley	Railroad Valley	Railroad Valley	Κοιλάδα Ρέιλγουεϊ	रेलमार्ग घाटी	Railroad Valley	Railroad Valley	Railroad Valley	レイルロード・バレー	레일로드 밸리	Railroad Valley	Railroad Valley	Railroad Valley	пустыня Рейлроуд-Вэлли	Railroad Valley	Railroad Valley	Thung lũng Railroad	瑞欧若德山谷	0	1159110859	دره ریلرود	עמק הרכבת	низина Рейлроуд	ریل روڈ وادی	鐵路谷沙漠盆地
3	Playa	Salar de Arizaro				5.7	Q3469637	سالار دي أريزارو	সালার ডি আরিজারো	Salar de Arizaro	Salar de Arizaro	Salar de Arizaro	Salar d'Arizaro	Σαλάρ ντε Αριζάρο	सालार डे अरिज़ारो	Salar de Arizaro	Salar de Arizaro	Salar de Arizaro	アリサロ塩原	살라르 데 아리자로	Salar de Arizaro	Salar de Arizaro	Salar de Arizaro	озеро Салар-де-Арисаро	Salar de Arizaro	Salar de Arizaro	Đồng muối Salar de Arizaro	阿里萨罗盐沼	4	1159110877	سالار د آریزارو	סאלאר דה אריזארו	Салар-де-Арізаро	سالار ڈی آریزارو	阿里扎羅鹽沼
3	Playa	Salar de Atacama				5.7	Q1142015	سالار دي أتاكاما	সালার ডি আতাকামা	Salar de Atacama	Salar de Atacama	Salar de Atacama	Salar d'Atacama	Σαλάρ ντε Ατακάμα	सालार दे अटाकामा	Salar de Atacama	Salar de Atacama	Salar de Atacama	アタカマ塩原	살라르 데 아타카마	Salar de Atacama	Salar de Atacama	Salar de Atacama	Салар-де-Атакама	Salar de Atacama	Salar de Atacama	Đồng muối Salar de Atacama	阿塔卡马盐沼	4	1159110893	سالار د آتاکاما	סאלאר דה אטקמה	Салар-де-Атакама	سالار ڈی ایٹاکیما	阿塔卡馬鹽沼
3	Playa	Salar de Coipasa		Coipasa Lake, Lago Coipasa		5.7	Q1860815	سالار دي كويباسا	সালার ডি কইপাসা	Salar de Coipasa	Salar de Coipasa	Salar de Coipasa	Salar de Coipasa	Σαλάρ ντε Κοϊπάσα	सालार दे कोइपासा	Salar de Coipasa	Salar de Coipasa	Salar de Coipasa	コイパサ塩湖	살라르 데 코이파사	Salar de Coipasa	Solnisko Coipasa	Salar de Coipasa	Солончак Койпаса	Coipasa	Salar de Coipasa	Hồ muối Salar de Coipasa	科伊帕萨盐沼	4	1159110897	سالار دو کویپاسا	סאלאר דה קויפאסה	Салар-де-Койпаса	سالار ڈی کوئیپاسا	科伊帕沙鹽沼
