SCALERANK	FEATURECLA	NAME	NAME_ALT	MIN_ZOOM	FCLASS_ISO	FCLASS_US	FCLASS_FR	FCLASS_RU	FCLASS_ES	FCLASS_CN	FCLASS_TW	FCLASS_IN	FCLASS_NP	FCLASS_PK	FCLASS_DE	FCLASS_GB	FCLASS_BR	FCLASS_IL	FCLASS_PS	FCLASS_SA	FCLASS_EG	FCLASS_MA	FCLASS_PT	FCLASS_AR	FCLASS_JP	FCLASS_KO	FCLASS_VN	FCLASS_TR	FCLASS_ID	FCLASS_PL	FCLASS_GR	FCLASS_IT	FCLASS_NL	FCLASS_SE	FCLASS_BD	FCLASS_UA	NE_ID	BRK_A3
1	International boundary (verify)			0.0																																	1746708375	
1	International boundary (verify)			0.0																																	1746707693	
1	International boundary (verify)			0.0																																	1746706445	
1	International boundary (verify)			0.0																																	1746707717	
1	International boundary (verify)			0.0																																	1746707701	
1	International boundary (verify)			0.0																																	1746706785	
1	International boundary (verify)			0.0																																	1746706791	
1	International boundary (verify)			0.0																																	1746707735	
1	International boundary (verify)			0.0																																	1746707723	
1	International boundary (verify)			0.0																																	1746707739	
1	International boundary (verify)			0.0																																	1746707831	
1	International boundary (verify)			0.0																																	1746707773	
1	International boundary (verify)			0.0																																	1746707793	
1	International boundary (verify)			0.0																																	1746707825	
1	International boundary (verify)			0.0																																	1746707817	
1	International boundary (verify)			0.0																																	1746708915	
1	International boundary (verify)			0.0																																	1746707799	
1	International boundary (verify)			0.0																																	1746706861	
1	Disputed (please verify)			0.0						International boundary (verify)																											1746707747	B56
1	International boundary (verify)			0.0																																	1746705653	
1	International boundary (verify)			0.0																																	1746706135	
1	International boundary (verify)			0.0																																	1746706209	
1	International boundary (verify)			0.0																																	1746706467	
1	International boundary (verify)			0.0																																	1746705739	
1	International boundary (verify)			0.0																																	1746708211	
1	International boundary (verify)			0.0																																	1746707345	
1	International boundary (verify)			0.0																																	1746707425	
1	International boundary (verify)			0.0																																	1746708049	
1	International boundary (verify)			0.0																																	1746708011	
1	International boundary (verify)			0.0																																	1746706189	
1	International boundary (verify)			0.0																																	1746707631	
1	International boundary (verify)			0.0																																	1746707637	
1	International boundary (verify)			0.0																																	1746705855	
1	International boundary (verify)			0.0																																	1746707609	
1	International boundary (verify)			0.0																																	1746708059	
1	International boundary (verify)			0.0																																	1746705679	
1	International boundary (verify)			0.0																																	1746707991	
1	International boundary (verify)			0.0																																	1746708133	
1	International boundary (verify)			0.0																																	1746708229	
1	International boundary (verify)			0.0																																	1746707591	
1	International boundary (verify)			0.0																																	1746707581	
1	International boundary (verify)			0.0																																	1746708311	
1	International boundary (verify)			0.0																																	1746706231	
1	International boundary (verify)			0.0																																	1746707565	
1	International boundary (verify)			0.0																																	1746709045	
1	International boundary (verify)			0.0																																	1746708017	
1	International boundary (verify)			0.0																																	1746708073	
1	International boundary (verify)			0.0																																	1746708253	
1	International boundary (verify)			0.0																																	1746708121	
1	International boundary (verify)			0.0																																	1746707543	
1	International boundary (verify)			0.0																																	1746708235	
1	International boundary (verify)			0.0																																	1746705877	
1	International boundary (verify)			0.0																																	1746708355	
1	International boundary (verify)			0.0																																	1746705895	
1	International boundary (verify)			0.0																																	1746706727	
1	International boundary (verify)			0.0																																	1746707469	
1	International boundary (verify)			0.0																																	1746708163	
1	International boundary (verify)			0.0																																	1746708177	
1	International boundary (verify)			0.0																																	1746708281	
1	International boundary (verify)			0.0																																	1746706295	
1	International boundary (verify)			0.0																																	1746708185	
1	International boundary (verify)			0.0																																	1746708157	
1	International boundary (verify)			0.0																																	1746706973	
1	International boundary (verify)			0.0																																	1746706553	
1	International boundary (verify)			0.0																																	1746705661	
1	International boundary (verify)			0.0																																	1746706937	
1	International boundary (verify)			0.0																																	1746707065	
1	International boundary (verify)			0.0																																	1746705995	
1	International boundary (verify)			0.0																																	1746706487	
1	International boundary (verify)			0.0																																	1746705729	
1	International boundary (verify)			0.0																																	1746705455	
1	International boundary (verify)			0.0																																	1746708361	
1	International boundary (verify)			0.0																																	1746707187	
1	International boundary (verify)			0.0																																	1746706039	
1	International boundary (verify)			0.0																																	1746705515	
1	International boundary (verify)			0.0																																	1746705515	
1	International boundary (verify)			0.0																																	1746707179	
1	International boundary (verify)			0.0																																	1746705467	
