scalerank	featurecla	adm1_code
2	Admin-1 scale rank	USA-3514
2	Admin-1 scale rank	USA-3515
2	Admin-1 scale rank	USA-3516
2	Admin-1 scale rank	USA-3517
2	Admin-1 scale rank	USA-3518
2	Admin-1 scale rank	USA-3519
2	Admin-1 scale rank	USA-3520
2	Admin-1 scale rank	USA-3521
2	Admin-1 scale rank	USA-3522
2	Admin-1 scale rank	USA-3523
2	Admin-1 scale rank	USA-3524
2	Admin-1 scale rank	USA-3525
2	Admin-1 scale rank	USA-3526
2	Admin-1 scale rank	USA-3527
2	Admin-1 scale rank	USA-3528
2	Admin-1 scale rank	USA-3529
2	Admin-1 scale rank	USA-3530
2	Admin-1 scale rank	USA-3531
2	Admin-1 scale rank	USA-3532
2	Admin-1 scale rank	USA-3533
2	Admin-1 scale rank	USA-3534
2	Admin-1 scale rank	USA-3535
2	Admin-1 scale rank	USA-3536
2	Admin-1 scale rank	USA-3537
2	Admin-1 scale rank	USA-3513
2	Admin-1 scale rank	USA-3538
2	Admin-1 scale rank	USA-3539
2	Admin-1 scale rank	USA-3540
2	Admin-1 scale rank	USA-3541
2	Admin-1 scale rank	USA-3542
2	Admin-1 scale rank	USA-3543
2	Admin-1 scale rank	USA-3544
2	Admin-1 scale rank	USA-3545
2	Admin-1 scale rank	USA-3546
2	Admin-1 scale rank	USA-3547
2	Admin-1 scale rank	USA-3548
2	Admin-1 scale rank	USA-3549
2	Admin-1 scale rank	USA-3550
2	Admin-1 scale rank	USA-3551
2	Admin-1 scale rank	USA-3552
2	Admin-1 scale rank	USA-3553
2	Admin-1 scale rank	USA-3554
2	Admin-1 scale rank	USA-3555
2	Admin-1 scale rank	USA-3556
2	Admin-1 scale rank	USA-3557
2	Admin-1 scale rank	USA-3558
2	Admin-1 scale rank	USA-3559
2	Admin-1 scale rank	USA-3560
2	Admin-1 scale rank	USA-3561
2	Admin-1 scale rank	USA-3562
2	Admin-1 scale rank	USA-3563
