scalerank	featurecla	min_zoom
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.5
1	Coastline	1.5
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	0.5
0	Coastline	0.0
0	Coastline	0.5
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	0.5
0	Coastline	0.0
0	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	0.5
1	Coastline	1.0
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	0.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.5
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.5
1	Coastline	1.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.5
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
1	Coastline	1.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.0
0	Coastline	0.0
1	Coastline	1.5
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Coastline	1.5
1	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	1.0
0	Coastline	1.5
0	Coastline	0.5
0	Coastline	0.5
0	Coastline	0.5
0	Coastline	1.0
0	Coastline	0.5
0	Coastline	1.5
0	Coastline	1.5
0	Coastline	1.0
0	Coastline	1.5
0	Coastline	1.0
0	Coastline	1.5
0	Coastline	1.5
0	Coastline	1.0
0	Coastline	0.0
0	Coastline	1.0
0	Coastline	1.5
0	Coastline	1.5
0	Coastline	1.0
1	Coastline	1.5
0	Coastline	0.0
0	Coastline	1.0
0	Coastline	1.0
0	Coastline	1.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.5
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
0	Coastline	0.0
1	Country	1.5
