scalerank	natscale	labelrank	featurecla	name	namepar	namealt	diffascii	nameascii	adm0cap	capalt	capin	worldcity	megacity	sov0name	sov_a3	adm0name	adm0_a3	adm1name	iso_a2	note	latitude	longitude	changed	namediff	diffnote	pop_max	pop_min	pop_other	rank_max	rank_min	geonameid	meganame	ls_name	ls_match	checkme	min_zoom	ne_id
10	1	5	Admin-1 region capital	Bombo			0	Bombo	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Bamunanika	UG		0.58329910562	32.53329952490	4.00000000000	1	Added missing admin-1 capital. Changed feature to Admin-0 region capital.	75000	21000	0	8	7	0.00000000000			0	0	7.0	1159113923
10	1	5	Admin-1 region capital	Fort Portal			0	Fort Portal	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Kabarole	UG		0.67100412113	30.27500161600	4.00000000000	1	Added missing admin-1 capital. Changed feature to Admin-0 region capital. Population from GeoNames.	42670	42670	0	7	7	233476.00000000000			0	0	7.0	1159113959
10	1	3	Admin-1 region capital	Potenza			0	Potenza	0.00000000000	0		0.00000000000	0	Italy	ITA	Italy	ITA	Basilicata	IT		40.64200213010	15.79899649560	4.00000000000	1	Added missing admin-1 capital. Population from GeoNames.	69060	69060	0	8	8	3170027.00000000000			0	0	7.0	1159117259
10	1	3	Admin-1 region capital	Campobasso			0	Campobasso	0.00000000000	0		0.00000000000	0	Italy	ITA	Italy	ITA	Molise	IT		41.56299911860	14.65599655890	4.00000000000	1	Added missing admin-1 capital. Population from GeoNames.	50762	50762	0	8	8	3180991.00000000000			0	0	7.0	1159117283
10	1	3	Admin-1 region capital	Aosta			0	Aosta	0.00000000000	0		0.00000000000	0	Italy	ITA	Italy	ITA	Valle d'Aosta	IT		45.73700106710	7.31500259571	4.00000000000	1	Added missing admin-1 capital. Population from GeoNames. Changed feature class.	34062	34062	0	7	7	3182997.00000000000			0	0	7.0	1159117361
10	1	8	Admin-0 region capital	Mariehamn			0	Mariehamn	0.00000000000	0		0.00000000000	0	Finland	ALD	Aland	ALD	Finström	AX		60.09699618490	19.94900447190	4.00000000000	1	Added missing admin-1 capital. Changed feature to Admin-0 region capital. Population from GeoNames.	10682	10682	0	6	6	3041732.00000000000			0	0	7.0	1159119239
10	1	0	Admin-0 region capital	Ramallah			0	Ramallah	0.00000000000	0		0.00000000000	0	Israel	IS1	Palestine	PSX		PS		31.90294475140	35.20620937820	4.00000000000	0	Added place. Population from GeoNames.	24599	24599	0	7	7	282239.00000000000			0	0	9.0	1159121947
8	10	3	Admin-0 capital	Vatican City			0	Vatican City	1.00000000000	0		1.00000000000	0	Vatican (Holy Sea)	VAT	Vatican (Holy See)	VAT	Lazio	VA		41.90001222640	12.44780838890	4.00000000000	0	Changed scale rank.	832	832	562430	2	2	6691831.00000000000		Vatican City	1	0	7.0	1159127243
8	10	3	Admin-1 region capital	Poitier		Poitiers	0	Poitier	0.00000000000	0		0.00000000000	0	French Republic	FRA	France	FRA	Poitou-Charentes	FR		46.58329225570	0.33327652854	4.00000000000	0	Changed feature class.	85960	84807	80866	8	8	2986495.00000000000		Poitier	1	0	6.7	1159130485
8	10	3	Admin-1 region capital	Clermont-Ferrand			0	Clermont-Ferrand	0.00000000000	0		0.00000000000	0	French Republic	FRA	France	FRA	Auvergne	FR		45.77998211580	3.08000809593	4.00000000000	0	Changed feature class.	233050	138681	223592	10	9	3024635.00000000000		Clermont-Ferrand	1	0	6.0	1159130517
8	10	3	Admin-1 region capital	Besançon			0	Besancon	0.00000000000	0		0.00000000000	0	French Republic	FRA	France	FRA	Franche-Comté	FR		47.22999696770	6.03000890974	4.00000000000	0	Changed feature class.	128426	119960	117010	9	9	3033123.00000000000		Besancon	1	0	7.0	1159130531
8	10	0	Scientific station	Artigas Base	Uruguay		0	Artigas Base	0.00000000000	0		0.00000000000	0	Indeterminate	ATA	Antarctica	ATA		AQ		-62.17388669198	-58.86386407234	0.00000000000	0	New in 2.0	60	9	0	1	1	6620738.00000000000			0	0	7.0	1159132379
7	20	6	Admin-1 region capital	Chipata			0	Chipata	0.00000000000	0		0.00000000000	0	Zambia	ZMB	Zambia	ZMB	Eastern	ZM		-13.62956988640	32.64001257200	4.00000000000	0	Changed feature to Admin-0 region capital.	85963	78947	78947	8	8	918702.00000000000		Chipata	1	0	6.7	1159134745
7	20	5	Admin-1 region capital	Jinja			0	Jinja	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Jinja	UG		0.44042401011	33.19992671580	4.00000000000	0	Changed feature to Admin-0 region capital. Changed scale rank.	301619	89700	301954	10	8	233114.00000000000		Jinja	1	5	6.7	1159135379
7	20	5	Admin-1 region capital	Arua			0	Arua	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Arua Municipality	UG		3.02036989228	30.90001542030	4.00000000000	0	Changed feature to Admin-0 region capital.	250000	59400	448106	10	8	235039.00000000000		Arua	1	5	6.7	1159135385
7	20	5	Admin-1 region capital	Mbale			0	Mbale	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Bungokho	UG		1.09041017548	34.16999670280	4.00000000000	0	Changed feature to Admin-0 region capital.	402368	91800	412742	10	8	229278.00000000000		Mbale	1	5	6.7	1159135427
7	20	5	Admin-1 region capital	Moroto			0	Moroto	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Moroto	UG		2.54034751272	34.63999385450	4.00000000000	0	Changed feature to Admin-0 region capital.	371	371	0	2	2	229112.00000000000		Moroto	1	5	6.7	1159135439
7	20	5	Admin-1 region capital	Masaka			0	Masaka	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Masaka	UG		-0.32960650747	31.72999059930	4.00000000000	0	Changed feature to Admin-0 region capital.	65373	65373	332942	8	8	229380.00000000000		Masaka	1	5	6.7	1159135547
7	20	5	Admin-1 region capital	Mbarara			0	Mbarara	0.00000000000	0		0.00000000000	0	Uganda	UGA	Uganda	UGA	Kashari	UG		-0.59961586620	30.65000484080	4.00000000000	0	Changed feature to Admin-0 region capital.	83700	83700	281726	8	8	229268.00000000000		Mbarara	1	5	6.7	1159135579
7	20	6	Admin-1 region capital	Otjiwarongo			0	Otjiwarongo	0.00000000000	0		0.00000000000	0	Namibia	NAM	Namibia	NAM	Otjozondjupa	NA		-20.45954058960	16.64000728220	4.00000000000	0	Changed feature class.	24815	21224	24815	7	7	3353811.00000000000		Otjiwarongo	1	0	6.7	1159139257
7	20	3	Admin-1 region capital	Bologna			0	Bologna	0.00000000000	0		0.00000000000	0	Italy	ITA	Italy	ITA	Emilia-Romagna	IT		44.50042197580	11.34002070990	4.00000000000	0	Changed feature class.	488172	371217	467366	10	10	3181928.00000000000		Bologna	1	0	6.1	1159139461
7	20	3	Admin-1 region capital	Cagliari			0	Cagliari	0.00000000000	0		0.00000000000	0	Italy	ITA	Italy	ITA	Sardegna	IT		39.22239788720	9.10398148462	4.00000000000	0	Changed feature class.	291511	164249	282477	10	9	2525473.00000000000		Cagliari	1	0	6.1	1159139469
