scalerank	featurecla	name	note	min_zoom	name_alt	min_label	name_en	label	wikidataid	name_ar	name_bn	name_de	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id
6	Lake Centerline	Kama		5.0		6.0	Kama	Kama	Q79082	نهر كاما		Kama	Kama	Kama		कामा नदी	Káma	Sungai Kama	Kama	カマ川	카마 강	Kama	Kama	Rio Kama	Кама	Kama		Sông Kama	卡馬河	4	1159125905
6	River	Kama		5.0		6.0	Kama	Kama	Q79082	نهر كاما		Kama	Kama	Kama		कामा नदी	Káma	Sungai Kama	Kama	カマ川	카마 강	Kama	Kama	Rio Kama	Кама	Kama		Sông Kama	卡馬河	4	1159125917
3	Lake Centerline	Abay		3.0		4.0	Lesser Abay		Q3501984											小アバイ川				Rio Lesser Abay		Lesser Abay				2	1159125319
3	Lake Centerline	Al Furat		3.0		4.0	Euphrates	Al Furat	Q34589	الفرات	ফোরাত	Euphrat	Éufrates	Euphrate	Ευφράτης	फ़रात नदी	Eufrátesz	Sungai Efrat	Eufrate	ユーフラテス川	유프라테스 강	Eufraat	Eufrat	Rio Eufrates	Евфрат	Eufrat	Fırat	Euphrates	幼发拉底河	5	1159125935
6	Lake Centerline	Alabama		5.0		6.0	Alabama	Alabama	Q558643			Alabama	Alabama	Alabama	Αλαμπάμα		Alabama		Alabama	アラバマ川	앨라배마 강	Alabama	Alabama	Rio Alabama	Алабама			Sông Alabama	阿拉巴馬河	4	1159114961
6	Lake Centerline	Albany		5.0		6.0	Albany	Albany	Q1241991			Albany	Río Albany	rivière Albany					Albany	オールバニー川		Albany	Albany	Rio Albany	Олбани	Albany				4	1159114709
1	Lake Centerline	Albert Nile		2.0		3.0	White Nile	Albert Nile	Q4814791	النيل الأبيض		Weißer Nil	Nilo Blanco	Nil Blanc	Λευκός Νείλος	श्वेत नील	Fehér-Nílus	Nil Putih	Nilo Bianco	白ナイル川	백나일 강	Witte Nijl	Nil Biały	Nilo Branco	Белый Нил	Vita Nilen	Beyaz Nil	Sông Nin Trắng	白尼罗河	5	1159129205
3	Lake Centerline	Amur		3.0		4.0	Amur	Amur	Q6862	نهر آمور	আমুর নদী	Amur	Amur	Amour	Αμούρ ποταμός	अमूर नदी	Amur	Sungai Amur	Amur	アムール川	아무르 강	Amoer	Amur	Rio Amur	Амур	Amur	Amur Nehri	Amur	黑龙江	4	1159126525
2	Lake Centerline	Angara		2.1		3.1	Angara	Angara	Q162737	نهر أنغارا	আঙ্গারা নদী	Angara	Angará	Angara		अंगारा नदी	Angara		Angara	アンガラ川	안가라 강	Angara	Angara	Rio Angara	Ангара	Angara	Angara Nehri	Sông Angara	安加拉河	4	1159117253
6	Lake Centerline	Atbara		5.0		6.0	Atbarah	Atbara	Q753897	نهر عطبرة		Atbara	Río Atbara	Atbara			Atbara		Atbara	アトバラ川		Atbarah	Atbara	Rio Atbara	Атбара	Atbara			阿特巴拉河	5	1159115327
5	Lake Centerline	Athabasca		4.7		5.7	Athabasca	Athabasca	Q2216	نهر أتاباسكا		Athabasca	río Athabasca	rivière Athabasca					Athabasca	アサバスカ川		Athabasca	Athabaska	Rio Athabasca	Атабаска	Athabascafloden			阿萨巴斯卡河	4	1159113183
6	Lake Centerline	Back		5.0		6.0	Back	Back	Q798339			Back	Río Back	rivière Back					Back	バック川		Back	Back		Бак	Back				4	1159115519
6	Lake Centerline	Biya		5.0		6.0	Biya	Biya	Q859934			Bija	Río Biya	Biia		बिया नदी	Bija		Bija	ビヤ川	비야 강	Bieja	Bija		Бия		Biy		比亞河	4	1159115367
6	Lake Centerline	Chattahoochee		5.0		6.0	Chattahoochee	Chattahoochee	Q1068297			Chattahoochee	Río Chattahoochee	Chattahoochee					Chattahoochee	チャタフーチー川		Chattahoochee	Chattahoochee	Rio Chattahoochee	Чаттахучи	Chattahoocheefloden			查特胡奇河	4	1159114925
6	Lake Centerline	Churchill		5.0		6.0	Churchill	Churchill	Q291233			Churchill	Río Churchill	fleuve Churchill					Fiume Churchill	チャーチル川		Churchill	Churchill		Черчилл	Churchillfloden				4	1159114731
5	Lake Centerline	Colorado		4.7		5.7	Colorado	Colorado	Q1265	نهر كولورادو		Colorado	Colorado	Colorado	Κολοράντο	कोलोरेडो नदी	Colorado	Sungai Colorado	Colorado	コロラド川	콜로라도 강	Colorado	Kolorado	Colorado	Колорадо	Coloradofloden	Kolorado Nehri	Sông Colorado	科羅拉多河	4	1159112837
3	Lake Centerline	Columbia		3.0		4.0	Columbia	Columbia	Q2251	نهر كولومبيا	কলম্বিয়া নদী	Columbia	Río Columbia	Columbia			Columbia	Sungai Columbia	Columbia	コロンビア川	컬럼비아 강	Columbia	Kolumbia	Rio Columbia	Колумбия	Columbiafloden	Kolumbiya Nehri	Sông Columbia	哥倫比亞河	4	1159124363
6	Lake Centerline	Coppermine		5.0		6.0	Coppermine	Coppermine	Q1131514			Coppermine	Río Coppermine	rivière Coppermine		कापरमाइन नदी				コッパーマイン川		Coppermine		Rio Coppermine	Коппермайн	Copperminefloden				4	1159115263
6	Lake Centerline	Dalälven		5.0		6.0	Dalälven	Dalälven	Q216627			Dalälven	Río Dal	Dalälven					Dalälven		달라벤 강	Dalälven	Dalälven	Dalälven	Далэльвен	Dalälven	Dalälven		達爾河	4	1159114315
