type	scalerank	featurecla
C	N	C
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Unofficial	8	Antarctic claim limit line unofficial
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Historic	8	Antarctic claim limit line historic
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
Official	8	Antarctic claim limit line
