SCALERANK	FEATURECLA	PACGROUP	NOTE	COMMENT	MIN_ZOOM	FCLASS_ISO	FCLASS_US	FCLASS_FR	FCLASS_RU	FCLASS_ES	FCLASS_CN	FCLASS_TW	FCLASS_IN	FCLASS_NP	FCLASS_PK	FCLASS_DE	FCLASS_GB	FCLASS_BR	FCLASS_IL	FCLASS_PS	FCLASS_SA	FCLASS_EG	FCLASS_MA	FCLASS_PT	FCLASS_AR	FCLASS_JP	FCLASS_KO	FCLASS_VN	FCLASS_TR	FCLASS_ID	FCLASS_PL	FCLASS_GR	FCLASS_IT	FCLASS_NL	FCLASS_SE	FCLASS_BD	FCLASS_UA	ne_id	BRK_A3	FCLASS_OSM
N	C	N	C	C	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	C	C
8	Marine Indicator Median	1	medianLine_75		5.8																																	1746705473		
8	Marine Indicator Median	1	medianLine_76		5.8																																	1746705481		
8	Marine Indicator Median	1	medianLine_77		5.8																																	1746705491		
8	Marine Indicator Median	1	medianLine_78		5.8																																	1746705497		
8	Marine Indicator Median	1	medianLine_79		5.8																																	1746705503		
8	Marine Indicator Median	1	medianLine_80		5.8																																	1746705511		
8	Marine Indicator Median	1	medianLine_81		5.8																																	1746705523		
8	Marine Indicator Median	0	medianLine_82		5.8																																	1746705531		
8	Marine Indicator Median	1	medianLine_83		5.8																																	1746705541		
8	Marine Indicator Median	1	medianLine_84		5.8																																	1746705545		
8	Marine Indicator Median	1	medianLine_85		5.8																																	1746705549		
8	Marine Indicator Median	1	medianLine_86		5.8																																	1746705553		
8	Marine Indicator Median	1	medianLine_87		5.8																																	1746705563		
8	Marine Indicator Median	1	medianLine_88		5.8																																	1746705571		
8	Marine Indicator Median	1	medianLine_89		5.8																																	1746705581		
8	Marine Indicator Median	1	medianLine_90		5.8																																	1746705587		
8	Marine Indicator Median	1	medianLine_91		5.8																																	1746705597		
8	Marine Indicator Median	1	medianLine_92		5.8																																	1746705605		
8	Marine Indicator Median	1	medianLine_93		5.8																																	1746705615		
8	Marine Indicator Median	1	medianLine_94		5.8																																	1746705623		
8	Marine Indicator Median	1	medianLine_95		5.8																																	1746705633		
