FEATURECLA	SCALERANK	ADM2_CODE	ISO_A2	ADM0_SR	NAME	SR_SOV_A3	SR_ADM0_A3	ADMIN	SR_GU_A3
C	N	C	C	N	C	C	C	C	C
Admin-2 scale rank	0	USA-01001	US	1	Autauga	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01005	US	1	Barbour	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01007	US	1	Bibb	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01009	US	1	Blount	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01011	US	1	Bullock	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01013	US	1	Butler	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01017	US	1	Chambers	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01019	US	1	Cherokee	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01021	US	1	Chilton	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01023	US	1	Choctaw	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01025	US	1	Clarke	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01027	US	1	Clay	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01029	US	1	Cleburne	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01031	US	1	Coffee	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01033	US	1	Colbert	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01035	US	1	Conecuh	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01037	US	1	Coosa	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01039	US	1	Covington	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01041	US	1	Crenshaw	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01043	US	1	Cullman	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01045	US	1	Dale	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01047	US	1	Dallas	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01049	US	1	DeKalb	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01051	US	1	Elmore	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01053	US	1	Escambia	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01055	US	1	Etowah	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01057	US	1	Fayette	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01059	US	1	Franklin	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01061	US	1	Geneva	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01063	US	1	Greene	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01065	US	1	Hale	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01067	US	1	Henry	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01069	US	1	Houston	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01071	US	1	Jackson	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01073	US	1	Jefferson	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01075	US	1	Lamar	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01077	US	1	Lauderdale	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01079	US	1	Lawrence	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01081	US	1	Lee	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01083	US	1	Limestone	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01085	US	1	Lowndes	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01087	US	1	Macon	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01089	US	1	Madison	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01091	US	1	Marengo	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01093	US	1	Marion	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01095	US	1	Marshall	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01099	US	1	Monroe	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01101	US	1	Montgomery	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01103	US	1	Morgan	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01105	US	1	Perry	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01107	US	1	Pickens	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01109	US	1	Pike	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01111	US	1	Randolph	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01113	US	1	Russell	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01115	US	1	Saint Clair	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01117	US	1	Shelby	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01119	US	1	Sumter	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01121	US	1	Talladega	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01123	US	1	Tallapoosa	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01125	US	1	Tuscaloosa	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01127	US	1	Walker	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01129	US	1	Washington	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01131	US	1	Wilcox	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-01133	US	1	Winston	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-02068	US	1	Denali	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-02090	US	1	Fairbanks North Star	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-02170	US	1	Matanuska-Susitna	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-02240	US	1	Southeast Fairbanks	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-02290	US	1	Yukon-Koyukuk	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04001	US	1	Apache	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04003	US	1	Cochise	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04005	US	1	Coconino	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04007	US	1	Gila	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04009	US	1	Graham	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04011	US	1	Greenlee	US1	USA	United States of America	USA
Admin-2 scale rank	0	USA-04012	US	1	La Paz	US1	USA	United States of America	USA
