scalerank	featurecla	sov_a3	uident	add	natrlscale	continent
N	C	C	N	N	N	C
8	Railroad	USA	1506	0	0	North America
9	Railroad	USA	1606	1	5	North America
8	Railroad	USA	1706	0	0	North America
8	Railroad	USA	1806	0	0	North America
8	Railroad	USA	1906	0	0	North America
8	Railroad	USA	2006	0	0	North America
8	Railroad	USA	2106	0	0	North America
9	Railroad	USA	2206	1	5	North America
8	Railroad	USA	2306	0	0	North America
8	Railroad	USA	2406	0	0	North America
8	Railroad	USA	2506	0	0	North America
8	Railroad	USA	2606	0	0	North America
8	Railroad	USA	2706	0	0	North America
8	Railroad	USA	2806	0	0	North America
9	Railroad	USA	2906	1	5	North America
9	Railroad	USA	3006	1	5	North America
8	Railroad	USA	3106	0	0	North America
8	Railroad	USA	3206	0	0	North America
8	Railroad	USA	3306	0	0	North America
8	Railroad	USA	3506	0	0	North America
8	Railroad	USA	3606	0	0	North America
8	Railroad	USA	3706	0	0	North America
8	Railroad	USA	3806	0	0	North America
9	Railroad	USA	3906	1	5	North America
8	Railroad	USA	4006	0	0	North America
8	Railroad	USA	4106	0	0	North America
9	Railroad	USA	4206	1	5	North America
9	Railroad	USA	4306	1	5	North America
8	Railroad	USA	4406	0	0	North America
8	Railroad	USA	4506	0	0	North America
9	Railroad	USA	4606	1	5	North America
8	Railroad	USA	4706	0	0	North America
9	Railroad	USA	4806	1	5	North America
9	Railroad	USA	4906	1	5	North America
9	Railroad	USA	5006	1	5	North America
9	Railroad	USA	5106	1	5	North America
9	Railroad	USA	5206	1	5	North America
9	Railroad	USA	5306	1	5	North America
9	Railroad	USA	5406	1	5	North America
9	Railroad	USA	5506	1	5	North America
9	Railroad	USA	5606	1	5	North America
9	Railroad	USA	5706	1	5	North America
9	Railroad	USA	5806	1	5	North America
8	Railroad	USA	5906	0	0	North America
9	Railroad	USA	6006	1	5	North America
9	Railroad	USA	6106	1	5	North America
8	Railroad	USA	6206	0	0	North America
8	Railroad	USA	6306	0	0	North America
8	Railroad	USA	6406	0	0	North America
8	Railroad	USA	6506	0	0	North America
8	Railroad	USA	6606	0	0	North America
9	Railroad	USA	6706	1	5	North America
9	Railroad	USA	6806	1	5	North America
9	Railroad	USA	6906	1	5	North America
8	Railroad	USA	7006	0	0	North America
9	Railroad	USA	7106	1	5	North America
8	Railroad	USA	7206	0	0	North America
9	Railroad	USA	7306	1	5	North America
9	Railroad	USA	7406	1	5	North America
8	Railroad	USA	7506	0	0	North America
8	Railroad	USA	7606	0	0	North America
9	Railroad	USA	7706	1	5	North America
8	Railroad	USA	7806	0	0	North America
8	Railroad	USA	7906	0	0	North America
8	Railroad	USA	8006	0	0	North America
8	Railroad	USA	8106	0	0	North America
8	Railroad	USA	8206	0	0	North America
8	Railroad	USA	8306	0	0	North America
9	Railroad	USA	8406	1	5	North America
8	Railroad	USA	8506	0	0	North America
8	Railroad	USA	8606	0	0	North America
8	Railroad	USA	8706	0	0	North America
9	Railroad	USA	8806	1	5	North America
8	Railroad	USA	8906	0	0	North America
8	Railroad	USA	9006	0	0	North America
8	Railroad	USA	9106	0	0	North America
8	Railroad	USA	9206	0	0	North America
9	Railroad	USA	9306	1	5	North America
8	Railroad	USA	9406	0	0	North America
8	Railroad	USA	9506	0	0	North America
8	Railroad	USA	9606	0	0	North America
9	Railroad	USA	9706	1	5	North America
8	Railroad	USA	9806	0	0	North America
8	Railroad	USA	9906	0	0	North America
8	Railroad	USA	10006	0	0	North America
8	Railroad	USA	10106	0	0	North America
9	Railroad	USA	10206	1	5	North America
8	Railroad	USA	10306	0	0	North America
8	Railroad	USA	10406	0	0	North America
8	Railroad	USA	10506	0	0	North America
9	Railroad	USA	10606	1	5	North America
8	Railroad	USA	10706	0	0	North America
8	Railroad	USA	10806	0	0	North America
8	Railroad	USA	10906	0	0	North America
9	Railroad	USA	11006	1	5	North America
8	Railroad	USA	11106	0	0	North America
8	Railroad	USA	11206	0	0	North America
8	Railroad	USA	11306	0	0	North America
8	Railroad	USA	11406	0	0	North America
9	Railroad	USA	11506	1	5	North America
