objectid	scalerank	featurecla	name	map_color6	map_color8	note	zone	utc_format	time_zone	iso_8601	places	dst_places	tz_name1st	tz_namesum
N	N	C	C	N	N	C	N	C	C	C	C	C	C	N
2	6	Timezone	-10	4	4		-10.00	UTC-10:00	UTC-10:00	2012-05-30T18:33:50-10:00	Arctic Ocean			0
2	6	Timezone	-10	4	4		-10.00	UTC-10:00	UTC-10:00	2012-05-30T18:33:50-10:00	United States (Aleutian Islands)	United States (Aleutian Islands)		0
1	6	Timezone	-11	5	3		-11.00	UTC-11:00	UTC-11:00	2012-05-30T17:33:50-11:00	Arctic Ocean			0
1	6	Timezone	-11	5	3		-11.00	UTC-11:00	UTC-11:00	2012-05-30T17:33:50-11:00	American Samoa, Niue			0
1	6	Timezone	-11	5	3		-11.00	UTC-11:00	UTC-11:00	2012-05-30T17:33:50-11:00	American Samoa, Niue		Pacific/Midway	1
1	6	Timezone	-11	5	3		-11.00	UTC-11:00	UTC-11:00	2012-05-30T17:33:50-11:00	American Samoa, Niue		Pacific/Pago_Pago	2
2	6	Timezone	-10	4	4		-10.00	UTC-10:00	UTC-10:00	2012-05-30T18:33:50-10:00	United States (Hawaii)	Most of French Polynesia, United States (Aleutian Islands)	Pacific/Honolulu	6
0	6	Timezone	-12	1	8		-12.00	UTC-12:00	UTC-12:00	2012-05-30T16:33:50-12:00	Southern Ocean			0
0	6	Timezone	-12	1	8		-12.00	UTC-12:00	UTC-12:00	2012-05-30T16:33:50-12:00	Siberia			0
7	6	Timezone	-7	1	1		-7.00	UTC-07:00	UTC-07:00	2012-05-30T21:33:50-07:00	Canada (northeastern British Columbia), Mexico (Sonora), United States (Arizona)	Canada (Alberta), Mexico (Chihuahua), United States (Colorado)	America/Denver	14
3	6	Timezone	-9.5	6	6		-9.50	UTC-09:30	UTC-09:30	2012-05-30T19:03:50-09:30	Marquesas Islands		Pacific/Marquesas	1
8	6	Timezone	-6	6	2		-6.00	UTC-06:00	UTC-06:00	2012-05-30T22:33:50-06:00	Canada (almost all of Saskatchewan), Costa Rica, El Salvador, Ecuador (Galapagos Islands), Guatemala, Honduras, Mexico (most), Nicaragua,	Canada (Manitoba), United States (Illinois, most of Texas)	America/Chicago	25
9	6	Timezone	-5	5	3		-5.00	UTC-05:00	UTC-05:00	2012-05-30T23:33:50-05:00	Colombia, Cuba, Ecuador (continental), Jamaica, Panama, Peru	Canada (most of Ontario, most of Quebec), Haiti, United States (most of Florida, Georgia, Massachusetts, most of Michigan, New York, North Carolina, Ohio, Washington D.C.)	America/New_York	26
11	6	Timezone	-3.5	6	5		-3.50	UTC-03:30	UTC-03:30	2012-05-31T01:03:50-03:30	Canada (island of Newfoundland and southern Labrador)	Canada (island of Newfoundland and southern Labrador)	America/St_Johns	2
10	6	Timezone	-4	4	4		-4.00	UTC-04:00	UTC-04:00	2012-05-31T00:33:50-04:00	Arctic Ocean			0
14	6	Timezone	-1	1	8		-1.00	UTC-01:00	UTC-01:00	2012-05-31T03:33:50-01:00	Greenland (south eastern part)		America/Scoresbysund	1
10	6	Timezone	-4	4	4		-4.00	UTC-04:00	UTC-04:00	2012-05-31T00:33:50-04:00	Bolivia, Brazil (Amazonas), Chile (continental), Dominican Republic, Canada (Nova Scotia), Puerto Rico, Trinidad and Tobago	Falkland Islands	America/La_Paz	39
13	6	Timezone	-2	2	7		-2.00	UTC-02:00	UTC-02:00	2012-05-31T02:33:50-02:00	Arctic Ocean			0
13	6	Timezone	-2	2	7		-2.00	UTC-02:00	UTC-02:00	2012-05-31T02:33:50-02:00	Brazil (Fernando de Noronha), South Georgia and the South Sandwich Islands		Atlantic/South_Georgia	3
14	6	Timezone	-1	1	8		-1.00	UTC-01:00	UTC-01:00	2012-05-31T03:33:50-01:00	Portugal (Azores), Cape Verde		Atlantic/Cape_Verde	2
