scalerank	featurecla	name	elevation	comment	name_alt	lat_y	long_x	nation1	nation2	note	region	subregion	min_zoom	label	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id
N	C	C	N	C	C	N	N	C	C	C	C	C	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N
7	mountain	Jabal al Uwaynt	1934.000000000			21.916510321	24.983409050				Africa		7.0	Jabal al Uwaynt	Q3647391	جبل أركنو		Jabal Arkanu	Jabal Arkanu		Jebel Arkanu					Gebel Archenu			Jabal Arkanu				Jabal Arkanū				5	1159105181
7	mountain	Jabal Teljo	1954.000000000			14.700201727	25.933482293				Africa		7.0																								0	1159105183
7	mountain	Hunsberge	1655.000000000			-27.833306573	17.166514519				Africa		7.0		Q15056776			Hunsberge	Hunsberge		Hunsberge																4	1159105187
7	mountain	Mount Richard-Molard	1752.000000000		Mt. Nimba	7.619696356	-8.413807746				Africa		7.0	Mt. Richard-Molard	Q849129			Mont Richard-Molard	Mount Richard-Molard	Monte Nimba	mont Nimba					Monte Nimba	ニンバ山		Mount Nimba	Nimba	Monte Richard-Molard	Нимба	Mont Nimba			寧巴峰	5	1159105189
7	mountain	Jabal Is	1851.000000000			22.049872137	35.466563347				Africa		7.0																								0	1159105191
7	spot elevation		694.000000000			7.666083075	4.935923699				Africa		7.0																								0	1159105193
7	mountain	Mont Agou	968.000000000			6.878302313	0.757334832				Africa		7.0		Q1753509			Mont Agou	Mount Agou	Monte Agou	mont Agou					Agou	アグー山		Mont Agou	Mont Agou	Monte Agou	Агу					4	1159105195
7	mountain	Mount Dimlang	2042.000000000			8.397772528	11.789439324				Africa		7.0	Dimlang	Q8540195				Mount Dimlang	Monte Dimlang									Mount Dimlang								2	1159105197
7	spot elevation		1781.000000000			9.216986395	9.162242058				Africa		7.0																								0	1159105199
7	spot elevation		1893.000000000			-13.906426691	29.668223504				Africa		7.0																								0	1159105201
7	mountain	Bokkeveldberg	843.000000000			-31.125420831	18.980601433				Africa		7.0																								0	1159105205
7	mountain	Loma Mansa	1945.000000000			9.242682196	-11.088551399				Africa		7.0		Q769525			Bintumani	Mount Bintumani	Bintumani	Loma Mansa					Monte Bintumani	ビントゥマニ山		Mount Bintumani	Bintumani	Monte Bintumani	Бинтимани	Loma Mansa			洛馬曼薩山	4	1159105207
6	spot elevation		3315.000000000			21.131476141	16.527354363				Africa		6.7																								0	1159105209
6	mountain	Jabal Marrah	3042.000000000			12.949713446	24.237925652				Africa		6.7		Q886772	جبل مرة		Marra	Marrah Mountains		Djebel Marra					Jebel Marra	マッラ山脈	마라 산	Jebel Marra	Dżabal Marra	Jebel Marra	Марра	Jebel Marra			馬拉山脈	4	1159105211
6	mountain	Jebel Tidirhine	2456.000000000			34.830206610	-4.511830207				Africa		6.7		Q2383371	جبل تيدغين			Jbel Tidighin		Jbel Tidirhine								Jbel Tidirhine		Jbel Tidirhine		Koudiet Tirbîrhîne				4	1159105213
6	mountain	Lalla Khedidja	2308.000000000			36.457098700	4.229136589				Africa		6.7		Q6480460	لالة خديجة			Lalla Khedidja										Lalla Khedidja		Lalla Khedidja						4	1159105215
6	mountain	Seweweekspoort Pk.	2325.000000000			-33.395806573	21.365733269				Africa		6.7	Seweweekspoort Pk.	Q3642884			Seweweekspoortpiek	Seweweekspoortpiek	Seweweekspoortpiek									Seweweekspoortpiek		Seweweekspoortpiek						5	1159105217
