featurecla	name	namealt	region	subregion	min_label	max_label	scalerank	label	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id
C	C	C	C	C	N	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N
Island	Pentecost		Oceania	Melanesia	6.7	12.0	7	Pentecost I.	Q960808			Pentecost-Insel	Pentecost Island	Isla de Pentecostés	île de Pentecôte					Isola di Pentecoste	ペンテコスト島		Pentecost	Pentecost	Pentecostes	Пентекост	Pentecost Island			彭特科斯特岛	4	1159102327
Island	Anatom		Oceania	Melanesia	6.7	12.0	7	Anatom	Q528884			Aneityum	Aneityum	Anatom	Aneityum					Anatom	アネイチュム島	아네이튬 섬	Anatom	Anatom	Aneytium	Анейтьюм		Anatom		阿納托姆島	4	1159102329
Island	Gaua		Oceania	Melanesia	6.7	12.0	7	Gaua	Q583383			Gaua	Gaua		Gaua						ガウア島	가우아 섬	Gaua	Gaua	Gaua	Гауа				加瓦島	4	1159102331
Island	Utupua		Oceania	Melanesia	6.7	12.0	7	Utupua I.	Q2081472			Utupua	Utupua Island	Utupua	Utupua				Pulau Utupua	Utupua	ウトゥプア島		Utupua			Утупуа	Utupua				4	1159102333
Island	Vanikolo		Oceania	Melanesia	6.7	12.0	7	Vanikolo	Q1536424			Vanikoro	Vanikoro	Vanikoro	Vanikoro	Βανικόρο		Vanikoro		Vanikoro	ヴァニコロ		Vanikoro	Vanikoro		Ваникоро	Vanikoro				4	1159102335
Island	Adak		North America		6.7	12.0	7	Adak I.	Q176381			Adak Island	Adak Island	Isla Adak	île Adak					Isola di Adak	アダック島	에이댁 섬	Adak Island	Adak	Ilha Adak	Адак	Adak Island	Adak Adası		埃達克島	4	1159102337
Island	Unimak I.		North America		6.7	12.0	7	Unimak I.	Q375615	جزيرة أونيماك		Unimak Island	Unimak Island	Isla Unimak	île Unimak	Ούνιμακ		Unimak-sziget		Unimak	ウニマク島		Unimak Island	Unimak	Ilha Unimak	Унимак	Unimak Island			烏尼馬克島	4	1159102339
Island	Lanzarote		Africa	North Atlantic Ocean	6.7	12.0	7	Lanzarote	Q182432	لانزاروت		Lanzarote	Lanzarote	Lanzarote	Lanzarote	Λανθαρότε		Lanzarote	Lanzarote	Lanzarote	ランサローテ島	란사로테 섬	Lanzarote	Lanzarote	Lanzarote	Лансароте	Lanzarote	Lanzarote	Lanzarote	兰萨罗特岛	3	1159102343
Island	Pemba I.		Africa		6.7	12.0	7	Pemba I.	Q208664	جزيرة بمبا		Pemba	Pemba Island	Isla de Pemba	Pemba					Isola di Pemba	ペンバ島	펨바 섬	Pemba	Pemba	Pemba	Пемба	Pemba	Pemba Adası	Pemba	奔巴岛	3	1159102345
Island	Mahé I.		Seven seas (open ocean)	Seychelles	6.7	12.0	7	Mahé I.	Q219642	ماهي		Mahé	Mahé	Mahé	Mahé	Μαέ		Mahé	Mahé	Mahé	マヘ島	마에 섬	Mahé	Mahé	Ilha de Mahé	Маэ	Mahé		Mahé	马埃岛	4	1159102347
Island	Mohéli		Africa	Comores	6.7	12.0	7	Mohéli	Q27222296																		Mohéli				3	1159102349
Island	Mayotte		Africa	Comores	6.7	12.0	7	Mayotte	Q17063	مايوت	মায়োত	Mayotte	Mayotte	Mayotte	Mayotte	Μαγιότ	मेयोट	Mayotte	Mayotte	Mayotte	マヨット	마요트	Mayotte	Majotta	Mayotte	Майотта	Mayotte	Mayotte	Mayotte	马约特	2	1159102351
Island	Anjouan		Africa	Indian Ocean	6.7	12.0	7	Anjouan	Q231324	أنجوان	আঞ্জুয়ান	Anjouan	Anjouan	Anjouan	Anjouan	Ανζουάν	अंजुअन	Anjouan	Anjouan	Anjouan	アンジュアン島	앙주앙 섬	Anjouan	Anjouan	Anjouan	Анжуан	Anjouan	Anjouan	Anjouan	昂儒昂岛	3	1159102353
Island	Mafia I.		Africa		6.7	12.0	7	Mafia I.	Q713391	جزيرة مافيا		Mafia	Mafia Island	Isla de Mafia	Mafia	Νήσος Μάφια		Mafia-sziget		Mafia	マフィア島	마피아 섬	Mafia Island	Mafia	Ilha de Mafia	Мафия	Mafiaön		Mafia	马菲亚岛	4	1159102355
Island	Flores		Seven seas (open ocean)	North Atlantic Ocean	6.7	12.0	7	Flores	Q148440	جزيرة فلوريس	ফ্লোরেস	Flores	Flores	Isla de Flores	Florès	Φλόρες		Flores	Pulau Flores	Flores	フローレス島	플로레스 섬	Flores	Flores	Flores	Флорес	Flores	Flores	Flores	弗洛勒斯岛	3	1159102757
Island	Pico		Seven seas (open ocean)	North Atlantic Ocean	6.7	12.0	7	Pico	Q210811			Pico	Pico Island	Isla del Pico	Pico	Πίκο	पिको द्वीप			Pico	ピコ島	피쿠 섬	Pico	Pico	Ilha do Pico	Пику	Pico	Pico Adası		皮庫島	4	1159102361
Island	Terceira		Seven seas (open ocean)	North Atlantic Ocean	6.7	12.0	7	Terceira	Q215074			Terceira	Terceira Island	Isla Terceira	Terceira	Τερσέιρα	ट्रेसिरा द्वीप	Terceira		Terceira	テルセイラ島	테르세이라 섬	Terceira	Terceira	Ilha Terceira	Терсейра	Terceira	Terceira		特塞拉島	4	1159102363
Island	Santa Maria		Seven seas (open ocean)	North Atlantic Ocean	6.7	12.0	7	Santa Maria	Q217262			Santa Maria	Santa Maria Island	Isla de Santa María	Santa Maria	Νήσος Σάντα Μαρία				Santa Maria	サンタマリア島	산타마리아 섬	Santa Maria	Santa Maria	Ilha de Santa Maria	Санта-Мария	Santa Maria			聖瑪麗亞島	4	1159102365
