id	name	lge_id	pfafstette	lke_type	altitude	objectid	scalerank	featurecla	note	funkyname	min_zoom	min_label	label	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	ne_id	name_he	name_uk	name_ur	name_fa	name_zht
N	C	C	N	C	N	N	N	C	C	N	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	C	C	C	C	C
1224.000000000	Surnujärvi		49753.000000000	N	0	957	12	Lake		0	7.0	8.0	Surnujärvi	Q7362763	سورنوجيرفي		Surnujärvi	Surnujärvi														Surnujärvi				1159106115					
1381.000000000	Iijärvi		937.000000000	N	193	1111	11	Lake		0	6.7	7.7	IIJÄRVI	Q1525218			Iijärvi	Iijärvi		Iijärvi								Iijärvi				Iijärvi				1159106117					
1604.000000000	Paudijärvi		44995.000000000	N	0	1389	12	Lake		0	7.0	8.0	Paudijärvi	Q4356934			Pautujärvi	Pautujärvi										Pautujärvi				Pautujärvi				1159106125					
22790.000000000	Jongunjärvi		395.000000000	N	119	2315	12	Lake		0	7.0	8.0	Jongunjärvi	Q6275623	جونكو		Jonku	Jonku														Jongunjärvi				1159106129					
4352.000000000	Muddusjärvi		6415.000000000	N	146	2712	11	Lake		0	6.7	7.7	Muddusjärvi	Q1351656	ميتوس جيرفي		Mutusjärvi	Mutusjärvi		Mutusjärvi								Mutusjärvi			Мутусъярви	Muddusjärvi				1159106133					
6188.000000000	Paatarijärvi		6195.000000000	N	0	3450	12	Lake		0	7.0	8.0	Paatarijärvi	Q4413412			Paatari	Paatari		Paatari								Paatari			Паатари	Paatari				1159106137					
7516.000000000	Rastojaure		62953.000000000	N	0	5178	12	Lake		1	7.0	8.0	Rastojaure	Q732672			Rostojávri	Rostojávri	Rostojávri	Rostojávri								Rostojávri				Råstojaure	Rostojávri			1159106143					
9754.000000000			0.000000000	N	0	5711	12	Lake	_untitled_5711	0	7.0	8.0																								1159106147					
11665.000000000	Unarinjärvi		2255.000000000	N	180	6734	12	Lake		0	7.0	8.0	UNARINJÄRVI	Q6478200	بحيرة أونوري		Unari	Unari														Unari				1159106151					
12223.000000000			631.000000000	N	0	7461	10	Lake	_untitled_7461	0	6.0	7.0																								1159106155					
10299.000000000			6591.000000000	N	0	7911	10	Lake	_untitled_7911	0	6.0	7.0																								1159106161					
14831.000000000	Raanujärvi		2653.000000000	N	0	8242	12	Lake		0	7.0	8.0	Raanujärvi	Q7278418	رانوجيرفي		Raanujärvi	Raanujärvi														Raanujärvi				1159106165					
13810.000000000	Sitojaure		48931.000000000	N	0	8942	12	Lake		0	7.0	8.0	Sitojaure	Q18139718				Sitojaure		Sitojaure												Sitojaure				1159106169					
15655.000000000	Iso Vietonen		2611.000000000	N	0	9216	11	Lake		0	6.7	7.7	Iso Vietonen	Q6085205	أيزو فياتونين		Iso-Vietonen	Iso-Vietonen														Iso Vietonen				1159106173					
15286.000000000	Murtoselka		56263.000000000	N	0	9307	12	Lake		1	7.0	8.0																								1159106179					
15441.000000000	Tjaktjajaure		4837.000000000	N	0	9318	10	Lake		0	6.0	7.0	Tjaktjajaure	Q2596081			Tjaktjajaure	Tjaktjajaure	Tjaktjajaure	Tjaktjajaure			Tjaktjajaure	Tjaktjajaure	Tjaktjajaure			Tjaktjajaure	Tjaktjajaure	Tjaktjajaure		Tjaktjajávrre	Tjaktjajaure	Tjaktjajaure		1159106183					
15510.000000000	Miekojärvi		231.000000000	N	77	9434	11	Lake		0	6.7	7.7	Miekojärvi	Q1351230			Miekojärvi	Miekojärvi		Miekojärvi								Miekojärvi				Miekojärvi				1159106187					
18063.000000000			4459.000000000	N	0	10225	10	Lake	_untitled_10225	0	6.0	7.0																								1159106191					
17481.000000000	Mavasjaure		967.000000000	N	0	10411	12	Lake		0	7.0	8.0	Mavasjaure	Q15284721				Mávasjávrre		Mavasjaure												Mavasjaure				1159106197					
16981.000000000	Balvatnet	no	753.000000000	B	0	10764	11	Lake		0	6.7	7.7	Balvatnet	Q1771514			Balvatnet	Balvatnet		Balvatnet								Balvatnet					Balvatnet			1159106201		Балватне			
18861.000000000	Kostonjärvi		8551.000000000	N	232	11258	11	Lake		0	6.7	7.7	Kostonjärvi	Q1668380	كوستون جيرفي		Kostonjärvi	Kostonjärvi		Kostonjärvi								Kostonjärvi				Kostonjärvi				1159106205					
18884.000000000	Tjeggelvas		7993.000000000	N	0	11294	10	Lake		0	6.0	7.0	Tjeggelvas	Q3379089			Tjeggelvas	Tjeggelvas	Tjeggelvas	Tjeggelvas								Tjeggelvas	Tjeggelvas	Tjeggelvas		Tjeggelvas				1159106209					
15986.000000000			56275.000000000	N	0	11346	12	Lake	_untitled_11346	0	7.0	8.0																								1159106215					
16459.000000000	Peskehaure		9717.000000000	N	632	11377	11	Lake		0	6.7	7.7	Peskehaure	Q15284711				Pieskehaure		Pieskehaure												Pieskehaure				1159106219					
7003.000000000			9817.000000000	N	0	11904	11	Lake	_untitled_11904	0	6.7	7.7																								1159106223					
21058.000000000	Langvatnet	no	41.000000000	B	0	12128	12	Lake		0	7.0	8.0	Langvatnet	Q6486963			Langvatnet	Langvatnet		Langvatnet i Rana													Langvatnet			1159106227		Лангватне			
20508.000000000	Tyräjärvi		943.000000000	N	224	12167	12	Lake		0	7.0	8.0	Tyräjärvi	Q7362340	تايراجارفي		Tyräjärvi	Tyräjärvi														Tyräjärvi				1159106233					
19913.000000000	Saddajaure		753.000000000	N	459	12432	10	Lake		0	6.0	7.0	Saddajaure	Q18135537						Saddajaure												Saddajaure				1159106237					
19929.000000000			81.000000000	N	0	12439	12	Lake	_untitled_12439	0	7.0	8.0																								1159106241					
21757.000000000			931.000000000	N	0	12799	12	Lake	_untitled_12799	0	7.0	8.0																								1159106245					
21944.000000000	Kallvatnet	no	2191.000000000	B	0	13126	12	Lake		0	7.0	8.0	Kallvatnet	Q1772371			Kallvatnet	Kallvatnet		Kallvatnet								Kallvatnet					Kallvatnet			1159106251		Каллватне			
19549.000000000			811.000000000	N	0	13319	10	Lake	_untitled_13319	0	6.0	7.0																								1159106255					
19310.000000000	Irnijärvi		977.000000000	N	0	13353	12	Lake		0	7.0	8.0	Irnijärvi	Q24331506																		Irnijärvi				1159106259					
19579.000000000	Irnijärvi		957.000000000	N	237	13382	12	Lake		0	7.0	8.0	Irnijärvi	Q24331506																		Irnijärvi				1159106263					
19152.000000000	Storglomvatnet	no	19.000000000	B	0	13408	11	Lake		0	6.7	7.7	Storglomvatnet	Q5096953			Storglomvatnet	Storglomvatnet															Storglomvatnet			1159106269		Сторгломватне			
23709.000000000			29555.000000000	N	0	14109	12	Lake	_untitled_14109	0	7.0	8.0																								1159106273					
23527.000000000	Grasvatnet	no	71.000000000	B	0	14553	12	Lake		0	7.0	8.0	Grasvatnet	Q1772671			Grasvatnet	Gresvatnet		Gräsvattnet								Grasvatnet				Gräsvattnet	Grasvatnet			1159106279					
25309.000000000	Överst-Juktan		22935.000000000	N	0	14972	12	Lake		1	7.0	8.0	Överst-Juktan	Q3378204				Överst-Juktan		Överst-Juktan												Överst-Juktan				1159106285					
24942.000000000	Storvindeln		8113.000000000	N	0	15009	11	Lake		0	6.7	7.7	Storvindeln	Q465050			Storvindeln	Storvindeln	Storvindel	Storvindeln										Storvindel		Storvindeln				1159106289					
22550.000000000	Storakersvatnet	no	0.000000000	B	0	15389	11	Lake		0	6.7	7.7	Storakersvatnet	Q4562843			Storakersvatnet	Storakersvatnet		Storakersvatnet													Storakersvatnet			1159106293		Сторакерсватне			
22127.000000000	Puhosjärvi		4237.000000000	N	250	15394	12	Lake		0	7.0	8.0	Puhosjärvi	Q7258992	بيهوس جيرفي		Puhosjärvi	Puhosjärvi														Puhosjärvi				1159106295					
22947.000000000	Umbukta	no	29733.000000000		0	15442	11	Lake		0	6.7	7.7	Umbukta	Q307594			Överuman	Överuman		Överuman								Överuman			Эверуман	Över-Uman	Överuman		上烏曼湖	1159106303		Еверуман			上烏曼湖
27852.000000000			185.000000000	N	0	15657	12	Lake	_untitled_15657	0	7.0	8.0																								1159106307					
27555.000000000			2657.000000000	N	0	15922	12	Lake	_untitled_15922	0	7.0	8.0																								1159106311					
27429.000000000	Storjuktan		22515.000000000	N	0	15940	11	Lake		0	6.7	7.7	Storjuktan	Q3378145						Storjuktan												Storjuktan				1159106315					
