featurecla	min_zoom	scalerank
C	N	N
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
Minor island	6.5	7
