id	wso_id	objectid	featurecla	scalerank	rivernum	dissolve	name	min_zoom	strokeweig	name_alt	min_label	label	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id
N	N	N	C	N	N	C	C	N	N	C	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N
0	0	0	River	0	409056	409056River		7.0	0.20		8.0																								0	1159107643
1	1456942	1	River	10	401001	401001River	Oka	6.0	0.20	Volga	7.0	Oka	Q172089	نهر أوكا	ওকা নদী	Oka	Oka	Río Oká	Oka	Ποταμός Οκά		Oka		Oka	オカ川	오카 강	Oka	Oka	Rio Oka	Ока	Oka	Oka Nehri	Sông Oka	奧卡河	5	1159107657
1	1456942	1	River	10	401001	401001River	Oka	6.0	0.20	Volga	7.0	Oka	Q172089	نهر أوكا	ওকা নদী	Oka	Oka	Río Oká	Oka	Ποταμός Οκά		Oka		Oka	オカ川	오카 강	Oka	Oka	Rio Oka	Ока	Oka	Oka Nehri	Sông Oka	奧卡河	5	1159107671
2	1456942	2	River	10	401002	401002River	Oka	6.0	0.20		7.0	Oka	Q172089	نهر أوكا	ওকা নদী	Oka	Oka	Río Oká	Oka	Ποταμός Οκά		Oka		Oka	オカ川	오카 강	Oka	Oka	Rio Oka	Ока	Oka	Oka Nehri	Sông Oka	奧卡河	5	1159107685
4	1456942	4	River	11	401004	401004River	Oka	6.7	0.20		7.7	Oka	Q172089	نهر أوكا	ওকা নদী	Oka	Oka	Río Oká	Oka	Ποταμός Οκά		Oka		Oka	オカ川	오카 강	Oka	Oka	Rio Oka	Ока	Oka	Oka Nehri	Sông Oka	奧卡河	5	1159107697
915	566445	15	River	12	401015	401015River	Svratka	7.0	0.20	Svitava	8.0	Svratka	Q45254			Schwarza	Svratka		Svratka			Svratka		Svratka			Svratka	Svratka		Свратка	Svratka			斯夫拉特卡河	3	1159107711
3691	2294484	26	River	10	401026	401026River		6.0	0.20		7.0																								0	1159107725
1687	1456948	34	River	10	401034	401034River	Sukhona	6.0	0.20	Northern Dvina	7.0	Sukhona	Q82812			Suchona	Sukhona	Río Sújona	Soukhona			Szuhona		Suchona	スホナ川		Soechona	Suchona		Сухона				蘇霍納河	5	1159107737
1661	748037	50	River	11	401050	401050River		6.7	0.20		7.7																								0	1159107751
5661	1205569	60	River	10	401060	401060River		6.0	0.20		7.0																								0	1159107763
4657	1205570	71	River	10	401071	401071River	Tundzha	6.0	0.20		7.0	Tundzha	Q731777			Tundscha	Tundzha	Río Tundzha	Toundja			Tundzsa		Tundža	トゥンジャ	툰자 강	Toendzja	Tundża		Тунджа	Tundzja	Tunca Nehri		登萨河	4	1159107769
6657	50	74	River	11	401074	401074River		6.7	0.20		7.7																								0	1159107775
2631	6	82	River	11	401082	401082River	Eger	6.7	0.20	Ohre	7.7	Eger	Q155045			Eger	Ohře	Ohře	Ohře					Ohře	エーガー川		Eger	Ochrza	Rio Ohře	Огрже	Eger			奥赫热河	5	1159107785
3614	2294484	98	River	11	401098	401098River		6.7	0.20		7.7																								0	1159107793
2196	748037	111	River	10	401111	401111River	Snov	6.0	0.20		7.0	Snov	Q1540215			Snow	Snov	Río Snov	Snov					Snov	スノウ川		Snov	Snow		Снов				斯諾夫河	5	1159107797
6183	1457777	123	River	11	401123	401123River		6.7	0.20		7.7																								0	1159107805
5179	1460380	136	River	11	401136	401136River		6.7	0.20		7.7																								0	1159107811
1153	1456942	148	River	11	401148	401148River		6.7	0.20		7.7																								0	1159107817
1149	566445	159	River	12	401159	401159River		7.0	0.20		8.0																								0	1159107823
4140	1348536	163	River	11	401163	401163River	Karasu	6.7	0.20		7.7																								0	1159107833
1136	1456942	171	River	12	401171	401171River		7.0	0.20		8.0																								0	1159107839
3136	1456990	175	River	10	401175	401175River	Ilovlya	6.0	0.20		7.0	Ilovlya	Q2557120			Ilowlja	Ilovlya	Río Ilovlia						Ilovlja	イローヴリャ川		Ilovlya			Иловля				伊洛夫利亞河	5	1159107845
3123	2294484	184	River	12	401184	401184River		7.0	0.20		8.0																								0	1159107851
621	1456942	225	River	11	401225	401225River		6.7	0.20		7.7																								0	1159107865
4791	1034724	230	River	12	401230	401230River	Rena	7.0	0.20		8.0	Rena	Q1364212			Renaelva	Renaelva		Renaelva								Renaelva								5	1159107877
625	566445	233	River	10	401233	401233River	Waldnaab	6.0	0.20	Naab	7.0	Waldnaab	Q447783			Waldnaab	Waldnaab		Waldnaab								Waldnaab			Вальднаб					3	1159107893
629	1456942	242	River	11	401242	401242River		6.7	0.20		7.7																								0	1159107909
2774	1413804	247	River	11	401247	401247River		6.7	0.20		7.7																								0	1159107919
