dissolve	scalerank	featurecla	name	name_alt	rivernum	note	min_zoom	name_en	min_label	ne_id	label	wikidataid	name_ar	name_bn	name_de	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	name_fa	name_he	name_uk	name_ur	name_zht
C	N	C	C	C	N	C	N	C	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
975River	9	River			975		7.1		8.1	1159128965																											
976River	9	River	Rungwa		976		7.1	Rungwa	8.1	1159128967	Rungwa	Q35311383	رونجوا	রুংওয়া	Rungwa River	Rungwa	Rungwa	Ρούνγκβα	रुंगवा	Rungwa	Rungwa	Rungwa	ルングワ川	룽와	Rungwa	Rungwa	Rungwa	река Рунгва	Rungwa	Rungwa	Sông Rungwa	伦瓜河	رونگوا	רונגווה	Рунгва	رنگوا	倫瓜河
977River	9	River	Ligonha		977		7.1	Ligonha	8.1	1159128969	Ligonha		ليجونها	লিগোনহা	Ligonha	Ligonha	Ligonha	Λιγκόνια	लिगोन्हा	Ligonha	Ligonha	Ligonha	リゴンハ川	리고냐	Ligonha	Ligonha	Ligonha	река Лигонья	Ligonha	Ligonha	Sông Ligonha	利戈尼亚河	لیگونها	ליגונה	Лігонха	لیگونہا	利戈尼亞河
978River	9	River	Dongwe		978		7.1	Dongwe	8.1	1159128971	Dongwe		دونغوي	দঙ্গোয়ে	Dongwe	Dongwe	Dongwe	Ντόνγκβε	डोंगवे	Dongwe	Dongwe	Dongwe	ドングウェ川	동웨	Dongwe	Dongwe	Dongwe	река Донгу	Dongwe	Dongwe	Sông Dongwe	松威河	دونگوه	דונגווה	Донгве	ڈانگوے	東威河
979River	9	River	Cuito		979		7.1	Cuito	8.1	1159128973	Cuito	Q1143331	كيتو	কুইটো	Cuito	Cuito	Rio Cuito	Κουίτο	क्यूटो	Cuito	Cuito	Cuito	クイト川	쿠이토	Cuito	Cuito	Cuito	река Квито	Cuito	Cuito	Sông Cuito	奎托河	کیتو	קיטו	Куіто	کیوٹو	奎托河
980Lake Centerline	9	Lake Centerline			980		7.1		8.1	1159128989																											
980River	9	River			980		7.1		8.1	1159128991																											
981River	9	River	Bagoé		981		7.1	Bagoé	8.1	1159128995	Bagoé	Q23208733	باجوي	বাগোয়ে	Bagoé	Bagoé	Bagoé	Μπαγκόε	बगोए	Bagoé	Bagoé	Bagoé	バゴエ川	바고에	Bagoé	Bagoé	Bagoé	Багое	Bagoé	Bagoé	Sông Bagoé	巴戈埃河	بگویه	באגואֶה	Багує	بیگئوے	巴戈埃河
982River	9	River	Hadejia		982		7.1	Hadejia	8.1	1159129003	Hadejia	Q4786970	هديجة	হাদেজিয়া	Hadejia	Hadejia	Hadejia	Χαντέγια	हेडजिया	Hadejia	Hadejia	Hadejia	アデジャ川	하데지아	Hadejia	Hadejia	Hadejia	Хадеджиа	Hadejia	Hadejia	Sông Hadejia	哈代賈河	هادجیا	חדג'יה	Хадеджія	ہاڈیجا	哈代賈河
983River	9	River	Sous		983		7.1	Sous	8.1	1159129007	Sous	Q2883844	وادي سوس	সউস	Oued Souss	Sus	Oued Souss	Σου	सूस	Sous	Sous	Sous	スース川	수스	Sous	Wadi Sus	Suz	Сус	Sous	Sous	Sous	苏斯河	سوس	סו	Сус	ساوس	苏斯河
