featurecla	scalerank	rivernum	dissolve	name	name_alt	note	min_zoom	strokeweig	name_en	min_label	ne_id	label	wikidataid	name_ar	name_bn	name_de	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	name_fa	name_he	name_uk	name_ur	name_zht
C	N	N	C	C	C	C	N	N	C	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
River	9	975	975River				7.1	0.20		8.1	1159128965																											
River	9	976	976River	Rungwa			7.1	0.20	Rungwa	8.1	1159128967	Rungwa	Q35311383	رونجوا	রুংওয়া	Rungwa River	Rungwa	Rungwa	Ρούνγκβα	रुंगवा	Rungwa	Rungwa	Rungwa	ルングワ川	룽와	Rungwa	Rungwa	Rungwa	река Рунгва	Rungwa	Rungwa	Sông Rungwa	伦瓜河	رونگوا	רונגווה	Рунгва	رنگوا	倫瓜河
River	9	976	976River	Rungwa			7.1	0.20	Rungwa	8.1	1159128967	Rungwa	Q35311383	رونجوا	রুংওয়া	Rungwa River	Rungwa	Rungwa	Ρούνγκβα	रुंगवा	Rungwa	Rungwa	Rungwa	ルングワ川	룽와	Rungwa	Rungwa	Rungwa	река Рунгва	Rungwa	Rungwa	Sông Rungwa	伦瓜河	رونگوا	רונגווה	Рунгва	رنگوا	倫瓜河
River	9	977	977River	Ligonha			7.1	0.20	Ligonha	8.1	1159128969	Ligonha		ليجونها	লিগোনহা	Ligonha	Ligonha	Ligonha	Λιγκόνια	लिगोन्हा	Ligonha	Ligonha	Ligonha	リゴンハ川	리고냐	Ligonha	Ligonha	Ligonha	река Лигонья	Ligonha	Ligonha	Sông Ligonha	利戈尼亚河	لیگونها	ליגונה	Лігонха	لیگونہا	利戈尼亞河
River	9	977	977River	Ligonha			7.1	0.20	Ligonha	8.1	1159128969	Ligonha		ليجونها	লিগোনহা	Ligonha	Ligonha	Ligonha	Λιγκόνια	लिगोन्हा	Ligonha	Ligonha	Ligonha	リゴンハ川	리고냐	Ligonha	Ligonha	Ligonha	река Лигонья	Ligonha	Ligonha	Sông Ligonha	利戈尼亚河	لیگونها	ליגונה	Лігонха	لیگونہا	利戈尼亞河
River	9	977	977River	Ligonha		0.15	7.1	0.15	Ligonha	8.1	1159128969	Ligonha		ليجونها	লিগোনহা	Ligonha	Ligonha	Ligonha	Λιγκόνια	लिगोन्हा	Ligonha	Ligonha	Ligonha	リゴンハ川	리고냐	Ligonha	Ligonha	Ligonha	река Лигонья	Ligonha	Ligonha	Sông Ligonha	利戈尼亚河	لیگونها	ליגונה	Лігонха	لیگونہا	利戈尼亞河
River	9	978	978River	Dongwe			7.1	0.20	Dongwe	8.1	1159128971	Dongwe		دونغوي	দঙ্গোয়ে	Dongwe	Dongwe	Dongwe	Ντόνγκβε	डोंगवे	Dongwe	Dongwe	Dongwe	ドングウェ川	동웨	Dongwe	Dongwe	Dongwe	река Донгу	Dongwe	Dongwe	Sông Dongwe	松威河	دونگوه	דונגווה	Донгве	ڈانگوے	東威河
River	9	978	978River	Dongwe			7.1	0.20	Dongwe	8.1	1159128971	Dongwe		دونغوي	দঙ্গোয়ে	Dongwe	Dongwe	Dongwe	Ντόνγκβε	डोंगवे	Dongwe	Dongwe	Dongwe	ドングウェ川	동웨	Dongwe	Dongwe	Dongwe	река Донгу	Dongwe	Dongwe	Sông Dongwe	松威河	دونگوه	דונגווה	Донгве	ڈانگوے	東威河
River	9	979	979River	Cuito			7.1	0.20	Cuito	8.1	1159128973	Cuito	Q1143331	كيتو	কুইটো	Cuito	Cuito	Rio Cuito	Κουίτο	क्यूटो	Cuito	Cuito	Cuito	クイト川	쿠이토	Cuito	Cuito	Cuito	река Квито	Cuito	Cuito	Sông Cuito	奎托河	کیتو	קיטו	Куіто	کیوٹو	奎托河
River	9	979	979River	Cuito			7.1	0.20	Cuito	8.1	1159128973	Cuito	Q1143331	كيتو	কুইটো	Cuito	Cuito	Rio Cuito	Κουίτο	क्यूटो	Cuito	Cuito	Cuito	クイト川	쿠이토	Cuito	Cuito	Cuito	река Квито	Cuito	Cuito	Sông Cuito	奎托河	کیتو	קיטו	Куіто	کیوٹو	奎托河
River	9	979	979River	Cuito			7.1	0.20	Cuito	8.1	1159128973	Cuito	Q1143331	كيتو	কুইটো	Cuito	Cuito	Rio Cuito	Κουίτο	क्यूटो	Cuito	Cuito	Cuito	クイト川	쿠이토	Cuito	Cuito	Cuito	река Квито	Cuito	Cuito	Sông Cuito	奎托河	کیتو	קיטו	Куіто	کیوٹو	奎托河
River	9	979	979River	Cuito			7.1	0.15	Cuito	8.1	1159128973	Cuito	Q1143331	كيتو	কুইটো	Cuito	Cuito	Rio Cuito	Κουίτο	क्यूटो	Cuito	Cuito	Cuito	クイト川	쿠이토	Cuito	Cuito	Cuito	река Квито	Cuito	Cuito	Sông Cuito	奎托河	کیتو	קיטו	Куіто	کیوٹو	奎托河
Lake Centerline	9	980	980Lake Centerline				7.1	0.25		8.1	1159128989																											
River	9	980	980River				7.1	0.20		8.1	1159128991																											
River	9	980	980River				7.1	0.20		8.1	1159128991																											
River	9	980	980River				7.1	0.20		8.1	1159128991																											
River	9	980	980River				7.1	0.20		8.1	1159128991																											
River	9	980	980River				7.1	0.20		8.1	1159128991																											
