scalerank	featurecla	name	name_alt	admin	min_zoom	min_label	name_abb	label	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	wdid_score	ne_id
N	C	C	C	C	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N
0	Lake	Lake Baikal			1.0	3.0	L. Baikal	Lake Baikal	Q5513	بحيرة بايكال	বৈকাল হ্রদ	Baikalsee	Lake Baikal	Baikal	lac Baïkal	Βαϊκάλη	बयकाल झील	Bajkál-tó	Danau Baikal	lago Bajkal	バイカル湖	바이칼 호	Baikalmeer	Bajkał	Lago Baikal	Байкал	Bajkalsjön	Baykal Gölü	Hồ Baikal	贝加尔湖	4	1159113127
0	Lake	Lake Winnipeg			1.0	3.0	L. Winnipeg	Lake Winnipeg	Q3272	بحيرة وينيبيغ		Winnipegsee	Lake Winnipeg	Lago Winnipeg	lac Winnipeg	Λίμνη Γουίνιπεγκ		Winnipeg-tó	Danau Winnipeg	Winnipeg	ウィニペグ湖	위니펙 호	Winnipegmeer	Winnipeg	Lago Winnipeg	Виннипег	Winnipegsjön	Winnipeg Gölü	Hồ Winnipeg	溫尼伯湖	4	1159106747
0	Lake	Great Slave Lake			1.0	3.0	Great Slave L.	Great Slave Lake	Q5539	بحيرة جريت سليف		Großer Sklavensee	Great Slave Lake	Gran Lago del Esclavo	Grand lac des Esclaves	Μεγάλη Λίμνη των Σκλάβων		Nagy-Rabszolga-tó		Grande Lago degli Schiavi	グレートスレーブ湖	그레이트슬레이브 호	Great Slave Lake	Wielkie Jezioro Niewolnicze	Grande Lago do Escravo	Большое Невольничье озеро	Stora Slavsjön	Büyük Esir Gölü	Hồ Slave Lớn	大奴湖	4	1159106729
0	Lake	Lake Ontario	Great Lakes	admin-0	1.0	3.0	L. Ontario	Lake Ontario	Q1062	بحيرة أونتاريو		Ontariosee	Lake Ontario	Ontario	lac Ontario	Λίμνη Οντάριο	ओण्टारियो झील	Ontario-tó	Danau Ontario	lago Ontario	オンタリオ湖	온타리오 호	Ontariomeer	Ontario	Lago Ontário	Онтарио	Ontariosjön	Ontario Gölü	Hồ Ontario	安大略湖	4	1159106765
0	Lake	Lake Erie	Great Lakes	admin-0	1.0	3.0	L. Erie	Lake Erie	Q5492	بحيرة إري		Eriesee	Lake Erie	Erie	lac Érié	Λίμνη Ήρι	ईरी झील	Erie-tó	Danau Erie	lago Erie	エリー湖	이리 호	Eriemeer	Erie	Lago Erie	Эри	Eriesjön	Erie Gölü	Hồ Erie	伊利湖	4	1159106757
0	Lake	Lake Superior	Great Lakes	admin-0	1.0	3.0	L. Superior	Lake Superior	Q1066	بحيرة سوبيريور	সুপিরিয়র হ্রদ	Oberer See	Lake Superior	Lago Superior	lac Supérieur	λίμνη Σουπίριορ	सुपीरियर झील	Felső-tó	Danau Superior	lago Superiore	スペリオル湖	슈피리어 호	Bovenmeer	Jezioro Górne	Lago Superior	Верхнее	Övre sjön	Superior Gölü	Hồ Thượng	苏必利尔湖	4	1159112991
0	Lake	Lake Victoria		admin-0	1.0	3.0	L. Victoria	Lake Victoria	Q5505	بحيرة فيكتوريا	ভিক্টোরিয়া হ্রদ	Victoriasee	Lake Victoria	Victoria	lac Victoria	Βικτόρια	विक्टोरिया झील	Viktória-tó	Danau Victoria	lago Vittoria	ヴィクトリア湖	빅토리아 호	Victoriameer	Jezioro Wiktorii	Lago Vitória	Виктория	Victoriasjön	Victoria Gölü	Hồ Victoria	維多利亞湖	4	1159113191
0	Lake	Lake Ladoga			1.0	3.0	L. Ladoga	Lake Ladoga	Q15288	بحيرة لادوغا		Ladogasee	Lake Ladoga	Ládoga	lac Ladoga	Λάντογκα	लादोगा झील	Ladoga-tó	Danau Ladoga	lago Ladoga	ラドガ湖	라도가 호	Ladogameer	Ładoga	Lago Ladoga	Ладожское озеро	Ladoga	Ladoga Gölü	Hồ Ladoga	拉多加湖	4	1159113095
0	Lake	Lake Balkhash	Balqash Köli		1.0	3.0	L. Balkhash	Lake Balkhash	Q134485	بحيرة بالكاش		Balchaschsee	Lake Balkhash	Lago Baljash	lac Balkhach	Λίμνη Μπαλκάς	बलख़श झील	Balkas-tó	Danau Balkhash	lago Balqaš	バルハシ湖	발하시 호	Balkasjmeer	Bałchasz	Lago Balkhash	Балхаш	Balchasjsjön	Balkaş Gölü	Hồ Balkhash	巴尔喀什湖	4	1159113111
0	Lake	Lake Tanganyika		admin-0	1.0	3.0	L. Tanganyika	Lake Tanganyika	Q5511	بحيرة تنجانيقا	টাংগানিকা হ্রদ	Tanganjikasee	Lake Tanganyika	lago Tanganica	lac Tanganyika	Τανγκανίκα	तांगान्यीका झील	Tanganyika-tó	Danau Tanganyika	lago Tanganica	タンガニーカ湖	탕가니카 호	Tanganyikameer	Tanganika	Lago Tanganica	Танганьика	Tanganyikasjön	Tanganika Gölü	Hồ Tanganyika	坦干依喀湖	4	1159113185
0	Lake	Lake Malawi	Lake Nyasa	admin-0	1.0	3.0	L. Malawi	Lake Malawi	Q5532	بحيرة مالاوي	মালাউই হ্রদ	Malawisee	Lake Malawi	Lago Malaui	lac Malawi	Λίμνη Νιάσα	मलावी झील	Nyasza-tó	Danau Malawi	lago Malawi	マラウイ湖	말라위 호	Malawimeer	Niasa	Lago Niassa	Малави	Malawisjön	Malavi Gölü	Hồ Malawi	马拉维湖	4	1159113163
0	Alkaline Lake	Aral Sea			1.0	3.0	Aral Sea	Aral Sea	Q35883	بحر آرال		Aralsee	Aral Sea	Mar de Aral	Mer d'Aral	Λίμνη Αράλη	अरल सागर	Aral-tó	Laut Aral	lago d'Aral	アラル海	아랄 해	Aralmeer	Jezioro Aralskie	Mar de Aral	Аральское море	Aralsjön	Aral Gölü	Biển Aral	鹹海	4	1159126555
1	Lake	Vänern			1.7	3.6	Vänern	Vänern	Q173596	بحيرة فانيرن		Vänern	Vänern	Lago Vänern	Vänern	Βένερν		Vänern-tó	Vänern	Vänern	ヴェーネルン湖	베네른 호	Vänermeer	Wener	Lago Vänern	Венерн	Vänern	Vänern Gölü	Hồ Vänern	维纳恩湖	4	1159113235
1	Lake	Lake Okeechobee			1.7	3.6	L. Okeechobee	Lake Okeechobee	Q202905	بحيرة أوكي تشوبي		Okeechobeesee	Lake Okeechobee	Lago Okeechobee	lac Okeechobee					lago Okeechobee	オキーチョビー湖		Okeechobeemeer	Okeechobee	Lago Okeechobee	Окичоби	Lake Okeechobee	Okeechobee Gölü		奧基喬比湖	4	1159106781
1	Lake	Lago de Nicaragua			1.7	3.6	L. de Nicaragua	Lago de Nicaragua	Q173862	بحيرة نيكاراغوا	লেক নিকারাগুয়া	Nicaraguasee	Lake Nicaragua	Lago Cocibolca	lac Nicaragua	Λίμνη Νικαράγουα		Nicaragua-tó	Danau Nikaragua	lago Nicaragua	ニカラグア湖	니카라과 호	Meer van Nicaragua	Nikaragua	Lago Nicarágua	Никарагуа	Nicaraguasjön	Nikaragua Gölü	Hồ Nicaragua	尼加拉瓜湖	5	1159106791
1	Lake	Lake Tana			1.7	3.6	L. Tana	Lake Tana	Q116685	بحيرة تانا		Tanasee	Lake Tana	Lago Tana	lac Tana	Τάνα	ताना झील	Tana-tó		lago Tana	タナ湖	타나 호	Tanameer	Jezioro Tana	Lago Tana	Тана	Tanasjön		Hồ Tana	塔納湖	4	1159113265
