scalerank	featurecla	labelrank	sr_sov_a3	sr_adm0_a3	sr_gu_a3	sr_su_a3	sr_subunit
N	C	N	C	C	C	C	C
1	Admin-0 scale ranks	1	ZWE	ZWE	ZWE	ZWE	Zimbabwe
1	Admin-0 scale ranks	1	ZMB	ZMB	ZMB	ZMB	Zambia
1	Admin-0 scale ranks	1	YEM	YEM	YEM	YEM	Yemen
4	Admin-0 scale ranks	4	YEM	YEM	YEM	YEM	Yemen
4	Admin-0 scale ranks	4	YEM	YEM	YEM	YEM	Yemen
4	Admin-0 scale ranks	4	YEM	YEM	YEM	YEM	Yemen
3	Admin-0 scale ranks	3	YEM	YEM	YEM	YES	Suqutra
3	Admin-0 scale ranks	3	VNM	VNM	VNM	VNM	Vietnam
1	Admin-0 scale ranks	1	VNM	VNM	VNM	VNM	Vietnam
5	Admin-0 scale ranks	5	VNM	VNM	VNM	VNM	Vietnam
5	Admin-0 scale ranks	5	VNM	VNM	VNM	VNM	Vietnam
5	Admin-0 scale ranks	5	VNM	VNM	VNM	VNM	Vietnam
4	Admin-0 scale ranks	4	VNM	VNM	VNM	VNM	Vietnam
4	Admin-0 scale ranks	4	VNM	VNM	VNM	VNM	Vietnam
4	Admin-0 scale ranks	4	VNM	VNM	VNM	VNM	Vietnam
5	Admin-0 scale ranks	5	VEN	VEN	VEN	VEN	Venezuela
3	Admin-0 scale ranks	3	VEN	VEN	VEN	VEN	Venezuela
3	Admin-0 scale ranks	3	VEN	VEN	VEN	VEN	Venezuela
3	Admin-0 scale ranks	3	VEN	VEN	VEN	VEN	Venezuela
1	Admin-0 scale ranks	1	VEN	VEN	VEN	VEN	Venezuela
6	Admin-0 scale ranks	6	VAT	VAT	VAT	VAT	Vatican
1	Admin-0 scale ranks	1	VUT	VUT	VUT	VUT	Vanuatu
1	Admin-0 scale ranks	1	VUT	VUT	VUT	VUT	Vanuatu
3	Admin-0 scale ranks	3	VUT	VUT	VUT	VUT	Vanuatu
