scalerank	natscale	labelrank	featurecla	name	namepar	namealt	nameascii	adm0cap	capalt	capin	worldcity	megacity	sov0name	sov_a3	adm0name	adm0_a3	adm1name	iso_a2	note	latitude	longitude	pop_max	pop_min	pop_other	rank_max	rank_min	meganame	ls_name	min_zoom	ne_id
N	N	N	C	C	C	C	C	N	N	C	N	N	C	C	C	C	C	C	C	N	N	N	N	N	N	N	C	C	N	N
10	1	5	Admin-1 region capital	Bombo			Bombo	0	0		0	0	Uganda	UGA	Uganda	UGA	Bamunanika	UG		0.583299	32.533300	75000	21000	0	8	7			7.0	1159113923
10	1	5	Admin-1 region capital	Fort Portal			Fort Portal	0	0		0	0	Uganda	UGA	Uganda	UGA	Kabarole	UG		0.671004	30.275002	42670	42670	0	7	7			7.0	1159113959
10	1	3	Admin-1 region capital	Potenza			Potenza	0	0		0	0	Italy	ITA	Italy	ITA	Basilicata	IT		40.642002	15.798997	69060	69060	0	8	8			7.0	1159117259
10	1	3	Admin-1 region capital	Campobasso			Campobasso	0	0		0	0	Italy	ITA	Italy	ITA	Molise	IT		41.562999	14.655997	50762	50762	0	8	8			7.0	1159117283
10	1	3	Admin-1 region capital	Aosta			Aosta	0	0		0	0	Italy	ITA	Italy	ITA	Valle d'Aosta	IT		45.737001	7.315003	34062	34062	0	7	7			7.0	1159117361
10	1	8	Admin-0 region capital	Mariehamn			Mariehamn	0	0		0	0	Finland	ALD	Aland	ALD	Finström	AX		60.096996	19.949005	10682	10682	0	6	6			7.0	1159119239
10	1	0	Admin-0 region capital	Ramallah			Ramallah	0	0		0	0	Israel	IS1	Palestine	PSX		PS		31.902945	35.206209	24599	24599	0	7	7			9.0	1159121947
8	10	3	Admin-0 capital	Vatican City			Vatican City	1	0		1	0	Vatican	VAT	Vatican	VAT	Lazio	VA		41.903282	12.453387	832	832	562430	2	2		Vatican City	7.0	1159127243
8	10	3	Admin-1 region capital	Poitier		Poitiers	Poitier	0	0		0	0	French Republic	FRA	France	FRA	Poitou-Charentes	FR		46.583292	0.333277	85960	84807	80866	8	8		Poitier	6.7	1159130485
