recnum	degrees	direction	display	scalerank	dd
N	N	C	C	N	N
107	85	N	85 N	5	85
106	80	N	80 N	5	80
105	75	N	75 N	5	75
104	70	N	70 N	5	70
103	65	N	65 N	5	65
102	60	N	60 N	5	60
101	55	N	55 N	5	55
100	50	N	50 N	5	50
99	45	N	45 N	5	45
98	40	N	40 N	5	40
97	35	N	35 N	5	35
96	30	N	30 N	5	30
95	25	N	25 N	5	25
94	20	N	20 N	5	20
93	15	N	15 N	5	15
92	10	N	10 N	5	10
91	5	N	5 N	5	5
90	0		0	5	0
89	5	S	5 S	5	-5
88	10	S	10 S	5	-10
87	15	S	15 S	5	-15
86	20	S	20 S	5	-20
85	25	S	25 S	5	-25
84	30	S	30 S	5	-30
83	35	S	35 S	5	-35
82	40	S	40 S	5	-40
81	45	S	45 S	5	-45
80	50	S	50 S	5	-50
79	55	S	55 S	5	-55
78	60	S	60 S	5	-60
77	65	S	65 S	5	-65
76	70	S	70 S	5	-70
75	75	S	75 S	5	-75
74	80	S	80 S	5	-80
73	85	S	85 S	5	-85
72	180	E	180 E	5	180
71	175	E	175 E	5	175
70	170	E	170 E	5	170
69	165	E	165 E	5	165
68	160	E	160 E	5	160
67	155	E	155 E	5	155
66	150	E	150 E	5	150
65	145	E	145 E	5	145
64	140	E	140 E	5	140
63	135	E	135 E	5	135
62	130	E	130 E	5	130
61	125	E	125 E	5	125
60	120	E	120 E	5	120
59	115	E	115 E	5	115
58	110	E	110 E	5	110
57	105	E	105 E	5	105
56	100	E	100 E	5	100
55	95	E	95 E	5	95
54	90	E	90 E	5	90
53	85	E	85 E	5	85
52	80	E	80 E	5	80
51	75	E	75 E	5	75
50	70	E	70 E	5	70
49	65	E	65 E	5	65
48	60	E	60 E	5	60
47	55	E	55 E	5	55
46	50	E	50 E	5	50
45	45	E	45 E	5	45
44	40	E	40 E	5	40
43	35	E	35 E	5	35
42	30	E	30 E	5	30
41	25	E	25 E	5	25
40	20	E	20 E	5	20
39	15	E	15 E	5	15
38	10	E	10 E	5	10
37	5	E	5 E	5	5
36	0		0	5	0
35	5	W	5 W	5	-5
34	10	W	10 W	5	-10
33	15	W	15 W	5	-15
32	20	W	20 W	5	-20
31	25	W	25 W	5	-25
30	30	W	30 W	5	-30
29	35	W	35 W	5	-35
28	40	W	40 W	5	-40
27	45	W	45 W	5	-45
26	50	W	50 W	5	-50
25	55	W	55 W	5	-55
24	60	W	60 W	5	-60
23	65	W	65 W	5	-65
22	70	W	70 W	5	-70
21	75	W	75 W	5	-75
20	80	W	80 W	5	-80
19	85	W	85 W	5	-85
18	90	W	90 W	5	-90
17	95	W	95 W	5	-95
16	100	W	100 W	5	-10
15	105	W	105 W	5	-10
14	110	W	110 W	5	-11
13	115	W	115 W	5	-11
12	120	W	120 W	5	-12
11	125	W	125 W	5	-12
10	130	W	130 W	5	-13
9	135	W	135 W	5	-13
8	140	W	140 W	5	-14
7	145	W	145 W	5	-14
6	150	W	150 W	5	-15
5	155	W	155 W	5	-15
4	160	W	160 W	5	-16
3	165	W	165 W	5	-16
2	170	W	170 W	5	-17
1	175	W	175 W	5	-17
