scalerank	featurecla	min_zoom
N	C	N
0	Land	1.50
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	0.00
0	Land	0.50
0	Land	1.00
0	Land	1.00
0	Land	0.50
0	Land	1.50
0	Land	2.00
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	0.00
0	Land	1.50
0	Land	1.00
0	Land	1.50
0	Land	0.50
0	Land	1.00
0	Land	1.50
0	Land	1.00
0	Land	1.50
0	Land	1.00
0	Land	2.00
0	Land	0.50
0	Land	2.00
0	Land	2.00
0	Land	1.00
0	Land	1.50
0	Land	1.00
0	Land	1.00
0	Land	2.00
0	Land	2.00
0	Land	2.00
0	Land	2.00
0	Land	2.00
0	Land	2.00
0	Land	1.00
0	Land	0.00
0	Land	1.00
0	Land	2.00
0	Land	1.00
0	Land	2.00
0	Land	2.00
0	Land	1.00
0	Land	1.00
0	Land	2.00
0	Land	0.00
0	Land	2.00
0	Land	2.00
0	Land	2.00
0	Land	1.00
0	Land	2.00
0	Land	2.00
0	Land	0.00
0	Land	0.50
0	Land	2.00
0	Land	0.00
0	Land	0.50
0	Land	0.00
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.50
0	Land	1.50
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	2.00
0	Land	0.00
0	Land	1.00
0	Land	2.00
0	Land	1.00
0	Land	2.00
0	Land	1.00
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.50
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	1.50
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	1.00
0	Land	1.50
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	1.00
0	Land	1.00
0	Land	1.00
0	Land	0.00
0	Land	1.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	0.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	2.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	2.00
0	Land	3.00
0	Land	4.00
0	Land	2.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	2.00
0	Land	1.00
0	Land	2.00
0	Land	2.00
0	Land	4.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	3.00
0	Land	2.00
0	Land	3.00
0	Land	3.00
