Indefinite (please verify)			1	Canada	United States of America	CAN	USA	Wat	US1	Water Indicator	2	1	2.0	7.6		Can.	U.S.A.
International boundary (verify)			1	Sweden	Norway	SWE	NOR	SWE	NOR	Water Indicator	2	1	0.0	7.6		Swe.	Nor.
International boundary (verify)			1	Denmark	Germany	DNK	DEU	DN1	DEU	Water Indicator	5	1	0.0	8.0		Den.	Ger.
International boundary (verify)			1	Singapore	Malaysia	SGP	MYS	SGP	MYS	Water Indicator	3	1	0.0	9.0		Sing.	Malay.
International boundary (verify)			1	Uruguay	Argentina	URY	ARG	URY	ARG	Water Indicator	2	1	0.0	8.0		Ury.	Arg.
International boundary (verify)			1	Finland	Sweden	FIN	SWE	FI1	SWE	Water Indicator	2	1	0.0	8.0		Fin.	Swe.
International boundary (verify)			1	Germany	Poland	DEU	POL	DEU	POL	Water Indicator	2	1	0.0	7.6		Ger.	Pol.
International boundary (verify)			1	Iraq	Iran	IRQ	IRN	IRQ	IRN	Water Indicator	2	1	6.0	7.7		Iraq	Iran
International boundary (verify)			1	Bangladesh	India	BGD	IND	BGD	IND	Water Indicator	2	1	0.0	8.0		Bang.	India
International boundary (verify)			1	Mexico	Belize	MEX	BLZ	MEX	BLZ	Water Indicator	2	1	0.0	10.0		Mex.	Belize
International boundary (verify)			1	Argentina	Chile	ARG	CHL	ARG	CHL	Water Indicator	2	1	0.0	7.6		Arg.	Chile
International boundary (verify)			1	India	Pakistan	IND	PAK	IND	PAK	Water Indicator	2	1	6.0	7.6		India	Pak.
International boundary (verify)			1	Canada	United States of America	CAN	USA	CAN	US1	Water Indicator	2	1	0.0	7.6		Can.	U.S.A.
International boundary (verify)			1	Macau	China	MAC	CHN	CH1	CH1	Water Indicator	5	1	6.0	9.0		Mac.	China
International boundary (verify)			1	Canada	United States of America	CAN	USA	CAN	US1	Water Indicator	2	1	2.0	7.6		Can.	U.S.A.
International boundary (verify)			1	Lithuania	Russia	LTU	RUS	LTU	RUS	Water Indicator	5	1	0.0	9.0		Lith.	Rus.
