0.15	North Fork Salt	River	12	7.0	8.0	1746333385	**********																																
0.20	North Fork Salt	River	12	7.0	8.0	1746333389	**********																																
0.20	Salt	River	12	7.0	8.0	1159139641	22682	22682River		ID is link back to CEC data	Salt River	Salt	Q745070				Salt								ソルト川			Salt		Солт				索尔特河	سالت ریور				索爾特河
0.15	Spring	River	12	7.0	8.0	1746333393	**********																																
0.20	Spring	River	12	7.0	8.0	1746333395	**********						Q7580668																										
0.15	Illinois	River	12	7.0	8.0	1159139467	22643	22643River		ID is link back to CEC data	Illinois River	Illinois	Q5999623				Illinois																	伊利諾伊河				دریائے الینوائے	伊利諾伊河
0.20	Illinois	River	12	7.0	8.0	1159139467	22643	22643River		ID is link back to CEC data	Illinois River	Illinois	Q5999623				Illinois																	伊利諾伊河				دریائے الینوائے	伊利諾伊河
0.20	Illinois	River	12	7.0	8.0	1159139467	22643	22643River		ID is link back to CEC data	Illinois River	Illinois	Q5999623				Illinois																	伊利諾伊河				دریائے الینوائے	伊利諾伊河
0.15	Bryant	River	12	7.0	8.0	1746333403	**********						Q27984953																										
0.20	Bryant	River	12	7.0	8.0	1746333407	**********						Q27984953																										
0.20	North Fork White	River	12	7.0	8.0	1746333409	**********																																
0.20	Indian	River	12	7.0	8.0	1746333411	**********						Q14716154																										
0.20	Cheboygan	River	12	7.0	8.0	1746333413	**********																																
0.20	Black	River	12	7.0	8.0	1159142109	23252	23252River		ID is link back to CEC data	Black River	Black	Q968475			Black	Black		Draanjik								Black					Black		黑河					黑河
0.20	Black	River	12	7.0	8.0	1159142109	23252	23252River		ID is link back to CEC data	Black River	Black	Q968475			Black	Black		Draanjik								Black					Black		黑河					黑河
0.15	Black	River	12	7.0	8.0	1159142109	23252	23252River		ID is link back to CEC data	Black River	Black	Q968475			Black	Black		Draanjik								Black					Black		黑河					黑河
0.20	Tahquamenon	River	12	7.0	8.0	1746333421	**********						Q7675645																										
0.15	Tahquamenon	River	12	7.0	8.0	1746333425	**********						Q7675645																										
0.20	Mars	River	12	7.0	8.0	1746333427	**********																																
0.15	Mars	River	12	7.0	8.0	1746333429	**********																																
0.15	Marsh	River	12	7.0	8.0	1746333431	**********						Q6773305																										
0.20	Monocacy	River	12	7.0	8.0	1746333433	**********						Q1118332																										
0.15	Paint	River	12	7.0	8.0	1746333435	**********						Q2046468																										
0.20	Paint	River	12	7.0	8.0	1746333437	**********						Q2046468																										
0.20	Middle Branch Ontonagon	River	12	7.0	8.0	1746333439	**********																																
0.15	Middle Branch Ontonagon	River	12	7.0	8.0	1746333443	**********																																
0.20	Ontonagon	River	12	7.0	8.0	1746333445	**********						Q7095064																										
0.20	Sturgeon	River	12	7.0	8.0	1159127729	20192	20192River		ID is link back to CEC data	Sturgeon River	Sturgeon	Q7629029			Sturgeon Fluss	Sturgeon		Sturgeon								Sturgeon				Sturgeon								
0.15	Sturgeon	River	12	7.0	8.0	1159127729	20192	20192River		ID is link back to CEC data	Sturgeon River	Sturgeon	Q7629029			Sturgeon Fluss	Sturgeon		Sturgeon								Sturgeon				Sturgeon								
0.20	Little Fork	River	12	7.0	8.0	1746333451	**********						Q6650079																										
0.20	Vermilion	River	12	7.0	8.0	1159139923	22746	22746River		ID is link back to CEC data	Vermilion River	Vermilion	Q7921614			Vermilion	Vermilion								ヴァーミリオン川									弗米利恩河					弗米利恩河
0.20	Pelican	River	12	7.0	8.0	1746333455	**********						Q7161433																										
0.20		River	12	7.0	8.0	1159142171	23268	23268River																															
0.15	Klickitat	River	12	7.0	8.0	1746333461	**********						Q3197856																										
0.20	Klickitat	River	12	7.0	8.0	1746333463	**********						Q3197856																										
0.20	Nehalem	River	12	7.0	8.0	1746333465	**********						Q1974470																										
0.15	Nehalem	River	12	7.0	8.0	1746333467	**********						Q1974470																										
0.20	Clackamas	River	12	7.0	8.0	1746333469	**********						Q2310768																										
0.15	Clackamas	River	12	7.0	8.0	1746333471	**********						Q2310768																										
0.15	North Fork Crow	River	12	7.0	8.0	1746333473	**********						Q7057048																										
0.20	North Fork Crow	River	12	7.0	8.0	1746333475	**********																																
0.20	Crow	River	12	7.0	8.0	1746333479	**********						Q5189117																										
0.15	Middle Fork Zumbro	River	12	7.0	8.0	1746333481	**********																																
0.20	Middle Fork Zumbro	River	12	7.0	8.0	1746333483	**********																																
0.20	Zumbro	River	12	7.0	8.0	1159140517	22884	22884River		ID is link back to CEC data	Zumbro	Chippewa	Q8075247																										
0.15	Sac	River	12	7.0	8.0	1746333487	**********						Q7396544																										
0.20	Sac	River	12	7.0	8.0	1746333489	**********						Q7396544																										
0.20	Sac	River	12	7.0	8.0	1746333491	**********						Q7396544																										
0.15	Middle Fork Little Red	River	12	7.0	8.0	1746333493	**********																																
0.20	Middle Fork Little Red	River	12	7.0	8.0	1746333497	**********																																
0.20	Little Red	River	12	7.0	8.0	1746333499	**********						Q6651505																										
0.15	Bogue Chitto	River	12	7.0	8.0	1746333501	**********						Q27989284																										
0.20	Bogue Chitto	River	12	7.0	8.0	1746333503	**********						Q27989284																										
0.20	Bayou des Cannes	River	12	7.0	8.0	1746333505	**********						Q2892315																										
0.15	Bayou des Cannes	River	12	7.0	8.0	1746333507	**********						Q2892315																										
0.20	Mermentau	River	12	7.0	8.0	1746333509	**********																																
0.20	Bayou D'Arbonne	River	12	7.0	8.0	1746333511	**********																																
0.15	Bayou D'Arbonne	River	12	7.0	8.0	1746333515	**********																																
0.20	Pass Manchac	River	12	7.0	8.0	1746333517	**********																																
0.20	East Fork Amite	River	12	7.0	8.0	1746333519	**********																																
0.15	East Fork Amite	River	12	7.0	8.0	1746333521	**********																																
