2	waterfall	Niagara Falls			43.087653000	-79.044073000	North America		5.0	Niagara Falls	شلالات نياجارا	নায়াগ্রা জলপ্রপাত	Niagarafälle	Niagara Falls	Cataratas del Niágara	chutes du Niagara	Καταρράκτες του Νιαγάρα	नायाग्रा जल प्रपात	Niagara-vízesés	Niagara	cascate del Niagara	ナイアガラの滝	나이아가라 폭포	Niagarawatervallen	Wodospad Niagara	Cataratas do Niágara	Ниагарский водопад	Niagarafallen	Niagara Şelalesi	Thác Niagara	尼亚加拉瀑布	Q34221	3	1159105019
2	waterfall	Salto Angel		Angel Falls	5.686836000	-62.061848000	South America		5.0	Salto Angel	شلالات آنجل	অ্যাঞ্জেল জলপ্রপাত	Salto Ángel	Angel Falls	Salto Ángel	Salto Angel	Καταρράκτες Έιντζελ	एन्जिल जलप्रपात	Angel-vízesés	Air terjun Angel	Salto Angel	エンジェルフォール	앙헬 폭포	Ángelwaterval	Salto Angel	Salto Ángel	Анхель	Angelfallen	Angel Şelalesi	Thác nước Ángel	安赫尔瀑布	Q80299	5	1159105051
2	waterfall	Iguazu Falls			-25.568265000	-54.582842000	South America		5.0	Iguazu Falls	شلالات إجوازو	ইগুয়াসু জলপ্রপাত	Iguazú-Wasserfälle	Iguaçu Falls	Cataratas del Iguazú	chutes d'Iguazú	Καταρράκτες Ιγκουασού		Iguazú-vízesés	Air terjun Iguazu	cascate dell'Iguazú	イグアスの滝	이구아수 폭포	Watervallen van de Iguaçu	Wodospad Iguazú	Cataratas do Iguaçu	Игуасу	Iguazúfallen	Iguazú Şelalesi	Thác Iguazu	伊瓜苏瀑布	Q36332	5	1159105053
3	cape	Gees Gwardafuy			11.812855000	51.235173000	Africa		5.1	Gees Gwardafuy			Kap Guardafui	Cape Guardafui	Cabo Guardafui	Cap Gardafui					Capo Guardafui	グアルダフィ岬		Cape Guardafui	Gees Gwardafuy	Cabo Guardafui	Гвардафуй	Kap Gardafai		Cape Guardafui	瓜達富伊角	Q1145030	5	1159104885
3	waterfall	Victoria Falls			-17.770790000	25.460133000	Africa		5.1	Victoria Falls	شلالات فيكتوريا	ভিক্টোরিয়া জলপ্রপাত	Victoriafälle	Victoria Falls	Cataratas Victoria	chutes Victoria	Καταρράκτες Βικτωρίας	विक्टोरिया जलप्रपात	Viktória-vízesés	Air terjun Victoria	Cascate Vittoria	ヴィクトリアの滝	빅토리아 폭포	Victoriawatervallen	Wodospady Wiktorii	Cataratas Vitória	Виктория	Victoriafallen	Victoria Şelalesi	Thác Victoria	维多利亚瀑布	Q43278	3	1159104887
3	island	Wright Island			-50.959168000	-72.995002000	Antarctica		5.1	Wright I.			Wright Island	Wright Island										Wright Island				Wright Island			萊特島	Q6980542	5	1159104901
3	island	Grant Island			-50.959168000	-72.995002000	Antarctica		5.1	Grant I.	جزيرة غرانت		Grant-Insel	Grant Island	Isla Grant	île Grant								Grant Island		Ilha Grant		Grant Island			格蘭特島	Q1543171	5	1159104903
3	island	Newman Island			-50.959168000	-72.995002000	Antarctica		5.1	Newman I.				Newman Island										Newman Island				Newman Island			維曼島	Q6272638	5	1159104905
3	island	Dean Island			-50.959168000	-72.995002000	Antarctica		5.1	Dean I.	جزيرة دين		Dean Insel	Dean Island	Isla Dean									Dean Island		Ilha dean		Dean Island			迪安島	Q559842	5	1159104907
3	cape	Cape Canaveral			28.483713000	-80.534941000	North America		5.1	Cape Canaveral	رأس كانافيرال		Cape Canaveral	Cape Canaveral	Cabo Cañaveral	Cap Canaveral	Ακρωτήριο Κανάβεραλ		Cape Canaveral	Cape Canaveral	Cape Canaveral	ケープ・カナベラル	케이프커내버럴	Cape Canaveral	Canaveral	Cabo Canaveral	Канаверал	Cape Canaveral	Cape Canaveral		卡纳维拉尔角	Q193401	3	1159105007
3	cape	Cape Mendocino			40.350222000	-124.323474000	North America		5.1	Cape Mendocino				Cape Mendocino	Cabo Mendocino	Cap Mendocino				Tanjung Mendocino	Capo Mendocino			Cape Mendocino		Cabo Mendocino						Q780339	3	1159105009
3	cape	Cabo San Lucas			22.887711000	-109.969843000	North America		5.1		كابو سان لوكاس	কাবু সান লুকাস	Cabo San Lucas	Cabo San Lucas	Cabo San Lucas	Cabo San Lucas	Κάβο Σαν Λούκας	कबो सैन लुकस	Cabo San Lucas	Cabo San Lucas	Cabo San Lucas	サンルーカス岬	카보산루카스	Cabo San Lucas	Cabo San Lucas	Cabo San Lucas	Кабо-Сан-Лукас	Cabo San Lucas	Cabo San Lucas	Cabo San Lucas	卡布聖盧卡斯	Q1020776	2	1159105011
3	cape	Cape Churchill			58.752014000	-93.182023000	North America		5.1																								0	1159105013
3	cape	Cape Cod			41.734867000	-69.964865000	North America		5.1	Cape Cod			Cape Cod	Cape Cod	Cabo Cod	cap Cod	Ακρωτήριο Κοντ		Cape Cod		Capo Cod	ケープコッド	케이프코드	Cape Cod	Cape Cod	Cabo Cod	Кейп-Код	Cape Cod	Cod Burnu		鳕鱼角	Q49152	3	1159105015
3	cape	Cape May			37.201700000	-75.926791000	North America		5.1	Cape May				Cape May								メイ岬					Мэй					Q2065437	3	1159105017
3	cape	Cabo de Hornos		Cape Horn	-55.862824000	-67.169425000	South America		5.1	Cabo de Hornos	كايب هورن	কেপ হর্ন	Kap Hoorn	Cape Horn	Cabo de Hornos	Cap Horn	Ακρωτήριο Χορν	हॉर्न अंतरीप	Horn-fok	Tanjung Horn	Capo Horn	ホーン岬	혼 곶	Kaap Hoorn	Horn	Cabo Horn	Горн	Kap Horn	Horn Burnu	Cape Horn	合恩角	Q4078	5	1159105049
